       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 849 1777] | [ 890 1776] | [ 856 1816] | [ 897 1815]
         1 | [ 798 1776] | [ 840 1776] | [ 804 1816] | [ 845 1816]
         4 | [ 645 1775] | [ 686 1775] | [ 647 1815] | [ 690 1814]
         5 | [ 593 1776] | [ 635 1775] | [ 595 1815] | [ 638 1814]
         6 | [ 541 1776] | [ 583 1774] | [ 543 1815] | [ 586 1814]
         7 | [ 490 1776] | [ 533 1775] | [ 491 1815] | [ 533 1814]
         8 | [ 438 1776] | [ 480 1774] | [ 439 1815] | [ 481 1814]
         9 | [ 388 1774] | [ 430 1775] | [ 385 1814] | [ 427 1815]
         0 | [ 336 1774] | [ 378 1774] | [ 332 1813] | [ 374 1815]
         - | [ 283 1774] | [ 326 1774] | [ 280 1814] | [ 321 1815]
         = | [ 233 1772] | [ 275 1775] | [ 227 1814] | [ 269 1814]
    DELETE | [ 152 1775] | [ 221 1773] | [ 148 1814] | [ 218 1812]
       TAB | [ 817 1730] | [ 883 1729] | [ 823 1767] | [ 889 1767]
         T | [ 566 1729] | [ 607 1727] | [ 568 1766] | [ 610 1765]
         Y | [ 515 1729] | [ 557 1727] | [ 517 1766] | [ 558 1766]
         U | [ 465 1728] | [ 506 1727] | [ 466 1766] | [ 507 1765]
         \ | [ 161 1725] | [ 202 1725] | [ 155 1764] | [ 196 1765]
         H | [ 503 1683] | [ 543 1681] | [ 504 1719] | [ 546 1717]
         ] | [ 213 1725] | [ 254 1727] | [ 207 1764] | [ 248 1765]
    RETURN | [ 166 1682] | [ 244 1679] | [ 165 1718] | [ 243 1716]
         2 | [ 747 1776] | [ 788 1775] | [ 751 1815] | [ 793 1815]
         3 | [ 696 1776] | [ 737 1775] | [ 699 1815] | [ 742 1814]
         Q | [ 767 1729] | [ 807 1728] | [ 772 1767] | [ 813 1766]
         [ | [ 264 1725] | [ 305 1727] | [ 258 1764] | [ 300 1765]
         P | [ 314 1726] | [ 356 1728] | [ 310 1764] | [ 351 1766]
         I | [ 414 1728] | [ 455 1726] | [ 415 1766] | [ 456 1764]
         O | [ 365 1726] | [ 407 1728] | [ 362 1765] | [ 404 1765]
         J | [ 453 1682] | [ 495 1682] | [ 454 1719] | [ 495 1718]
         W | [ 717 1729] | [ 759 1729] | [ 720 1766] | [ 763 1765]
         ' | [ 255 1680] | [ 297 1681] | [ 251 1717] | [ 292 1718]
         B | [ 527 1640] | [ 567 1638] | [ 529 1675] | [ 569 1675]
         R | [ 616 1728] | [ 655 1725] | [ 620 1766] | [ 660 1764]
         N | [ 479 1638] | [ 519 1637] | [ 479 1673] | [ 520 1673]
         G | [ 551 1681] | [ 591 1679] | [ 552 1717] | [ 594 1717]
         K | [ 408 1676] | [ 446 1683] | [ 403 1717] | [ 444 1719]
 CAPS_LOCK | [ 798 1681] | [ 874 1679] | [ 805 1717] | [ 882 1715]
         V | [ 574 1636] | [ 614 1636] | [ 575 1672] | [ 616 1672]
         E | [ 673 1727] | [ 713 1726] | [ 676 1765] | [ 718 1764]
         M | [ 425 1636] | [ 466 1636] | [ 425 1672] | [ 466 1671]
         F | [ 600 1682] | [ 641 1680] | [ 604 1718] | [ 644 1716]
         D | [ 651 1681] | [ 690 1679] | [ 656 1717] | [ 695 1715]
         ; | [ 300 1681] | [ 342 1680] | [ 299 1717] | [ 340 1716]
         L | [ 355 1680] | [ 395 1679] | [ 354 1717] | [ 395 1716]
     SHFT2 | [ 172 1640] | [ 272 1635] | [ 171 1673] | [ 273 1670]
         A | [ 749 1680] | [ 788 1680] | [ 753 1717] | [ 793 1717]
         S | [ 707 1680] | [ 746 1679] | [ 710 1717] | [ 751 1716]
         , | [ 378 1638] | [ 419 1636] | [ 379 1673] | [ 419 1671]
         / | [ 282 1638] | [ 323 1636] | [ 280 1672] | [ 322 1670]
    ARROWS | [ 227 1586] | [ 267 1588] | [ 221 1627] | [ 262 1628]
         C | [ 624 1638] | [ 664 1636] | [ 627 1672] | [ 668 1672]
         . | [ 327 1637] | [ 366 1635] | [ 326 1672] | [ 366 1672]
     SHFT1 | [ 765 1638] | [ 862 1636] | [ 772 1673] | [ 871 1672]
      CMD2 | [ 363 1598] | [ 416 1596] | [ 364 1637] | [ 417 1636]
        FN | [ 820 1601] | [ 859 1601] | [ 827 1641] | [ 866 1640]
     SPACE | [ 431 1595] | [ 656 1589] | [ 434 1632] | [ 664 1630]
      ALT2 | [ 318 1594] | [ 359 1594] | [ 316 1634] | [ 356 1634]
         Z | [ 724 1638] | [ 764 1636] | [ 730 1673] | [ 769 1672]
         X | [ 676 1638] | [ 716 1636] | [ 681 1673] | [ 721 1671]
      CTRL | [ 767 1596] | [ 809 1593] | [ 778 1634] | [ 816 1633]
      CMD1 | [ 674 1594] | [ 726 1593] | [ 679 1634] | [ 731 1632]
      ALT1 | [ 729 1594] | [ 768 1593] | [ 735 1634] | [ 774 1632]
