       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 779 1756] | [ 814 1756] | [ 782 1789] | [ 819 1790]
         1 | [ 733 1756] | [ 769 1756] | [ 737 1790] | [ 773 1789]
         5 | [ 551 1757] | [ 587 1757] | [ 552 1790] | [ 587 1790]
         6 | [ 505 1757] | [ 541 1757] | [ 505 1790] | [ 541 1790]
         7 | [ 460 1757] | [ 496 1757] | [ 459 1790] | [ 495 1789]
         9 | [ 369 1757] | [ 405 1757] | [ 366 1790] | [ 403 1789]
         - | [ 278 1757] | [ 314 1757] | [ 274 1790] | [ 310 1790]
         = | [ 233 1757] | [ 268 1757] | [ 228 1790] | [ 264 1790]
    DELETE | [ 164 1758] | [ 223 1757] | [ 159 1790] | [ 218 1790]
       TAB | [ 751 1717] | [ 809 1716] | [ 755 1748] | [ 814 1747]
         T | [ 528 1717] | [ 563 1716] | [ 528 1748] | [ 564 1748]
         Y | [ 484 1717] | [ 518 1716] | [ 483 1748] | [ 519 1748]
         \ | [ 173 1717] | [ 207 1717] | [ 167 1749] | [ 201 1749]
         G | [ 517 1679] | [ 553 1678] | [ 517 1708] | [ 553 1708]
    RETURN | [ 178 1681] | [ 244 1677] | [ 174 1709] | [ 243 1707]
         ] | [ 217 1717] | [ 252 1717] | [ 212 1749] | [ 246 1749]
         [ | [ 261 1717] | [ 296 1717] | [ 257 1748] | [ 291 1749]
         0 | [ 324 1757] | [ 359 1757] | [ 320 1790] | [ 356 1790]
         8 | [ 414 1758] | [ 450 1757] | [ 413 1790] | [ 449 1789]
         H | [ 473 1678] | [ 509 1678] | [ 473 1708] | [ 508 1708]
         U | [ 439 1717] | [ 473 1716] | [ 438 1748] | [ 474 1747]
         4 | [ 596 1757] | [ 631 1756] | [ 598 1790] | [ 634 1789]
         R | [ 573 1717] | [ 608 1716] | [ 574 1748] | [ 609 1748]
         3 | [ 642 1757] | [ 677 1756] | [ 643 1789] | [ 680 1789]
         2 | [ 688 1756] | [ 723 1756] | [ 691 1790] | [ 726 1790]
         Q | [ 707 1716] | [ 742 1716] | [ 710 1748] | [ 746 1747]
         E | [ 618 1716] | [ 654 1717] | [ 619 1748] | [ 654 1748]
         W | [ 662 1716] | [ 698 1716] | [ 665 1748] | [ 700 1748]
         I | [ 394 1717] | [ 430 1717] | [ 392 1748] | [ 428 1748]
         P | [ 305 1716] | [ 331 1715] | [ 301 1747] | [ 338 1746]
         ' | [ 254 1679] | [ 289 1676] | [ 251 1708] | [ 286 1707]
         O | [ 345 1717] | [ 380 1715] | [ 344 1748] | [ 379 1747]
         F | [ 562 1678] | [ 599 1678] | [ 562 1708] | [ 598 1708]
 CAPS_LOCK | [ 737 1676] | [ 804 1676] | [ 741 1708] | [ 809 1708]
         D | [ 604 1678] | [ 639 1676] | [ 605 1708] | [ 641 1708]
         C | [ 584 1639] | [ 620 1640] | [ 584 1668] | [ 620 1669]
         V | [ 541 1639] | [ 575 1639] | [ 542 1669] | [ 576 1668]
         B | [ 495 1639] | [ 529 1639] | [ 494 1668] | [ 529 1668]
         ; | [ 297 1677] | [ 334 1678] | [ 294 1708] | [ 329 1708]
         N | [ 452 1639] | [ 487 1638] | [ 451 1668] | [ 486 1667]
         A | [ 694 1678] | [ 730 1677] | [ 697 1708] | [ 732 1708]
         S | [ 648 1678] | [ 684 1677] | [ 651 1708] | [ 686 1708]
         J | [ 432 1677] | [ 467 1677] | [ 431 1708] | [ 466 1707]
         K | [ 384 1678] | [ 419 1677] | [ 382 1708] | [ 418 1707]
         L | [ 343 1676] | [ 377 1677] | [ 339 1708] | [ 373 1708]
     SHFT2 | [ 190 1638] | [ 277 1640] | [ 182 1667] | [ 270 1668]
         Z | [ 669 1639] | [ 704 1638] | [ 672 1669] | [ 707 1669]
         X | [ 626 1640] | [ 661 1638] | [ 628 1669] | [ 663 1668]
     SHFT1 | [ 711 1640] | [ 796 1636] | [ 715 1668] | [ 804 1668]
      CMD1 | [ 626 1597] | [ 671 1597] | [ 627 1630] | [ 671 1631]
         M | [ 408 1640] | [ 443 1638] | [ 407 1668] | [ 442 1667]
         , | [ 370 1639] | [ 405 1638] | [ 368 1668] | [ 403 1668]
         . | [ 322 1639] | [ 357 1638] | [ 320 1668] | [ 354 1668]
         / | [ 280 1640] | [ 316 1639] | [ 277 1669] | [ 312 1668]
        FN | [ 760 1597] | [ 794 1595] | [ 764 1629] | [ 799 1629]
      CTRL | [ 720 1596] | [ 754 1595] | [ 723 1629] | [ 758 1629]
      ALT1 | [ 679 1595] | [ 713 1596] | [ 681 1629] | [ 715 1629]
    ARROWS | [ 239 1595] | [ 272 1595] | [ 232 1629] | [ 266 1629]
      CMD2 | [ 364 1596] | [ 409 1596] | [ 361 1629] | [ 406 1629]
      ALT2 | [ 318 1595] | [ 352 1596] | [ 313 1629] | [ 347 1629]
     SPACE | [ 412 1600] | [ 613 1594] | [ 414 1629] | [ 617 1628]
