       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 778 1755] | [ 815 1755] | [ 783 1788] | [ 819 1788]
         1 | [ 733 1755] | [ 769 1755] | [ 736 1788] | [ 773 1787]
         5 | [ 551 1755] | [ 586 1755] | [ 552 1789] | [ 587 1788]
         6 | [ 505 1756] | [ 540 1755] | [ 505 1789] | [ 541 1788]
         7 | [ 459 1756] | [ 495 1756] | [ 458 1788] | [ 493 1789]
         9 | [ 369 1756] | [ 404 1756] | [ 366 1789] | [ 401 1789]
         - | [ 278 1756] | [ 313 1756] | [ 273 1789] | [ 309 1789]
         = | [ 233 1756] | [ 268 1757] | [ 227 1789] | [ 263 1789]
    DELETE | [ 163 1758] | [ 222 1756] | [ 158 1789] | [ 218 1788]
       TAB | [ 750 1717] | [ 808 1714] | [ 757 1747] | [ 813 1746]
         T | [ 528 1715] | [ 563 1715] | [ 528 1747] | [ 564 1746]
         Y | [ 483 1716] | [ 518 1715] | [ 483 1747] | [ 518 1747]
         \ | [ 172 1716] | [ 206 1716] | [ 166 1748] | [ 200 1748]
         G | [ 517 1677] | [ 551 1676] | [ 517 1707] | [ 552 1707]
    RETURN | [ 177 1680] | [ 246 1677] | [ 173 1708] | [ 242 1706]
         ] | [ 216 1716] | [ 251 1716] | [ 211 1748] | [ 245 1748]
         [ | [ 261 1716] | [ 295 1716] | [ 256 1747] | [ 290 1748]
         0 | [ 324 1756] | [ 359 1757] | [ 319 1788] | [ 355 1789]
         8 | [ 413 1757] | [ 450 1756] | [ 412 1789] | [ 448 1788]
         H | [ 472 1678] | [ 508 1677] | [ 473 1707] | [ 508 1706]
         U | [ 438 1717] | [ 473 1715] | [ 437 1747] | [ 473 1747]
         I | [ 393 1716] | [ 428 1715] | [ 392 1747] | [ 428 1746]
         4 | [ 596 1755] | [ 632 1755] | [ 597 1788] | [ 633 1788]
         R | [ 573 1715] | [ 608 1715] | [ 573 1746] | [ 608 1747]
         3 | [ 641 1756] | [ 678 1755] | [ 643 1788] | [ 680 1788]
         2 | [ 687 1755] | [ 723 1755] | [ 690 1788] | [ 726 1788]
         Q | [ 706 1715] | [ 741 1714] | [ 709 1746] | [ 745 1746]
         E | [ 617 1715] | [ 652 1714] | [ 618 1746] | [ 655 1745]
         W | [ 662 1714] | [ 697 1714] | [ 664 1746] | [ 700 1746]
         ' | [ 253 1678] | [ 288 1675] | [ 250 1707] | [ 285 1706]
         P | [ 303 1715] | [ 340 1715] | [ 300 1746] | [ 334 1747]
         O | [ 347 1716] | [ 382 1714] | [ 346 1747] | [ 381 1746]
         F | [ 561 1677] | [ 598 1677] | [ 561 1707] | [ 597 1707]
 CAPS_LOCK | [ 737 1675] | [ 804 1675] | [ 741 1707] | [ 809 1707]
         D | [ 603 1677] | [ 638 1675] | [ 604 1707] | [ 640 1707]
         C | [ 583 1637] | [ 619 1638] | [ 583 1666] | [ 619 1667]
         V | [ 540 1637] | [ 574 1637] | [ 541 1667] | [ 575 1666]
         B | [ 495 1637] | [ 529 1637] | [ 494 1666] | [ 529 1666]
         ; | [ 298 1676] | [ 335 1677] | [ 295 1707] | [ 330 1707]
         N | [ 452 1637] | [ 487 1636] | [ 451 1666] | [ 486 1665]
         A | [ 693 1677] | [ 729 1676] | [ 696 1707] | [ 731 1707]
         S | [ 647 1677] | [ 683 1676] | [ 650 1707] | [ 685 1707]
         J | [ 431 1676] | [ 466 1676] | [ 430 1707] | [ 465 1706]
         K | [ 383 1677] | [ 418 1676] | [ 381 1707] | [ 417 1706]
         L | [ 344 1675] | [ 378 1676] | [ 340 1707] | [ 374 1707]
     SHFT2 | [ 189 1636] | [ 276 1638] | [ 181 1665] | [ 269 1666]
         Z | [ 668 1637] | [ 703 1636] | [ 671 1667] | [ 706 1667]
         X | [ 625 1638] | [ 660 1636] | [ 627 1667] | [ 662 1666]
     SHFT1 | [ 711 1638] | [ 796 1634] | [ 715 1666] | [ 804 1666]
      CMD1 | [ 625 1595] | [ 670 1595] | [ 626 1628] | [ 670 1629]
         M | [ 408 1638] | [ 443 1636] | [ 407 1666] | [ 442 1665]
         , | [ 369 1637] | [ 404 1636] | [ 367 1666] | [ 402 1666]
         . | [ 323 1637] | [ 358 1636] | [ 321 1666] | [ 355 1666]
         / | [ 279 1638] | [ 315 1637] | [ 276 1667] | [ 311 1666]
        FN | [ 760 1595] | [ 794 1593] | [ 764 1627] | [ 799 1627]
      CTRL | [ 719 1594] | [ 753 1593] | [ 722 1627] | [ 757 1627]
      ALT1 | [ 678 1593] | [ 712 1594] | [ 680 1627] | [ 714 1627]
    ARROWS | [ 238 1593] | [ 271 1593] | [ 231 1627] | [ 265 1627]
      CMD2 | [ 363 1594] | [ 408 1594] | [ 360 1627] | [ 405 1627]
      ALT2 | [ 319 1593] | [ 353 1594] | [ 314 1627] | [ 348 1627]
     SPACE | [ 411 1598] | [ 612 1592] | [ 413 1627] | [ 616 1626]
