       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 794 1768] | [ 832 1766] | [ 799 1805] | [ 837 1804]
         1 | [ 747 1768] | [ 786 1767] | [ 752 1806] | [ 789 1805]
         2 | [ 700 1768] | [ 738 1767] | [ 703 1806] | [ 741 1805]
         3 | [ 652 1769] | [ 690 1767] | [ 656 1807] | [ 693 1806]
         4 | [ 604 1769] | [ 644 1768] | [ 607 1807] | [ 644 1807]
         5 | [ 558 1768] | [ 596 1768] | [ 558 1807] | [ 596 1807]
         6 | [ 510 1768] | [ 549 1769] | [ 510 1807] | [ 548 1807]
         7 | [ 463 1768] | [ 500 1768] | [ 461 1807] | [ 500 1807]
         8 | [ 414 1769] | [ 453 1769] | [ 413 1808] | [ 451 1808]
         9 | [ 366 1769] | [ 405 1769] | [ 364 1808] | [ 403 1808]
         0 | [ 319 1769] | [ 357 1769] | [ 316 1809] | [ 355 1808]
         - | [ 271 1769] | [ 309 1770] | [ 266 1808] | [ 305 1809]
         = | [ 223 1769] | [ 260 1769] | [ 217 1809] | [ 256 1810]
    DELETE | [ 150 1770] | [ 212 1770] | [ 144 1810] | [ 207 1810]
       TAB | [ 767 1720] | [ 828 1720] | [ 770 1757] | [ 831 1757]
         Q | [ 720 1721] | [ 757 1720] | [ 724 1758] | [ 761 1757]
         W | [ 673 1721] | [ 710 1720] | [ 676 1758] | [ 713 1758]
         Y | [ 487 1721] | [ 524 1721] | [ 486 1759] | [ 523 1759]
         U | [ 440 1721] | [ 477 1721] | [ 438 1758] | [ 476 1759]
         I | [ 393 1721] | [ 430 1722] | [ 390 1759] | [ 428 1759]
         O | [ 345 1722] | [ 383 1722] | [ 342 1759] | [ 380 1760]
         P | [ 298 1722] | [ 336 1722] | [ 294 1759] | [ 333 1760]
         [ | [ 249 1723] | [ 288 1722] | [ 246 1759] | [ 284 1761]
         ] | [ 203 1722] | [ 241 1723] | [ 198 1760] | [ 236 1761]
         \ | [ 155 1723] | [ 193 1722] | [ 150 1761] | [ 188 1761]
         ' | [ 243 1676] | [ 281 1676] | [ 239 1713] | [ 277 1713]
    RETURN | [ 159 1679] | [ 233 1676] | [ 157 1714] | [ 231 1711]
         H | [ 474 1677] | [ 511 1675] | [ 474 1712] | [ 512 1712]
         B | [ 498 1631] | [ 535 1631] | [ 497 1666] | [ 535 1667]
     SHFT2 | [ 165 1633] | [ 261 1631] | [ 163 1669] | [ 259 1666]
    ARROWS | [ 216 1584] | [ 248 1581] | [ 213 1624] | [ 252 1623]
         G | [ 520 1678] | [ 557 1674] | [ 523 1713] | [ 561 1710]
        FN | [ 791 1582] | [ 812 1582] | [ 784 1623] | [ 816 1622]
         T | [ 533 1721] | [ 572 1720] | [ 533 1758] | [ 572 1758]
 CAPS_LOCK | [ 750 1679] | [ 821 1674] | [ 755 1711] | [ 826 1710]
         R | [ 582 1721] | [ 620 1720] | [ 583 1758] | [ 621 1758]
         E | [ 626 1721] | [ 663 1720] | [ 629 1758] | [ 666 1757]
         J | [ 424 1675] | [ 463 1676] | [ 423 1711] | [ 460 1712]
         ; | [ 290 1676] | [ 328 1676] | [ 287 1711] | [ 324 1712]
         N | [ 459 1634] | [ 490 1635] | [ 462 1670] | [ 489 1669]
         A | [ 704 1677] | [ 742 1675] | [ 709 1711] | [ 745 1710]
         K | [ 381 1676] | [ 418 1676] | [ 379 1711] | [ 416 1712]
         S | [ 658 1676] | [ 696 1675] | [ 662 1711] | [ 698 1711]
         F | [ 565 1677] | [ 604 1676] | [ 568 1712] | [ 605 1711]
         L | [ 338 1675] | [ 375 1675] | [ 336 1711] | [ 373 1711]
         M | [ 406 1636] | [ 443 1635] | [ 406 1670] | [ 444 1669]
         / | [ 270 1633] | [ 307 1633] | [ 266 1667] | [ 303 1668]
         D | [ 614 1676] | [ 650 1676] | [ 616 1712] | [ 652 1711]
     SHFT1 | [ 725 1637] | [ 815 1632] | [ 731 1668] | [ 823 1666]
         , | [ 359 1633] | [ 395 1633] | [ 356 1667] | [ 393 1669]
         . | [ 314 1634] | [ 351 1633] | [ 313 1669] | [ 350 1667]
         V | [ 545 1633] | [ 582 1633] | [ 544 1668] | [ 580 1670]
      CMD2 | [ 351 1583] | [ 400 1582] | [ 351 1622] | [ 398 1621]
      ALT2 | [ 309 1582] | [ 345 1583] | [ 305 1622] | [ 342 1622]
         Z | [ 678 1633] | [ 714 1633] | [ 682 1668] | [ 717 1667]
         X | [ 632 1633] | [ 670 1634] | [ 635 1669] | [ 671 1668]
         C | [ 586 1633] | [ 622 1632] | [ 588 1668] | [ 624 1667]
      CTRL | [ 736 1583] | [ 770 1584] | [ 737 1621] | [ 773 1623]
      ALT1 | [ 694 1587] | [ 728 1586] | [ 693 1616] | [ 728 1619]
     SPACE | [ 410 1587] | [ 598 1580] | [ 413 1622] | [ 626 1621]
      CMD1 | [ 629 1583] | [ 675 1582] | [ 632 1623] | [ 679 1622]
