       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 927 1780] | [ 974 1778] | [ 935 1829] | [ 981 1828]
         1 | [ 874 1779] | [ 921 1779] | [ 880 1829] | [ 926 1828]
         2 | [ 820 1780] | [ 867 1779] | [ 825 1829] | [ 872 1828]
         3 | [ 766 1780] | [ 812 1779] | [ 771 1830] | [ 817 1829]
         4 | [ 712 1780] | [ 760 1781] | [ 714 1829] | [ 761 1830]
         5 | [ 659 1780] | [ 705 1780] | [ 659 1829] | [ 705 1831]
         6 | [ 604 1781] | [ 651 1781] | [ 604 1829] | [ 652 1831]
         7 | [ 550 1781] | [ 597 1782] | [ 549 1830] | [ 597 1831]
         8 | [ 496 1781] | [ 543 1782] | [ 495 1832] | [ 541 1832]
         9 | [ 441 1782] | [ 488 1782] | [ 439 1832] | [ 487 1832]
         0 | [ 386 1782] | [ 434 1783] | [ 384 1832] | [ 432 1832]
         - | [ 331 1783] | [ 379 1783] | [ 328 1832] | [ 376 1833]
         = | [ 278 1782] | [ 324 1783] | [ 273 1833] | [ 321 1833]
    DELETE | [ 194 1784] | [ 270 1784] | [ 189 1833] | [ 265 1834]
       TAB | [ 894 1725] | [ 967 1724] | [ 900 1772] | [ 973 1771]
         Q | [ 840 1726] | [ 887 1724] | [ 847 1773] | [ 893 1771]
         W | [ 787 1726] | [ 835 1725] | [ 793 1773] | [ 839 1771]
         T | [ 628 1727] | [ 674 1725] | [ 630 1774] | [ 677 1774]
         Y | [ 574 1728] | [ 622 1726] | [ 577 1775] | [ 623 1774]
         U | [ 523 1726] | [ 569 1727] | [ 522 1775] | [ 568 1775]
         I | [ 468 1727] | [ 516 1728] | [ 467 1774] | [ 514 1775]
         P | [ 362 1727] | [ 408 1727] | [ 359 1776] | [ 406 1776]
         [ | [ 307 1728] | [ 354 1727] | [ 304 1776] | [ 352 1776]
         ] | [ 253 1728] | [ 301 1728] | [ 250 1776] | [ 298 1776]
         \ | [ 200 1728] | [ 247 1728] | [ 195 1777] | [ 242 1777]
 CAPS_LOCK | [ 875 1671] | [ 959 1671] | [ 880 1718] | [ 965 1717]
         G | [ 614 1673] | [ 658 1672] | [ 615 1720] | [ 662 1718]
         H | [ 561 1673] | [ 607 1673] | [ 561 1720] | [ 609 1718]
         J | [ 509 1673] | [ 555 1674] | [ 508 1720] | [ 553 1721]
         K | [ 455 1674] | [ 501 1673] | [ 455 1721] | [ 502 1720]
    RETURN | [ 203 1677] | [ 290 1674] | [ 201 1722] | [ 288 1721]
         B | [ 585 1622] | [ 631 1621] | [ 587 1667] | [ 633 1666]
         N | [ 533 1623] | [ 580 1622] | [ 535 1668] | [ 581 1666]
         M | [ 482 1622] | [ 528 1622] | [ 481 1667] | [ 529 1666]
         ' | [ 298 1674] | [ 344 1674] | [ 294 1721] | [ 341 1721]
         O | [ 415 1727] | [ 462 1727] | [ 413 1775] | [ 461 1775]
     SHFT2 | [ 208 1626] | [ 319 1622] | [ 208 1670] | [ 319 1666]
         ; | [ 351 1674] | [ 397 1675] | [ 347 1720] | [ 394 1721]
         L | [ 403 1674] | [ 450 1675] | [ 401 1720] | [ 448 1721]
         / | [ 328 1622] | [ 372 1622] | [ 324 1668] | [ 370 1668]
         , | [ 431 1622] | [ 477 1623] | [ 429 1667] | [ 475 1668]
         . | [ 378 1623] | [ 424 1622] | [ 378 1669] | [ 424 1667]
    ARROWS | [ 272 1569] | [ 309 1572] | [ 266 1612] | [ 302 1614]
         A | [ 822 1672] | [ 869 1672] | [ 827 1718] | [ 873 1717]
         E | [ 734 1727] | [ 781 1725] | [ 738 1773] | [ 785 1772]
         S | [ 770 1673] | [ 816 1672] | [ 775 1719] | [ 820 1718]
         R | [ 683 1725] | [ 729 1726] | [ 684 1773] | [ 730 1774]
         F | [ 665 1674] | [ 711 1672] | [ 668 1719] | [ 714 1719]
     SHFT1 | [ 844 1620] | [ 953 1621] | [ 846 1663] | [ 958 1665]
         Z | [ 791 1622] | [ 836 1620] | [ 796 1666] | [ 841 1665]
     SPACE | [ 491 1567] | [ 728 1571] | [ 484 1607] | [ 728 1612]
         D | [ 717 1674] | [ 763 1672] | [ 721 1719] | [ 768 1716]
        FN | [ 900 1564] | [ 945 1565] | [ 905 1614] | [ 949 1615]
         V | [ 636 1623] | [ 683 1621] | [ 639 1667] | [ 685 1666]
      CTRL | [ 851 1563] | [ 895 1566] | [ 854 1614] | [ 899 1615]
      CMD2 | [ 446 1564] | [ 479 1566] | [ 450 1616] | [ 476 1616]
         C | [ 686 1622] | [ 731 1622] | [ 689 1668] | [ 734 1667]
         X | [ 741 1623] | [ 787 1622] | [ 746 1668] | [ 791 1666]
      ALT1 | [ 796 1569] | [ 840 1563] | [ 800 1613] | [ 845 1613]
      CMD1 | [ 735 1565] | [ 793 1564] | [ 740 1615] | [ 798 1613]
      ALT2 | [ 379 1564] | [ 425 1564] | [ 377 1615] | [ 422 1615]
