       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 945 1786] | [ 991 1786] | [ 952 1837] | [ 998 1836]
         1 | [ 890 1786] | [ 938 1786] | [ 896 1836] | [ 943 1836]
         2 | [ 837 1785] | [ 884 1787] | [ 840 1835] | [ 887 1836]
         3 | [ 782 1785] | [ 830 1786] | [ 785 1835] | [ 832 1836]
         4 | [ 727 1785] | [ 775 1785] | [ 729 1834] | [ 777 1835]
         5 | [ 673 1784] | [ 721 1786] | [ 674 1834] | [ 722 1835]
         6 | [ 618 1784] | [ 666 1785] | [ 618 1833] | [ 666 1835]
         7 | [ 564 1783] | [ 612 1786] | [ 563 1834] | [ 612 1834]
         8 | [ 509 1783] | [ 556 1784] | [ 507 1833] | [ 554 1835]
         9 | [ 453 1783] | [ 501 1783] | [ 452 1834] | [ 500 1834]
         0 | [ 399 1782] | [ 446 1783] | [ 395 1832] | [ 443 1834]
         - | [ 342 1783] | [ 391 1783] | [ 339 1832] | [ 387 1834]
         = | [ 288 1782] | [ 336 1783] | [ 284 1833] | [ 331 1834]
    DELETE | [ 203 1783] | [ 280 1782] | [ 200 1833] | [ 277 1832]
       TAB | [ 911 1731] | [ 983 1730] | [ 917 1779] | [ 990 1779]
         Q | [ 857 1731] | [ 904 1730] | [ 863 1779] | [ 909 1779]
         W | [ 803 1731] | [ 851 1730] | [ 808 1778] | [ 855 1778]
         Y | [ 590 1728] | [ 637 1729] | [ 590 1777] | [ 638 1777]
         U | [ 536 1728] | [ 583 1729] | [ 535 1776] | [ 582 1777]
         I | [ 482 1727] | [ 529 1728] | [ 480 1775] | [ 528 1777]
         [ | [ 318 1727] | [ 367 1728] | [ 315 1774] | [ 363 1776]
         ] | [ 264 1726] | [ 312 1727] | [ 260 1774] | [ 307 1776]
         \ | [ 210 1726] | [ 258 1727] | [ 205 1774] | [ 253 1775]
 CAPS_LOCK | [ 891 1678] | [ 978 1678] | [ 897 1724] | [ 982 1725]
         T | [ 643 1729] | [ 690 1729] | [ 646 1778] | [ 693 1776]
         R | [ 697 1729] | [ 745 1731] | [ 698 1776] | [ 746 1778]
         H | [ 576 1674] | [ 622 1676] | [ 575 1721] | [ 621 1723]
         J | [ 522 1674] | [ 569 1675] | [ 521 1720] | [ 568 1722]
         N | [ 549 1622] | [ 595 1623] | [ 548 1668] | [ 594 1669]
         M | [ 497 1621] | [ 543 1623] | [ 495 1667] | [ 541 1669]
         A | [ 839 1677] | [ 885 1677] | [ 843 1723] | [ 890 1723]
         G | [ 628 1675] | [ 674 1675] | [ 629 1722] | [ 677 1721]
         B | [ 600 1623] | [ 646 1623] | [ 602 1669] | [ 648 1668]
         P | [ 373 1727] | [ 421 1728] | [ 370 1775] | [ 418 1776]
    RETURN | [ 214 1673] | [ 302 1672] | [ 212 1720] | [ 300 1719]
         K | [ 469 1674] | [ 516 1675] | [ 468 1721] | [ 514 1722]
         ' | [ 308 1673] | [ 356 1673] | [ 306 1720] | [ 353 1720]
         O | [ 428 1727] | [ 475 1728] | [ 425 1775] | [ 473 1777]
     SHFT2 | [ 219 1622] | [ 330 1619] | [ 217 1666] | [ 331 1664]
         ; | [ 362 1673] | [ 410 1674] | [ 359 1719] | [ 406 1721]
         L | [ 416 1673] | [ 463 1674] | [ 413 1719] | [ 461 1721]
         / | [ 338 1621] | [ 386 1622] | [ 336 1666] | [ 382 1667]
    ARROWS | [ 278 1562] | [ 324 1563] | [ 274 1614] | [ 319 1615]
         E | [ 752 1729] | [ 798 1730] | [ 753 1777] | [ 799 1779]
         S | [ 786 1677] | [ 832 1676] | [ 790 1723] | [ 837 1722]
     SHFT1 | [ 859 1627] | [ 968 1625] | [ 865 1671] | [ 976 1670]
         F | [ 680 1677] | [ 726 1675] | [ 684 1723] | [ 730 1722]
         Z | [ 808 1625] | [ 854 1625] | [ 812 1670] | [ 858 1670]
         D | [ 733 1677] | [ 780 1676] | [ 737 1723] | [ 783 1723]
        FN | [ 918 1568] | [ 963 1570] | [ 922 1619] | [ 968 1620]
         V | [ 653 1623] | [ 699 1624] | [ 654 1669] | [ 701 1668]
      ALT1 | [ 816 1568] | [ 861 1569] | [ 819 1617] | [ 865 1619]
      CTRL | [ 867 1568] | [ 912 1569] | [ 871 1618] | [ 916 1620]
         C | [ 704 1624] | [ 750 1624] | [ 708 1670] | [ 754 1668]
         X | [ 756 1625] | [ 801 1624] | [ 760 1670] | [ 806 1669]
     SPACE | [ 498 1572] | [ 737 1569] | [ 502 1613] | [ 746 1612]
      CMD1 | [ 752 1567] | [ 810 1568] | [ 755 1618] | [ 814 1618]
      CMD2 | [ 461 1566] | [ 492 1567] | [ 467 1619] | [ 491 1618]
         , | [ 458 1621] | [ 491 1623] | [ 457 1669] | [ 490 1668]
         . | [ 400 1621] | [ 445 1624] | [ 397 1668] | [ 443 1669]
      ALT2 | [ 394 1566] | [ 440 1566] | [ 392 1617] | [ 437 1617]
