       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 817 1755] | [ 855 1754] | [ 822 1791] | [ 859 1791]
         1 | [ 770 1755] | [ 809 1754] | [ 775 1791] | [ 812 1789]
         2 | [ 724 1753] | [ 761 1753] | [ 727 1790] | [ 764 1790]
         3 | [ 677 1753] | [ 715 1753] | [ 678 1789] | [ 717 1789]
         4 | [ 630 1752] | [ 667 1752] | [ 631 1789] | [ 669 1789]
         5 | [ 584 1751] | [ 622 1753] | [ 584 1789] | [ 621 1789]
         6 | [ 538 1750] | [ 575 1752] | [ 536 1787] | [ 574 1788]
         7 | [ 491 1750] | [ 528 1751] | [ 488 1786] | [ 526 1788]
         8 | [ 443 1750] | [ 481 1751] | [ 441 1786] | [ 479 1787]
         9 | [ 397 1749] | [ 435 1751] | [ 394 1786] | [ 431 1787]
         0 | [ 349 1749] | [ 388 1750] | [ 346 1785] | [ 384 1786]
         - | [ 302 1749] | [ 341 1749] | [ 299 1785] | [ 336 1786]
         = | [ 257 1747] | [ 294 1749] | [ 252 1785] | [ 290 1785]
    DELETE | [ 186 1747] | [ 246 1747] | [ 181 1784] | [ 243 1784]
       TAB | [ 790 1710] | [ 850 1709] | [ 795 1745] | [ 854 1745]
         Q | [ 744 1709] | [ 782 1709] | [ 747 1744] | [ 784 1744]
         W | [ 698 1709] | [ 735 1708] | [ 701 1744] | [ 737 1744]
         E | [ 652 1708] | [ 689 1708] | [ 653 1743] | [ 691 1743]
         R | [ 606 1708] | [ 642 1707] | [ 607 1743] | [ 644 1742]
         T | [ 560 1707] | [ 597 1707] | [ 561 1743] | [ 598 1742]
         Y | [ 514 1706] | [ 551 1706] | [ 514 1742] | [ 551 1742]
         U | [ 467 1707] | [ 505 1706] | [ 468 1742] | [ 505 1741]
         I | [ 424 1704] | [ 460 1706] | [ 420 1740] | [ 457 1741]
         P | [ 332 1703] | [ 368 1705] | [ 327 1739] | [ 364 1740]
         [ | [ 284 1704] | [ 322 1704] | [ 281 1739] | [ 317 1740]
         ] | [ 240 1702] | [ 276 1704] | [ 234 1738] | [ 271 1739]
         \ | [ 194 1702] | [ 230 1703] | [ 188 1738] | [ 225 1738]
 CAPS_LOCK | [ 775 1667] | [ 846 1666] | [ 778 1700] | [ 850 1700]
         A | [ 730 1666] | [ 766 1665] | [ 733 1700] | [ 769 1700]
         S | [ 685 1665] | [ 721 1665] | [ 686 1699] | [ 724 1698]
         G | [ 549 1664] | [ 585 1663] | [ 549 1698] | [ 586 1698]
         H | [ 505 1662] | [ 541 1664] | [ 503 1697] | [ 539 1698]
         J | [ 458 1663] | [ 494 1662] | [ 458 1697] | [ 494 1697]
         K | [ 415 1661] | [ 450 1662] | [ 411 1696] | [ 448 1697]
         ' | [ 279 1660] | [ 315 1661] | [ 274 1694] | [ 310 1696]
    RETURN | [ 198 1662] | [ 267 1659] | [ 195 1694] | [ 266 1694]
     SHFT1 | [ 749 1627] | [ 838 1623] | [ 753 1657] | [ 846 1656]
        FN | [ 801 1579] | [ 836 1578] | [ 805 1616] | [ 841 1616]
         B | [ 528 1621] | [ 564 1623] | [ 526 1654] | [ 562 1656]
         M | [ 438 1621] | [ 475 1621] | [ 437 1654] | [ 474 1653]
         , | [ 394 1620] | [ 430 1620] | [ 392 1654] | [ 429 1652]
         N | [ 484 1620] | [ 519 1621] | [ 481 1654] | [ 517 1655]
         Z | [ 705 1624] | [ 741 1623] | [ 708 1657] | [ 743 1657]
         V | [ 571 1623] | [ 606 1621] | [ 573 1656] | [ 608 1656]
         D | [ 639 1665] | [ 675 1664] | [ 641 1699] | [ 677 1699]
         F | [ 594 1665] | [ 631 1664] | [ 596 1699] | [ 632 1698]
     SPACE | [ 439 1579] | [ 647 1575] | [ 440 1613] | [ 652 1614]
      CTRL | [ 757 1579] | [ 793 1578] | [ 761 1616] | [ 796 1616]
      ALT1 | [ 714 1577] | [ 750 1578] | [ 715 1614] | [ 750 1616]
         C | [ 616 1623] | [ 651 1622] | [ 617 1656] | [ 653 1656]
         X | [ 660 1624] | [ 697 1623] | [ 662 1656] | [ 698 1657]
      CMD1 | [ 658 1578] | [ 705 1577] | [ 661 1615] | [ 708 1614]
      CMD2 | [ 386 1575] | [ 432 1574] | [ 384 1612] | [ 431 1612]
     SHFT2 | [ 203 1624] | [ 293 1617] | [ 203 1652] | [ 295 1648]
         O | [ 377 1704] | [ 414 1705] | [ 373 1739] | [ 410 1741]
         / | [ 305 1620] | [ 341 1619] | [ 303 1653] | [ 339 1652]
         ; | [ 325 1660] | [ 360 1661] | [ 320 1695] | [ 356 1696]
         L | [ 369 1661] | [ 406 1663] | [ 365 1695] | [ 401 1697]
    ARROWS | [ 257 1572] | [ 292 1574] | [ 251 1610] | [ 287 1611]
         . | [ 349 1620] | [ 386 1620] | [ 347 1653] | [ 382 1654]
      ALT2 | [ 344 1573] | [ 379 1575] | [ 340 1612] | [ 375 1612]
