       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 849 1771] | [ 891 1771] | [ 855 1810] | [ 897 1809]
         1 | [ 798 1771] | [ 839 1770] | [ 804 1810] | [ 845 1809]
         4 | [ 645 1771] | [ 687 1770] | [ 647 1809] | [ 690 1809]
         5 | [ 594 1771] | [ 635 1769] | [ 596 1810] | [ 639 1808]
         6 | [ 543 1770] | [ 584 1769] | [ 545 1810] | [ 587 1808]
         7 | [ 491 1771] | [ 533 1769] | [ 493 1810] | [ 535 1808]
         8 | [ 440 1770] | [ 483 1770] | [ 439 1809] | [ 483 1808]
         9 | [ 389 1769] | [ 430 1769] | [ 387 1809] | [ 431 1807]
         0 | [ 337 1769] | [ 380 1770] | [ 334 1808] | [ 377 1809]
         - | [ 284 1771] | [ 328 1769] | [ 282 1809] | [ 325 1809]
         = | [ 234 1768] | [ 276 1769] | [ 229 1809] | [ 272 1809]
    DELETE | [ 154 1771] | [ 223 1768] | [ 150 1809] | [ 220 1808]
       TAB | [ 817 1724] | [ 883 1724] | [ 822 1761] | [ 889 1760]
         T | [ 567 1723] | [ 609 1723] | [ 568 1760] | [ 609 1761]
         Y | [ 516 1724] | [ 557 1722] | [ 518 1761] | [ 560 1759]
         U | [ 466 1724] | [ 507 1722] | [ 467 1761] | [ 509 1759]
         \ | [ 163 1721] | [ 205 1722] | [ 157 1759] | [ 199 1760]
         H | [ 504 1678] | [ 544 1677] | [ 505 1714] | [ 546 1714]
         ] | [ 214 1721] | [ 256 1722] | [ 209 1759] | [ 251 1760]
    RETURN | [ 168 1678] | [ 247 1675] | [ 166 1713] | [ 245 1711]
         2 | [ 747 1771] | [ 788 1770] | [ 752 1810] | [ 793 1810]
         3 | [ 696 1771] | [ 737 1770] | [ 700 1810] | [ 742 1809]
         Q | [ 767 1724] | [ 807 1723] | [ 773 1762] | [ 813 1761]
         [ | [ 264 1722] | [ 305 1721] | [ 261 1760] | [ 304 1758]
         W | [ 717 1724] | [ 758 1723] | [ 721 1761] | [ 762 1761]
         P | [ 314 1723] | [ 356 1721] | [ 313 1760] | [ 355 1759]
         I | [ 416 1723] | [ 457 1722] | [ 416 1761] | [ 457 1760]
         O | [ 366 1722] | [ 407 1722] | [ 364 1760] | [ 406 1760]
 CAPS_LOCK | [ 798 1679] | [ 874 1678] | [ 804 1715] | [ 881 1715]
         J | [ 455 1677] | [ 495 1677] | [ 455 1714] | [ 496 1713]
         B | [ 528 1635] | [ 567 1633] | [ 530 1670] | [ 570 1669]
         ' | [ 255 1679] | [ 296 1675] | [ 254 1713] | [ 296 1710]
         R | [ 617 1722] | [ 657 1720] | [ 620 1760] | [ 661 1758]
         G | [ 554 1676] | [ 595 1677] | [ 553 1712] | [ 594 1714]
         N | [ 480 1635] | [ 519 1633] | [ 479 1669] | [ 521 1669]
         V | [ 577 1634] | [ 617 1634] | [ 578 1670] | [ 619 1670]
         E | [ 672 1722] | [ 712 1721] | [ 675 1760] | [ 717 1759]
         K | [ 405 1677] | [ 445 1675] | [ 404 1713] | [ 446 1712]
         M | [ 429 1633] | [ 470 1633] | [ 429 1669] | [ 470 1668]
         F | [ 603 1678] | [ 644 1676] | [ 607 1714] | [ 647 1712]
         D | [ 653 1677] | [ 692 1675] | [ 658 1713] | [ 697 1711]
         ; | [ 302 1677] | [ 344 1676] | [ 301 1713] | [ 342 1712]
         L | [ 356 1676] | [ 396 1675] | [ 355 1713] | [ 396 1712]
     SHFT2 | [ 174 1636] | [ 274 1631] | [ 173 1669] | [ 275 1666]
         A | [ 750 1676] | [ 789 1676] | [ 754 1713] | [ 794 1713]
         S | [ 707 1676] | [ 746 1675] | [ 710 1713] | [ 751 1712]
         , | [ 381 1634] | [ 422 1632] | [ 382 1669] | [ 422 1667]
         / | [ 284 1634] | [ 325 1632] | [ 282 1668] | [ 324 1666]
    ARROWS | [ 229 1583] | [ 269 1585] | [ 223 1624] | [ 264 1625]
         C | [ 625 1634] | [ 665 1632] | [ 628 1668] | [ 669 1668]
         . | [ 329 1633] | [ 368 1631] | [ 328 1668] | [ 368 1668]
     SHFT1 | [ 766 1634] | [ 863 1632] | [ 773 1669] | [ 872 1668]
      CMD2 | [ 366 1594] | [ 419 1592] | [ 367 1633] | [ 420 1632]
        FN | [ 820 1595] | [ 859 1595] | [ 827 1635] | [ 866 1634]
     SPACE | [ 431 1590] | [ 656 1584] | [ 434 1627] | [ 664 1625]
      ALT2 | [ 320 1589] | [ 361 1589] | [ 318 1629] | [ 358 1629]
         Z | [ 724 1634] | [ 764 1632] | [ 730 1669] | [ 769 1668]
         X | [ 678 1634] | [ 718 1632] | [ 683 1669] | [ 723 1667]
      CTRL | [ 768 1591] | [ 810 1588] | [ 779 1629] | [ 817 1628]
      CMD1 | [ 676 1589] | [ 728 1588] | [ 681 1629] | [ 733 1627]
      ALT1 | [ 730 1589] | [ 769 1588] | [ 736 1629] | [ 775 1627]
