       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 838 1772] | [ 877 1772] | [ 842 1809] | [ 881 1808]
         1 | [ 790 1771] | [ 828 1771] | [ 793 1808] | [ 832 1808]
         2 | [ 742 1771] | [ 780 1770] | [ 746 1808] | [ 784 1807]
         3 | [ 695 1770] | [ 733 1770] | [ 698 1808] | [ 735 1808]
         4 | [ 648 1769] | [ 686 1770] | [ 648 1806] | [ 686 1808]
         5 | [ 601 1768] | [ 638 1769] | [ 600 1806] | [ 638 1807]
         6 | [ 551 1770] | [ 589 1768] | [ 552 1806] | [ 591 1805]
         7 | [ 505 1768] | [ 543 1768] | [ 503 1805] | [ 542 1806]
         8 | [ 458 1767] | [ 496 1769] | [ 455 1804] | [ 493 1806]
         9 | [ 410 1767] | [ 448 1767] | [ 407 1804] | [ 446 1805]
         0 | [ 363 1766] | [ 401 1767] | [ 359 1804] | [ 398 1804]
         - | [ 315 1766] | [ 353 1767] | [ 311 1803] | [ 349 1804]
         = | [ 268 1765] | [ 305 1765] | [ 263 1803] | [ 302 1803]
    DELETE | [ 195 1766] | [ 258 1765] | [ 192 1803] | [ 254 1802]
       TAB | [ 809 1727] | [ 871 1726] | [ 813 1761] | [ 875 1762]
         Q | [ 763 1725] | [ 800 1725] | [ 766 1761] | [ 804 1761]
         W | [ 716 1725] | [ 754 1725] | [ 719 1761] | [ 756 1761]
         E | [ 669 1725] | [ 707 1724] | [ 672 1761] | [ 709 1760]
         Y | [ 529 1723] | [ 567 1723] | [ 529 1759] | [ 567 1758]
         U | [ 483 1722] | [ 520 1722] | [ 481 1758] | [ 519 1759]
         I | [ 437 1721] | [ 474 1723] | [ 434 1758] | [ 471 1759]
         P | [ 342 1721] | [ 380 1721] | [ 339 1756] | [ 376 1758]
         [ | [ 296 1720] | [ 333 1720] | [ 292 1756] | [ 329 1757]
         ] | [ 250 1719] | [ 287 1720] | [ 245 1756] | [ 281 1757]
         \ | [ 203 1719] | [ 240 1719] | [ 198 1755] | [ 235 1756]
 CAPS_LOCK | [ 794 1682] | [ 865 1681] | [ 797 1716] | [ 870 1716]
         A | [ 748 1682] | [ 785 1681] | [ 752 1716] | [ 788 1716]
         K | [ 426 1678] | [ 464 1678] | [ 425 1713] | [ 463 1712]
         ' | [ 289 1676] | [ 326 1676] | [ 285 1711] | [ 322 1712]
    RETURN | [ 208 1676] | [ 278 1675] | [ 205 1711] | [ 278 1708]
     SHFT2 | [ 214 1634] | [ 308 1633] | [ 211 1667] | [ 305 1667]
         O | [ 390 1721] | [ 427 1722] | [ 386 1757] | [ 424 1758]
         ; | [ 336 1676] | [ 372 1677] | [ 332 1712] | [ 369 1712]
         L | [ 381 1677] | [ 418 1678] | [ 378 1712] | [ 415 1713]
         S | [ 702 1681] | [ 740 1681] | [ 704 1715] | [ 742 1715]
         R | [ 622 1725] | [ 660 1724] | [ 624 1760] | [ 662 1759]
        FN | [ 821 1592] | [ 857 1594] | [ 823 1630] | [ 859 1631]
     SHFT1 | [ 767 1642] | [ 858 1638] | [ 771 1672] | [ 865 1672]
         B | [ 542 1636] | [ 578 1636] | [ 548 1671] | [ 578 1671]
         D | [ 656 1680] | [ 693 1680] | [ 658 1715] | [ 695 1715]
         T | [ 576 1723] | [ 613 1723] | [ 577 1760] | [ 615 1758]
         Z | [ 722 1639] | [ 759 1638] | [ 725 1672] | [ 762 1671]
      CTRL | [ 775 1593] | [ 811 1592] | [ 779 1630] | [ 815 1630]
         G | [ 564 1679] | [ 601 1679] | [ 564 1714] | [ 602 1714]
         F | [ 610 1680] | [ 646 1679] | [ 612 1715] | [ 648 1715]
         C | [ 632 1638] | [ 668 1637] | [ 633 1671] | [ 670 1671]
      ALT1 | [ 732 1591] | [ 767 1592] | [ 733 1629] | [ 770 1630]
      CMD1 | [ 675 1591] | [ 722 1591] | [ 677 1629] | [ 725 1629]
         V | [ 586 1638] | [ 623 1637] | [ 588 1671] | [ 625 1670]
         X | [ 677 1639] | [ 714 1638] | [ 680 1672] | [ 716 1672]
         M | [ 452 1635] | [ 490 1634] | [ 449 1668] | [ 487 1670]
    ARROWS | [ 266 1589] | [ 286 1588] | [ 262 1629] | [ 299 1628]
         J | [ 475 1677] | [ 513 1679] | [ 471 1711] | [ 507 1714]
         / | [ 318 1636] | [ 355 1637] | [ 313 1670] | [ 350 1672]
         H | [ 517 1680] | [ 556 1678] | [ 518 1713] | [ 555 1713]
         . | [ 365 1636] | [ 400 1637] | [ 359 1669] | [ 395 1672]
         , | [ 406 1636] | [ 443 1636] | [ 404 1670] | [ 442 1670]
         N | [ 511 1635] | [ 536 1637] | [ 497 1669] | [ 534 1670]
      ALT2 | [ 355 1591] | [ 392 1592] | [ 352 1630] | [ 389 1630]
      CMD2 | [ 396 1593] | [ 444 1590] | [ 396 1630] | [ 444 1629]
     SPACE | [ 453 1596] | [ 664 1589] | [ 455 1628] | [ 670 1629]
