       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 804 1759] | [ 837 1757] | [ 808 1791] | [ 841 1790]
         1 | [ 762 1760] | [ 795 1758] | [ 765 1791] | [ 799 1791]
         2 | [ 721 1760] | [ 755 1760] | [ 722 1791] | [ 756 1792]
         3 | [ 679 1761] | [ 713 1761] | [ 680 1793] | [ 714 1793]
         4 | [ 636 1764] | [ 671 1762] | [ 639 1795] | [ 673 1793]
         5 | [ 595 1764] | [ 630 1763] | [ 596 1795] | [ 630 1795]
         6 | [ 555 1764] | [ 588 1764] | [ 554 1796] | [ 588 1796]
         7 | [ 512 1766] | [ 547 1765] | [ 512 1798] | [ 546 1797]
         8 | [ 472 1766] | [ 505 1766] | [ 470 1798] | [ 504 1798]
         9 | [ 431 1767] | [ 464 1767] | [ 428 1799] | [ 462 1799]
         0 | [ 390 1768] | [ 423 1768] | [ 386 1800] | [ 420 1800]
         - | [ 348 1769] | [ 382 1770] | [ 345 1802] | [ 378 1801]
         = | [ 307 1770] | [ 340 1770] | [ 303 1802] | [ 337 1802]
    DELETE | [ 245 1772] | [ 299 1771] | [ 241 1804] | [ 295 1803]
       TAB | [ 779 1721] | [ 833 1720] | [ 783 1752] | [ 837 1750]
         Q | [ 738 1723] | [ 771 1721] | [ 741 1753] | [ 775 1751]
         W | [ 697 1724] | [ 730 1722] | [ 699 1754] | [ 733 1753]
         E | [ 656 1724] | [ 689 1723] | [ 658 1755] | [ 692 1753]
         R | [ 615 1726] | [ 648 1724] | [ 616 1756] | [ 650 1755]
         T | [ 574 1727] | [ 607 1725] | [ 576 1758] | [ 609 1755]
         Y | [ 533 1728] | [ 566 1726] | [ 533 1758] | [ 568 1756]
         U | [ 492 1729] | [ 525 1727] | [ 492 1759] | [ 526 1758]
         I | [ 452 1729] | [ 485 1728] | [ 451 1760] | [ 485 1758]
         O | [ 412 1730] | [ 444 1729] | [ 411 1762] | [ 444 1759]
         P | [ 371 1731] | [ 404 1730] | [ 369 1762] | [ 403 1760]
         [ | [ 331 1732] | [ 364 1731] | [ 328 1763] | [ 361 1763]
         ] | [ 290 1733] | [ 324 1733] | [ 287 1764] | [ 319 1764]
         \ | [ 249 1735] | [ 283 1733] | [ 247 1766] | [ 280 1764]
 CAPS_LOCK | [ 765 1685] | [ 828 1682] | [ 770 1715] | [ 832 1713]
         A | [ 725 1686] | [ 757 1684] | [ 728 1716] | [ 760 1715]
         S | [ 686 1686] | [ 718 1687] | [ 686 1716] | [ 719 1716]
         D | [ 644 1688] | [ 677 1687] | [ 645 1717] | [ 679 1716]
         F | [ 604 1689] | [ 637 1688] | [ 604 1717] | [ 638 1718]
         G | [ 565 1689] | [ 598 1690] | [ 564 1719] | [ 597 1719]
         H | [ 523 1692] | [ 556 1689] | [ 524 1721] | [ 557 1719]
         J | [ 483 1692] | [ 517 1691] | [ 484 1722] | [ 516 1721]
         K | [ 443 1694] | [ 477 1692] | [ 443 1723] | [ 476 1721]
         L | [ 405 1693] | [ 437 1693] | [ 402 1724] | [ 435 1723]
         ; | [ 365 1694] | [ 397 1694] | [ 361 1723] | [ 394 1724]
         ' | [ 325 1695] | [ 357 1695] | [ 321 1725] | [ 354 1725]
     SHFT1 | [ 744 1649] | [ 825 1648] | [ 744 1678] | [ 828 1676]
         X | [ 664 1651] | [ 696 1652] | [ 663 1679] | [ 697 1680]
         C | [ 624 1652] | [ 656 1652] | [ 623 1680] | [ 656 1681]
         B | [ 544 1654] | [ 577 1654] | [ 543 1682] | [ 576 1683]
         N | [ 505 1655] | [ 538 1656] | [ 504 1684] | [ 536 1684]
         , | [ 426 1657] | [ 459 1658] | [ 424 1686] | [ 457 1686]
        FN | [ 787 1610] | [ 819 1608] | [ 792 1642] | [ 824 1640]
      CTRL | [ 748 1611] | [ 780 1609] | [ 752 1643] | [ 784 1641]
      ALT1 | [ 709 1612] | [ 741 1610] | [ 712 1644] | [ 744 1643]
      CMD1 | [ 661 1612] | [ 702 1611] | [ 662 1645] | [ 705 1644]
     SPACE | [ 470 1616] | [ 655 1614] | [ 464 1646] | [ 654 1646]
      CMD2 | [ 419 1618] | [ 460 1618] | [ 416 1651] | [ 458 1651]
      ALT2 | [ 381 1619] | [ 412 1619] | [ 377 1652] | [ 409 1652]
         M | [ 465 1656] | [ 498 1656] | [ 464 1685] | [ 496 1685]
         Z | [ 703 1650] | [ 734 1649] | [ 704 1679] | [ 738 1678]
    ARROWS | [ 304 1621] | [ 335 1621] | [ 299 1654] | [ 330 1655]
         V | [ 584 1653] | [ 617 1654] | [ 584 1683] | [ 616 1682]
         . | [ 385 1653] | [ 418 1651] | [ 385 1682] | [ 417 1680]
    RETURN | [ 263 1690] | [ 318 1690] | [ 249 1716] | [ 313 1720]
     SHFT2 | [ 260 1652] | [ 341 1651] | [ 261 1681] | [ 337 1681]
         / | [ 347 1653] | [ 380 1651] | [ 346 1682] | [ 379 1679]
