       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 784 1759] | [ 820 1759] | [ 788 1792] | [ 825 1791]
         1 | [ 738 1759] | [ 775 1759] | [ 742 1792] | [ 778 1792]
         6 | [ 510 1759] | [ 546 1759] | [ 510 1792] | [ 545 1792]
         7 | [ 464 1759] | [ 500 1759] | [ 463 1792] | [ 499 1791]
         9 | [ 373 1759] | [ 409 1759] | [ 370 1791] | [ 405 1792]
         - | [ 281 1760] | [ 317 1758] | [ 279 1792] | [ 314 1791]
         = | [ 236 1759] | [ 272 1758] | [ 232 1791] | [ 267 1791]
    DELETE | [ 168 1759] | [ 226 1758] | [ 162 1791] | [ 222 1790]
       TAB | [ 757 1718] | [ 814 1718] | [ 760 1750] | [ 819 1750]
         \ | [ 176 1718] | [ 210 1718] | [ 170 1749] | [ 206 1749]
    RETURN | [ 182 1682] | [ 248 1678] | [ 178 1709] | [ 246 1709]
         ] | [ 221 1718] | [ 255 1718] | [ 215 1749] | [ 251 1749]
         [ | [ 265 1718] | [ 300 1718] | [ 261 1750] | [ 295 1750]
         0 | [ 327 1759] | [ 362 1758] | [ 325 1792] | [ 360 1791]
         8 | [ 418 1760] | [ 454 1759] | [ 418 1792] | [ 453 1791]
         3 | [ 647 1759] | [ 683 1759] | [ 649 1792] | [ 685 1791]
         2 | [ 693 1759] | [ 729 1759] | [ 695 1792] | [ 731 1792]
         P | [ 310 1718] | [ 345 1719] | [ 306 1750] | [ 341 1750]
         Y | [ 488 1719] | [ 523 1718] | [ 488 1750] | [ 523 1750]
         T | [ 533 1718] | [ 568 1718] | [ 533 1750] | [ 568 1750]
         G | [ 522 1680] | [ 557 1679] | [ 523 1710] | [ 557 1709]
         I | [ 399 1718] | [ 434 1718] | [ 397 1750] | [ 432 1749]
         O | [ 355 1718] | [ 389 1718] | [ 351 1750] | [ 386 1750]
         U | [ 443 1719] | [ 478 1718] | [ 442 1750] | [ 477 1750]
         H | [ 478 1680] | [ 513 1679] | [ 478 1710] | [ 513 1709]
         4 | [ 601 1759] | [ 637 1759] | [ 602 1792] | [ 638 1792]
         5 | [ 555 1759] | [ 592 1760] | [ 555 1791] | [ 592 1792]
         Q | [ 712 1718] | [ 747 1718] | [ 715 1750] | [ 751 1749]
         E | [ 622 1719] | [ 658 1718] | [ 624 1750] | [ 660 1749]
         W | [ 667 1719] | [ 703 1718] | [ 670 1750] | [ 705 1750]
         ' | [ 259 1680] | [ 294 1679] | [ 255 1709] | [ 290 1709]
         R | [ 578 1718] | [ 613 1718] | [ 578 1750] | [ 614 1750]
 CAPS_LOCK | [ 742 1679] | [ 809 1679] | [ 746 1710] | [ 814 1710]
         F | [ 566 1680] | [ 601 1679] | [ 567 1710] | [ 602 1709]
         D | [ 610 1679] | [ 645 1679] | [ 612 1710] | [ 646 1709]
         A | [ 698 1679] | [ 733 1679] | [ 701 1710] | [ 736 1709]
         S | [ 654 1679] | [ 689 1679] | [ 657 1710] | [ 691 1709]
     SHFT2 | [ 193 1641] | [ 277 1642] | [ 184 1668] | [ 273 1671]
         V | [ 544 1642] | [ 579 1642] | [ 544 1671] | [ 579 1671]
         Z | [ 674 1642] | [ 708 1642] | [ 676 1671] | [ 710 1671]
     SHFT1 | [ 716 1645] | [ 800 1640] | [ 719 1671] | [ 809 1671]
        FN | [ 766 1601] | [ 799 1601] | [ 771 1635] | [ 804 1634]
         J | [ 435 1679] | [ 469 1679] | [ 434 1710] | [ 468 1709]
         B | [ 501 1642] | [ 535 1642] | [ 501 1671] | [ 535 1671]
         ; | [ 303 1680] | [ 338 1679] | [ 301 1710] | [ 335 1709]
         C | [ 587 1643] | [ 622 1642] | [ 588 1671] | [ 623 1671]
         K | [ 391 1680] | [ 425 1679] | [ 389 1710] | [ 424 1709]
         L | [ 348 1679] | [ 381 1679] | [ 344 1709] | [ 378 1710]
         X | [ 630 1643] | [ 665 1642] | [ 632 1671] | [ 666 1671]
      CMD1 | [ 629 1601] | [ 673 1601] | [ 630 1634] | [ 675 1634]
      CTRL | [ 724 1601] | [ 757 1601] | [ 727 1634] | [ 761 1634]
      ALT1 | [ 681 1602] | [ 715 1601] | [ 684 1634] | [ 718 1634]
         N | [ 458 1642] | [ 492 1642] | [ 457 1671] | [ 492 1670]
         M | [ 415 1642] | [ 449 1642] | [ 413 1671] | [ 448 1671]
      ALT2 | [ 324 1601] | [ 357 1601] | [ 320 1634] | [ 353 1634]
         . | [ 329 1643] | [ 363 1642] | [ 326 1671] | [ 361 1670]
     SPACE | [ 422 1600] | [ 621 1602] | [ 415 1626] | [ 621 1634]
         / | [ 286 1643] | [ 320 1642] | [ 283 1671] | [ 317 1671]
    ARROWS | [ 240 1601] | [ 273 1601] | [ 235 1634] | [ 267 1634]
         , | [ 382 1641] | [ 417 1640] | [ 380 1670] | [ 415 1670]
      CMD2 | [ 378 1600] | [ 423 1600] | [ 375 1633] | [ 420 1633]
