       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 788 1757] | [ 823 1756] | [ 793 1790] | [ 828 1790]
         1 | [ 743 1756] | [ 779 1757] | [ 745 1789] | [ 782 1790]
         6 | [ 514 1757] | [ 549 1756] | [ 514 1789] | [ 550 1789]
         7 | [ 469 1757] | [ 504 1756] | [ 468 1789] | [ 504 1789]
         9 | [ 377 1758] | [ 413 1756] | [ 375 1789] | [ 411 1789]
         - | [ 288 1756] | [ 322 1756] | [ 283 1789] | [ 318 1789]
         = | [ 242 1756] | [ 277 1757] | [ 237 1789] | [ 272 1789]
    DELETE | [ 173 1757] | [ 231 1756] | [ 168 1789] | [ 227 1788]
       TAB | [ 761 1716] | [ 818 1716] | [ 765 1748] | [ 823 1748]
         \ | [ 181 1716] | [ 216 1716] | [ 175 1747] | [ 210 1747]
    RETURN | [ 187 1679] | [ 255 1677] | [ 183 1707] | [ 251 1707]
         ] | [ 225 1716] | [ 260 1716] | [ 220 1747] | [ 256 1747]
         [ | [ 269 1717] | [ 304 1716] | [ 266 1747] | [ 301 1747]
         0 | [ 333 1756] | [ 368 1757] | [ 329 1789] | [ 365 1789]
         8 | [ 423 1757] | [ 458 1756] | [ 421 1789] | [ 458 1788]
         3 | [ 651 1756] | [ 686 1756] | [ 654 1790] | [ 689 1789]
         2 | [ 697 1756] | [ 732 1756] | [ 700 1790] | [ 735 1790]
         P | [ 314 1716] | [ 349 1716] | [ 311 1747] | [ 345 1748]
         Y | [ 493 1716] | [ 528 1716] | [ 493 1748] | [ 527 1748]
         T | [ 537 1716] | [ 572 1716] | [ 538 1748] | [ 573 1747]
         G | [ 526 1678] | [ 561 1677] | [ 527 1708] | [ 561 1707]
         I | [ 403 1717] | [ 438 1716] | [ 402 1748] | [ 437 1747]
         O | [ 359 1716] | [ 394 1716] | [ 357 1748] | [ 392 1746]
         U | [ 448 1716] | [ 483 1716] | [ 447 1748] | [ 482 1747]
         H | [ 483 1677] | [ 517 1677] | [ 483 1708] | [ 517 1707]
         4 | [ 606 1756] | [ 641 1756] | [ 607 1790] | [ 643 1789]
         5 | [ 560 1757] | [ 595 1756] | [ 561 1790] | [ 596 1789]
         Q | [ 716 1716] | [ 752 1716] | [ 720 1748] | [ 755 1747]
         E | [ 627 1716] | [ 662 1716] | [ 628 1747] | [ 663 1748]
         W | [ 672 1716] | [ 707 1716] | [ 674 1748] | [ 709 1748]
         ' | [ 264 1678] | [ 298 1677] | [ 260 1707] | [ 295 1707]
         R | [ 582 1716] | [ 617 1716] | [ 583 1748] | [ 618 1747]
 CAPS_LOCK | [ 746 1677] | [ 813 1677] | [ 750 1708] | [ 818 1707]
         F | [ 570 1678] | [ 605 1677] | [ 572 1708] | [ 606 1707]
         D | [ 614 1678] | [ 649 1677] | [ 616 1708] | [ 650 1707]
         A | [ 702 1677] | [ 737 1677] | [ 704 1707] | [ 740 1707]
         S | [ 658 1677] | [ 693 1677] | [ 660 1707] | [ 695 1707]
     SHFT2 | [ 198 1639] | [ 282 1640] | [ 190 1669] | [ 278 1669]
         V | [ 548 1641] | [ 582 1640] | [ 549 1669] | [ 583 1669]
         Z | [ 678 1640] | [ 712 1640] | [ 680 1669] | [ 714 1669]
     SHFT1 | [ 720 1641] | [ 804 1638] | [ 726 1670] | [ 813 1669]
        FN | [ 770 1599] | [ 803 1599] | [ 774 1633] | [ 808 1632]
         J | [ 439 1678] | [ 473 1677] | [ 437 1707] | [ 473 1707]
         B | [ 505 1641] | [ 540 1640] | [ 505 1669] | [ 540 1668]
         ; | [ 308 1677] | [ 342 1677] | [ 304 1707] | [ 338 1708]
         C | [ 592 1640] | [ 626 1640] | [ 592 1669] | [ 627 1669]
         K | [ 395 1678] | [ 429 1677] | [ 394 1708] | [ 428 1707]
         L | [ 352 1677] | [ 386 1677] | [ 350 1708] | [ 384 1706]
         X | [ 635 1640] | [ 669 1640] | [ 636 1669] | [ 670 1669]
      CMD1 | [ 633 1600] | [ 676 1599] | [ 634 1632] | [ 679 1632]
      CTRL | [ 728 1599] | [ 761 1599] | [ 732 1633] | [ 765 1632]
      ALT1 | [ 685 1600] | [ 719 1599] | [ 688 1632] | [ 722 1632]
         N | [ 462 1641] | [ 496 1640] | [ 462 1669] | [ 496 1669]
         M | [ 420 1640] | [ 454 1640] | [ 418 1669] | [ 452 1669]
      ALT2 | [ 329 1599] | [ 361 1600] | [ 324 1632] | [ 358 1632]
         / | [ 291 1640] | [ 325 1640] | [ 288 1669] | [ 322 1668]
     SPACE | [ 421 1603] | [ 621 1598] | [ 423 1633] | [ 626 1632]
         . | [ 334 1640] | [ 368 1640] | [ 331 1669] | [ 365 1669]
    ARROWS | [ 244 1598] | [ 276 1599] | [ 238 1632] | [ 272 1631]
         , | [ 387 1639] | [ 422 1638] | [ 385 1668] | [ 420 1668]
      CMD2 | [ 383 1599] | [ 428 1599] | [ 380 1632] | [ 425 1632]
