       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 808 1807] | [ 848 1808] | [ 812 1848] | [ 853 1849]
         1 | [ 757 1807] | [ 797 1806] | [ 761 1847] | [ 802 1847]
         2 | [ 707 1805] | [ 747 1805] | [ 710 1846] | [ 751 1846]
         5 | [ 556 1801] | [ 597 1803] | [ 555 1842] | [ 596 1844]
         6 | [ 506 1800] | [ 547 1802] | [ 504 1841] | [ 546 1842]
         7 | [ 455 1799] | [ 496 1801] | [ 452 1839] | [ 494 1841]
       TAB | [ 778 1759] | [ 843 1759] | [ 783 1798] | [ 848 1797]
         8 | [ 404 1798] | [ 445 1799] | [ 401 1839] | [ 443 1840]
         U | [ 432 1750] | [ 473 1752] | [ 430 1790] | [ 470 1791]
         3 | [ 657 1803] | [ 698 1805] | [ 657 1843] | [ 698 1846]
         4 | [ 607 1802] | [ 648 1804] | [ 607 1844] | [ 647 1845]
         Q | [ 729 1756] | [ 769 1757] | [ 732 1796] | [ 772 1797]
         Y | [ 482 1751] | [ 523 1754] | [ 480 1790] | [ 520 1792]
         T | [ 532 1752] | [ 573 1754] | [ 530 1791] | [ 571 1793]
         9 | [ 353 1797] | [ 395 1798] | [ 350 1838] | [ 391 1839]
         B | [ 496 1661] | [ 536 1661] | [ 497 1697] | [ 536 1697]
         N | [ 448 1659] | [ 487 1659] | [ 448 1696] | [ 487 1696]
    DELETE | [ 125 1801] | [ 191 1801] | [ 119 1843] | [ 187 1843]
         0 | [ 304 1801] | [ 345 1804] | [ 298 1842] | [ 338 1845]
         - | [ 253 1801] | [ 294 1802] | [ 247 1843] | [ 288 1844]
         = | [ 201 1802] | [ 243 1803] | [ 196 1843] | [ 238 1843]
         ] | [ 185 1753] | [ 225 1755] | [ 178 1792] | [ 220 1793]
         [ | [ 235 1753] | [ 276 1755] | [ 230 1793] | [ 270 1794]
         \ | [ 134 1753] | [ 174 1754] | [ 127 1793] | [ 168 1793]
         P | [ 285 1752] | [ 325 1756] | [ 278 1791] | [ 318 1794]
         R | [ 578 1755] | [ 620 1754] | [ 579 1793] | [ 622 1792]
    RETURN | [ 141 1659] | [ 219 1659] | [ 136 1696] | [ 215 1696]
         H | [ 469 1659] | [ 509 1658] | [ 469 1696] | [ 509 1696]
         G | [ 518 1658] | [ 557 1658] | [ 517 1696] | [ 559 1696]
         V | [ 544 1659] | [ 583 1659] | [ 545 1696] | [ 586 1696]
         ' | [ 227 1658] | [ 267 1659] | [ 221 1696] | [ 262 1698]
         J | [ 425 1658] | [ 465 1659] | [ 423 1697] | [ 462 1698]
         I | [ 374 1750] | [ 414 1755] | [ 370 1793] | [ 411 1795]
         E | [ 633 1755] | [ 677 1754] | [ 635 1793] | [ 676 1794]
 CAPS_LOCK | [ 761 1659] | [ 837 1659] | [ 768 1697] | [ 842 1697]
         O | [ 332 1752] | [ 372 1754] | [ 327 1792] | [ 368 1794]
     SHFT2 | [ 146 1661] | [ 245 1659] | [ 143 1695] | [ 244 1696]
         ; | [ 277 1657] | [ 317 1660] | [ 271 1694] | [ 312 1697]
         W | [ 681 1752] | [ 721 1755] | [ 681 1792] | [ 721 1794]
         F | [ 570 1657] | [ 610 1659] | [ 569 1696] | [ 609 1698]
         K | [ 368 1658] | [ 408 1659] | [ 364 1696] | [ 405 1698]
         M | [ 396 1657] | [ 435 1660] | [ 391 1695] | [ 432 1696]
         / | [ 257 1658] | [ 296 1660] | [ 252 1696] | [ 292 1697]
         L | [ 323 1657] | [ 363 1659] | [ 319 1696] | [ 359 1697]
    ARROWS | [ 203 1576] | [ 241 1579] | [ 196 1619] | [ 236 1619]
         A | [ 715 1658] | [ 756 1659] | [ 719 1697] | [ 759 1696]
         D | [ 615 1659] | [ 657 1659] | [ 618 1697] | [ 658 1697]
         C | [ 591 1659] | [ 631 1659] | [ 593 1697] | [ 632 1697]
         , | [ 348 1658] | [ 386 1660] | [ 343 1695] | [ 383 1697]
         . | [ 303 1657] | [ 342 1660] | [ 298 1695] | [ 338 1696]
      CMD2 | [ 332 1577] | [ 384 1576] | [ 330 1617] | [ 382 1618]
      ALT2 | [ 296 1576] | [ 335 1577] | [ 291 1617] | [ 331 1619]
         S | [ 666 1658] | [ 706 1658] | [ 668 1696] | [ 709 1696]
     SHFT1 | [ 734 1659] | [ 831 1660] | [ 739 1696] | [ 837 1696]
         Z | [ 689 1659] | [ 730 1659] | [ 693 1696] | [ 732 1696]
         X | [ 643 1659] | [ 682 1659] | [ 646 1697] | [ 685 1696]
     SPACE | [ 402 1580] | [ 625 1575] | [ 404 1615] | [ 632 1619]
        FN | [ 789 1621] | [ 827 1622] | [ 794 1663] | [ 832 1663]
      CTRL | [ 744 1577] | [ 783 1577] | [ 749 1618] | [ 787 1618]
      ALT1 | [ 701 1576] | [ 741 1578] | [ 703 1617] | [ 742 1619]
      CMD1 | [ 639 1577] | [ 692 1577] | [ 643 1618] | [ 694 1618]
