       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 808 1802] | [ 848 1803] | [ 813 1844] | [ 853 1843]
         1 | [ 757 1801] | [ 798 1802] | [ 760 1842] | [ 801 1843]
         2 | [ 707 1799] | [ 748 1801] | [ 709 1841] | [ 749 1842]
         5 | [ 556 1795] | [ 596 1797] | [ 554 1836] | [ 595 1838]
         6 | [ 505 1794] | [ 545 1795] | [ 503 1836] | [ 544 1837]
         7 | [ 454 1793] | [ 495 1795] | [ 452 1835] | [ 493 1835]
         - | [ 251 1788] | [ 292 1789] | [ 246 1830] | [ 287 1831]
         = | [ 200 1787] | [ 242 1789] | [ 194 1828] | [ 236 1829]
    DELETE | [ 123 1786] | [ 189 1786] | [ 117 1827] | [ 185 1827]
       TAB | [ 778 1753] | [ 843 1754] | [ 783 1793] | [ 848 1792]
         0 | [ 302 1789] | [ 343 1791] | [ 297 1831] | [ 338 1832]
         9 | [ 353 1790] | [ 393 1791] | [ 348 1831] | [ 390 1833]
         Y | [ 481 1745] | [ 522 1748] | [ 479 1784] | [ 520 1786]
         8 | [ 403 1792] | [ 444 1793] | [ 400 1833] | [ 442 1834]
         U | [ 432 1743] | [ 472 1746] | [ 429 1784] | [ 469 1785]
    RETURN | [ 140 1690] | [ 217 1691] | [ 135 1728] | [ 213 1729]
         Q | [ 728 1752] | [ 769 1752] | [ 732 1791] | [ 772 1791]
         4 | [ 607 1792] | [ 647 1795] | [ 605 1832] | [ 645 1836]
         T | [ 531 1748] | [ 573 1751] | [ 530 1787] | [ 571 1789]
         3 | [ 657 1792] | [ 698 1793] | [ 659 1834] | [ 701 1833]
         R | [ 581 1747] | [ 623 1750] | [ 580 1786] | [ 622 1789]
         B | [ 494 1645] | [ 534 1646] | [ 493 1682] | [ 534 1681]
         ] | [ 182 1748] | [ 223 1750] | [ 176 1788] | [ 216 1789]
         I | [ 377 1745] | [ 417 1750] | [ 373 1788] | [ 414 1790]
         [ | [ 232 1748] | [ 273 1749] | [ 227 1788] | [ 267 1789]
         \ | [ 132 1749] | [ 173 1750] | [ 126 1788] | [ 166 1789]
         P | [ 281 1748] | [ 323 1751] | [ 276 1787] | [ 318 1789]
         H | [ 468 1690] | [ 508 1692] | [ 466 1727] | [ 506 1729]
         G | [ 520 1689] | [ 559 1691] | [ 518 1727] | [ 558 1729]
         E | [ 630 1750] | [ 674 1749] | [ 632 1788] | [ 673 1789]
         ' | [ 226 1690] | [ 266 1691] | [ 221 1728] | [ 261 1730]
 CAPS_LOCK | [ 761 1691] | [ 837 1691] | [ 768 1729] | [ 842 1729]
         O | [ 332 1747] | [ 372 1749] | [ 327 1787] | [ 368 1789]
     SHFT2 | [ 147 1647] | [ 246 1645] | [ 144 1681] | [ 245 1682]
         J | [ 422 1689] | [ 462 1692] | [ 419 1728] | [ 459 1729]
         ; | [ 275 1689] | [ 315 1692] | [ 269 1726] | [ 310 1729]
         W | [ 680 1747] | [ 720 1750] | [ 680 1787] | [ 720 1789]
         F | [ 567 1689] | [ 607 1691] | [ 566 1728] | [ 606 1730]
         K | [ 370 1690] | [ 410 1691] | [ 366 1728] | [ 407 1730]
         N | [ 448 1645] | [ 487 1646] | [ 446 1682] | [ 487 1681]
         M | [ 398 1643] | [ 437 1646] | [ 393 1681] | [ 434 1682]
         / | [ 254 1644] | [ 293 1646] | [ 249 1682] | [ 289 1683]
         L | [ 321 1689] | [ 361 1691] | [ 317 1728] | [ 357 1729]
         V | [ 543 1644] | [ 582 1645] | [ 543 1682] | [ 583 1681]
    ARROWS | [ 205 1595] | [ 243 1598] | [ 198 1638] | [ 238 1638]
         A | [ 715 1690] | [ 756 1691] | [ 719 1729] | [ 759 1728]
         D | [ 614 1691] | [ 656 1691] | [ 617 1729] | [ 657 1729]
         C | [ 591 1645] | [ 631 1645] | [ 593 1683] | [ 632 1683]
         , | [ 351 1644] | [ 389 1646] | [ 346 1681] | [ 386 1683]
         . | [ 301 1643] | [ 340 1646] | [ 296 1681] | [ 336 1682]
      CMD2 | [ 343 1597] | [ 395 1596] | [ 341 1637] | [ 393 1638]
      ALT2 | [ 296 1596] | [ 335 1597] | [ 291 1637] | [ 331 1639]
         S | [ 664 1690] | [ 704 1690] | [ 666 1728] | [ 707 1728]
     SHFT1 | [ 734 1645] | [ 831 1646] | [ 739 1682] | [ 837 1682]
         Z | [ 688 1645] | [ 729 1645] | [ 692 1682] | [ 731 1682]
         X | [ 636 1645] | [ 675 1645] | [ 639 1683] | [ 678 1682]
     SPACE | [ 399 1600] | [ 622 1595] | [ 401 1635] | [ 629 1639]
        FN | [ 789 1616] | [ 827 1617] | [ 794 1658] | [ 832 1658]
      CTRL | [ 744 1597] | [ 783 1597] | [ 749 1638] | [ 787 1638]
      ALT1 | [ 698 1596] | [ 738 1598] | [ 700 1637] | [ 739 1639]
      CMD1 | [ 633 1597] | [ 686 1597] | [ 637 1638] | [ 688 1638]
