       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 792 1763] | [ 830 1762] | [ 797 1801] | [ 834 1800]
         1 | [ 745 1763] | [ 782 1762] | [ 748 1801] | [ 786 1801]
         2 | [ 699 1762] | [ 736 1763] | [ 700 1801] | [ 737 1802]
         3 | [ 650 1764] | [ 688 1763] | [ 653 1802] | [ 691 1801]
         4 | [ 602 1765] | [ 640 1763] | [ 605 1803] | [ 643 1801]
         5 | [ 555 1764] | [ 593 1763] | [ 557 1803] | [ 595 1801]
         6 | [ 508 1764] | [ 546 1765] | [ 507 1802] | [ 545 1803]
         7 | [ 460 1764] | [ 498 1764] | [ 459 1803] | [ 497 1803]
         8 | [ 413 1764] | [ 450 1764] | [ 410 1803] | [ 449 1804]
         9 | [ 364 1765] | [ 403 1766] | [ 362 1804] | [ 401 1804]
         0 | [ 317 1765] | [ 355 1766] | [ 313 1804] | [ 352 1805]
         - | [ 269 1765] | [ 307 1766] | [ 264 1804] | [ 303 1805]
         = | [ 220 1766] | [ 258 1766] | [ 216 1806] | [ 254 1806]
    DELETE | [ 146 1768] | [ 209 1766] | [ 143 1807] | [ 207 1804]
       TAB | [ 764 1716] | [ 824 1715] | [ 768 1753] | [ 829 1751]
         Q | [ 717 1717] | [ 754 1715] | [ 720 1753] | [ 758 1753]
         W | [ 671 1716] | [ 708 1716] | [ 674 1754] | [ 711 1753]
         Y | [ 484 1717] | [ 520 1716] | [ 484 1755] | [ 522 1754]
         U | [ 437 1717] | [ 475 1718] | [ 436 1755] | [ 474 1755]
         I | [ 390 1718] | [ 428 1718] | [ 388 1755] | [ 425 1756]
         O | [ 343 1718] | [ 381 1719] | [ 340 1755] | [ 378 1756]
         P | [ 296 1718] | [ 333 1718] | [ 292 1756] | [ 330 1756]
         [ | [ 249 1718] | [ 286 1719] | [ 244 1756] | [ 282 1757]
         ] | [ 201 1718] | [ 239 1719] | [ 196 1757] | [ 234 1757]
         \ | [ 153 1719] | [ 191 1719] | [ 148 1757] | [ 187 1757]
         ' | [ 240 1673] | [ 279 1672] | [ 237 1710] | [ 274 1710]
    RETURN | [ 157 1675] | [ 230 1672] | [ 155 1711] | [ 229 1707]
 CAPS_LOCK | [ 747 1675] | [ 819 1670] | [ 753 1707] | [ 824 1705]
         T | [ 530 1718] | [ 568 1715] | [ 532 1755] | [ 570 1753]
         H | [ 472 1672] | [ 510 1672] | [ 473 1709] | [ 510 1707]
         B | [ 495 1628] | [ 532 1627] | [ 495 1663] | [ 533 1663]
     SHFT2 | [ 166 1628] | [ 259 1628] | [ 159 1664] | [ 254 1665]
        FN | [ 789 1578] | [ 809 1578] | [ 780 1618] | [ 812 1618]
    ARROWS | [ 214 1580] | [ 247 1578] | [ 211 1621] | [ 249 1621]
         R | [ 578 1717] | [ 616 1716] | [ 579 1754] | [ 617 1754]
         G | [ 518 1675] | [ 560 1668] | [ 522 1710] | [ 562 1704]
         E | [ 623 1717] | [ 660 1716] | [ 626 1754] | [ 663 1753]
         J | [ 422 1671] | [ 461 1672] | [ 421 1707] | [ 458 1708]
         ; | [ 287 1672] | [ 325 1672] | [ 284 1707] | [ 321 1708]
         N | [ 456 1631] | [ 487 1632] | [ 459 1667] | [ 486 1666]
         A | [ 701 1673] | [ 739 1671] | [ 706 1707] | [ 742 1706]
         K | [ 378 1672] | [ 415 1672] | [ 376 1707] | [ 413 1708]
         S | [ 655 1672] | [ 693 1671] | [ 659 1707] | [ 695 1707]
         F | [ 565 1673] | [ 604 1672] | [ 568 1708] | [ 605 1707]
         L | [ 336 1671] | [ 373 1671] | [ 334 1707] | [ 371 1707]
         M | [ 405 1631] | [ 442 1630] | [ 405 1665] | [ 443 1664]
         / | [ 267 1629] | [ 304 1629] | [ 263 1663] | [ 300 1664]
         D | [ 611 1672] | [ 647 1672] | [ 613 1708] | [ 649 1707]
     SHFT1 | [ 723 1633] | [ 813 1628] | [ 729 1664] | [ 821 1662]
         , | [ 357 1629] | [ 393 1629] | [ 354 1663] | [ 391 1665]
         . | [ 311 1630] | [ 348 1629] | [ 310 1665] | [ 347 1663]
         V | [ 542 1629] | [ 579 1629] | [ 541 1664] | [ 577 1666]
      CMD2 | [ 349 1580] | [ 398 1579] | [ 349 1619] | [ 396 1618]
      ALT2 | [ 307 1579] | [ 343 1580] | [ 303 1619] | [ 340 1619]
         Z | [ 675 1629] | [ 711 1629] | [ 679 1664] | [ 714 1663]
         X | [ 629 1629] | [ 667 1630] | [ 632 1665] | [ 668 1664]
         C | [ 586 1629] | [ 622 1628] | [ 588 1664] | [ 624 1663]
      CTRL | [ 733 1579] | [ 767 1580] | [ 734 1617] | [ 770 1619]
      ALT1 | [ 691 1583] | [ 725 1582] | [ 690 1612] | [ 725 1615]
     SPACE | [ 407 1583] | [ 595 1576] | [ 410 1618] | [ 623 1617]
      CMD1 | [ 626 1579] | [ 672 1578] | [ 629 1619] | [ 676 1618]
