       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 804 1751] | [ 840 1750] | [ 809 1789] | [ 845 1788]
         1 | [ 757 1751] | [ 795 1751] | [ 761 1789] | [ 798 1788]
         2 | [ 712 1750] | [ 748 1751] | [ 713 1788] | [ 749 1789]
         3 | [ 664 1751] | [ 700 1750] | [ 666 1789] | [ 704 1787]
         4 | [ 617 1751] | [ 654 1751] | [ 619 1789] | [ 656 1788]
         5 | [ 571 1751] | [ 608 1751] | [ 571 1789] | [ 608 1789]
         6 | [ 524 1751] | [ 561 1751] | [ 523 1788] | [ 560 1789]
         7 | [ 477 1751] | [ 514 1751] | [ 475 1788] | [ 513 1789]
         8 | [ 430 1751] | [ 467 1751] | [ 427 1788] | [ 466 1789]
         9 | [ 382 1751] | [ 420 1752] | [ 380 1789] | [ 419 1789]
         0 | [ 335 1751] | [ 373 1752] | [ 332 1789] | [ 371 1789]
         - | [ 288 1751] | [ 325 1751] | [ 284 1789] | [ 322 1790]
         = | [ 240 1751] | [ 278 1751] | [ 236 1790] | [ 274 1790]
    DELETE | [ 168 1752] | [ 230 1751] | [ 165 1791] | [ 227 1789]
       TAB | [ 776 1706] | [ 836 1705] | [ 781 1742] | [ 840 1741]
         Q | [ 730 1706] | [ 767 1705] | [ 734 1742] | [ 771 1740]
         W | [ 684 1706] | [ 721 1705] | [ 688 1742] | [ 724 1741]
         E | [ 640 1704] | [ 676 1706] | [ 640 1741] | [ 676 1742]
         R | [ 592 1706] | [ 629 1705] | [ 594 1742] | [ 631 1741]
         T | [ 546 1705] | [ 582 1704] | [ 547 1742] | [ 584 1741]
         Y | [ 500 1705] | [ 537 1705] | [ 499 1741] | [ 537 1742]
         U | [ 453 1705] | [ 491 1706] | [ 452 1741] | [ 490 1742]
         I | [ 407 1705] | [ 445 1706] | [ 406 1742] | [ 443 1742]
         O | [ 362 1704] | [ 398 1705] | [ 358 1741] | [ 396 1742]
         P | [ 314 1705] | [ 352 1705] | [ 311 1741] | [ 349 1742]
         [ | [ 269 1704] | [ 305 1705] | [ 264 1742] | [ 302 1742]
         ] | [ 221 1705] | [ 258 1705] | [ 217 1742] | [ 255 1742]
         \ | [ 174 1705] | [ 212 1705] | [ 169 1741] | [ 208 1742]
 CAPS_LOCK | [ 761 1661] | [ 830 1660] | [ 764 1696] | [ 835 1695]
         A | [ 716 1661] | [ 751 1660] | [ 719 1696] | [ 755 1695]
         S | [ 670 1661] | [ 706 1660] | [ 673 1696] | [ 709 1695]
         D | [ 625 1661] | [ 661 1660] | [ 627 1696] | [ 663 1696]
         F | [ 579 1661] | [ 616 1660] | [ 581 1696] | [ 617 1696]
         G | [ 533 1662] | [ 571 1660] | [ 535 1696] | [ 572 1695]
         H | [ 488 1661] | [ 525 1660] | [ 488 1696] | [ 526 1695]
         J | [ 442 1662] | [ 479 1660] | [ 442 1696] | [ 480 1695]
         K | [ 398 1660] | [ 435 1661] | [ 395 1695] | [ 433 1696]
         L | [ 352 1660] | [ 389 1661] | [ 349 1695] | [ 386 1696]
         ; | [ 306 1660] | [ 343 1661] | [ 303 1695] | [ 340 1696]
         ' | [ 260 1660] | [ 297 1660] | [ 256 1695] | [ 294 1696]
    RETURN | [ 178 1662] | [ 251 1660] | [ 176 1697] | [ 249 1693]
     SHFT1 | [ 733 1622] | [ 821 1616] | [ 738 1652] | [ 830 1651]
         Z | [ 690 1618] | [ 726 1617] | [ 693 1652] | [ 728 1652]
         X | [ 645 1618] | [ 681 1617] | [ 648 1652] | [ 684 1650]
         C | [ 600 1618] | [ 637 1617] | [ 603 1652] | [ 639 1650]
         V | [ 556 1617] | [ 592 1617] | [ 557 1652] | [ 593 1651]
         B | [ 512 1616] | [ 548 1618] | [ 511 1651] | [ 547 1652]
         N | [ 466 1617] | [ 503 1617] | [ 467 1652] | [ 503 1651]
         M | [ 421 1617] | [ 457 1616] | [ 421 1652] | [ 458 1650]
         , | [ 376 1617] | [ 413 1617] | [ 376 1652] | [ 412 1651]
         . | [ 332 1616] | [ 368 1617] | [ 329 1651] | [ 365 1652]
         / | [ 286 1617] | [ 323 1617] | [ 283 1651] | [ 319 1652]
     SHFT2 | [ 182 1622] | [ 274 1615] | [ 181 1652] | [ 276 1649]
        FN | [ 786 1570] | [ 821 1571] | [ 789 1608] | [ 824 1609]
      CTRL | [ 742 1570] | [ 777 1570] | [ 744 1607] | [ 780 1609]
      ALT1 | [ 699 1569] | [ 734 1571] | [ 700 1608] | [ 735 1609]
      CMD1 | [ 643 1570] | [ 689 1569] | [ 646 1609] | [ 692 1608]
     SPACE | [ 421 1574] | [ 631 1568] | [ 423 1609] | [ 637 1608]
      CMD2 | [ 367 1570] | [ 413 1568] | [ 367 1609] | [ 414 1607]
      ALT2 | [ 325 1568] | [ 359 1568] | [ 321 1608] | [ 356 1609]
    ARROWS | [ 235 1568] | [ 271 1569] | [ 230 1607] | [ 267 1608]
