       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 852 1775] | [ 893 1774] | [ 858 1814] | [ 900 1813]
         1 | [ 801 1774] | [ 842 1774] | [ 807 1814] | [ 848 1813]
         4 | [ 647 1775] | [ 688 1773] | [ 651 1814] | [ 692 1814]
         5 | [ 596 1774] | [ 637 1773] | [ 599 1814] | [ 641 1812]
         6 | [ 544 1774] | [ 586 1773] | [ 545 1813] | [ 589 1812]
         7 | [ 493 1774] | [ 535 1773] | [ 493 1813] | [ 536 1813]
         8 | [ 441 1774] | [ 483 1773] | [ 441 1813] | [ 483 1813]
         9 | [ 391 1772] | [ 433 1774] | [ 388 1812] | [ 430 1813]
         0 | [ 337 1774] | [ 381 1773] | [ 336 1813] | [ 379 1812]
         - | [ 287 1772] | [ 329 1773] | [ 282 1812] | [ 325 1813]
         = | [ 235 1771] | [ 277 1772] | [ 229 1811] | [ 272 1813]
    DELETE | [ 155 1773] | [ 223 1771] | [ 151 1813] | [ 221 1811]
       TAB | [ 820 1728] | [ 886 1728] | [ 825 1765] | [ 892 1765]
         T | [ 568 1728] | [ 609 1725] | [ 571 1765] | [ 612 1764]
         Y | [ 518 1727] | [ 560 1726] | [ 520 1765] | [ 561 1764]
         U | [ 468 1726] | [ 508 1725] | [ 468 1764] | [ 510 1763]
         \ | [ 164 1724] | [ 205 1724] | [ 157 1761] | [ 200 1763]
         H | [ 505 1682] | [ 546 1680] | [ 507 1718] | [ 548 1716]
         ] | [ 216 1723] | [ 257 1726] | [ 210 1763] | [ 252 1763]
    RETURN | [ 168 1682] | [ 248 1678] | [ 166 1716] | [ 246 1714]
         2 | [ 749 1775] | [ 790 1773] | [ 755 1814] | [ 796 1813]
         3 | [ 699 1774] | [ 739 1773] | [ 703 1814] | [ 745 1812]
         Q | [ 770 1727] | [ 809 1726] | [ 775 1765] | [ 816 1765]
         [ | [ 265 1725] | [ 307 1725] | [ 263 1764] | [ 304 1763]
         P | [ 316 1725] | [ 356 1724] | [ 314 1764] | [ 356 1762]
         I | [ 417 1727] | [ 458 1725] | [ 417 1764] | [ 458 1764]
         O | [ 366 1726] | [ 408 1725] | [ 365 1764] | [ 407 1763]
         J | [ 455 1682] | [ 497 1680] | [ 457 1718] | [ 497 1717]
         W | [ 719 1728] | [ 761 1727] | [ 724 1765] | [ 765 1765]
         R | [ 619 1727] | [ 658 1724] | [ 623 1765] | [ 663 1763]
         B | [ 529 1639] | [ 569 1637] | [ 531 1674] | [ 571 1674]
         N | [ 481 1638] | [ 521 1637] | [ 481 1673] | [ 522 1673]
         G | [ 554 1681] | [ 594 1679] | [ 555 1717] | [ 597 1717]
         K | [ 410 1676] | [ 448 1683] | [ 405 1717] | [ 446 1719]
 CAPS_LOCK | [ 800 1681] | [ 876 1679] | [ 807 1717] | [ 884 1715]
         ' | [ 256 1683] | [ 297 1679] | [ 255 1717] | [ 297 1714]
         V | [ 576 1635] | [ 616 1635] | [ 577 1671] | [ 618 1671]
         E | [ 676 1726] | [ 716 1725] | [ 679 1764] | [ 721 1763]
         M | [ 427 1635] | [ 468 1635] | [ 427 1671] | [ 468 1670]
         F | [ 603 1682] | [ 644 1680] | [ 607 1718] | [ 647 1716]
         D | [ 654 1681] | [ 693 1679] | [ 659 1717] | [ 698 1715]
         ; | [ 303 1681] | [ 345 1680] | [ 302 1717] | [ 343 1716]
         L | [ 357 1680] | [ 397 1679] | [ 356 1717] | [ 397 1716]
     SHFT2 | [ 175 1639] | [ 275 1634] | [ 174 1672] | [ 276 1669]
         A | [ 752 1680] | [ 791 1680] | [ 756 1717] | [ 796 1717]
         S | [ 710 1680] | [ 749 1679] | [ 713 1717] | [ 754 1716]
         , | [ 380 1637] | [ 421 1635] | [ 381 1672] | [ 421 1670]
         / | [ 285 1637] | [ 326 1635] | [ 283 1671] | [ 325 1669]
    ARROWS | [ 230 1586] | [ 270 1588] | [ 224 1627] | [ 265 1628]
         C | [ 627 1637] | [ 667 1635] | [ 630 1671] | [ 671 1671]
         . | [ 330 1636] | [ 369 1634] | [ 329 1671] | [ 369 1671]
     SHFT1 | [ 768 1637] | [ 865 1635] | [ 775 1672] | [ 874 1671]
      CMD2 | [ 365 1597] | [ 418 1595] | [ 366 1636] | [ 419 1635]
        FN | [ 822 1599] | [ 861 1599] | [ 829 1639] | [ 868 1638]
     SPACE | [ 433 1594] | [ 658 1588] | [ 436 1631] | [ 666 1629]
      ALT2 | [ 321 1593] | [ 362 1593] | [ 319 1633] | [ 359 1633]
         Z | [ 727 1637] | [ 767 1635] | [ 733 1672] | [ 772 1671]
         X | [ 679 1637] | [ 719 1635] | [ 684 1672] | [ 724 1670]
      CTRL | [ 770 1595] | [ 812 1592] | [ 781 1633] | [ 819 1632]
      CMD1 | [ 677 1593] | [ 729 1592] | [ 682 1633] | [ 734 1631]
      ALT1 | [ 732 1593] | [ 771 1592] | [ 738 1633] | [ 777 1631]
