       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 788 1756] | [ 824 1756] | [ 792 1789] | [ 829 1788]
         1 | [ 742 1756] | [ 778 1756] | [ 745 1789] | [ 782 1789]
         6 | [ 513 1756] | [ 549 1756] | [ 513 1789] | [ 549 1789]
         7 | [ 467 1757] | [ 503 1756] | [ 467 1789] | [ 503 1788]
         9 | [ 376 1757] | [ 412 1756] | [ 374 1789] | [ 410 1789]
         - | [ 286 1756] | [ 321 1756] | [ 281 1789] | [ 317 1789]
         = | [ 240 1756] | [ 275 1756] | [ 235 1789] | [ 271 1789]
    DELETE | [ 171 1757] | [ 229 1756] | [ 165 1789] | [ 225 1788]
       TAB | [ 760 1717] | [ 818 1715] | [ 764 1747] | [ 823 1747]
         \ | [ 180 1715] | [ 214 1716] | [ 173 1747] | [ 209 1747]
    RETURN | [ 185 1678] | [ 251 1676] | [ 181 1707] | [ 250 1705]
         ] | [ 223 1716] | [ 258 1715] | [ 218 1747] | [ 254 1747]
         [ | [ 267 1717] | [ 302 1715] | [ 264 1747] | [ 300 1746]
         0 | [ 331 1756] | [ 366 1756] | [ 327 1789] | [ 363 1789]
         8 | [ 422 1756] | [ 458 1756] | [ 420 1789] | [ 457 1788]
         3 | [ 650 1757] | [ 687 1756] | [ 652 1789] | [ 689 1789]
         2 | [ 696 1756] | [ 733 1756] | [ 699 1789] | [ 735 1789]
         P | [ 313 1716] | [ 348 1716] | [ 309 1747] | [ 344 1748]
         Y | [ 491 1717] | [ 526 1715] | [ 492 1748] | [ 527 1747]
         T | [ 536 1716] | [ 571 1715] | [ 536 1747] | [ 572 1747]
         G | [ 525 1678] | [ 561 1677] | [ 525 1707] | [ 561 1707]
         I | [ 402 1716] | [ 436 1715] | [ 400 1747] | [ 436 1747]
         O | [ 357 1716] | [ 393 1716] | [ 355 1747] | [ 391 1746]
         U | [ 446 1717] | [ 481 1715] | [ 445 1747] | [ 481 1747]
         H | [ 481 1678] | [ 517 1677] | [ 481 1707] | [ 516 1707]
         4 | [ 606 1755] | [ 641 1756] | [ 605 1788] | [ 642 1789]
         5 | [ 559 1756] | [ 595 1756] | [ 559 1789] | [ 596 1789]
         Q | [ 716 1715] | [ 751 1715] | [ 718 1747] | [ 755 1746]
         E | [ 626 1715] | [ 661 1715] | [ 627 1747] | [ 663 1747]
         W | [ 671 1715] | [ 706 1715] | [ 673 1747] | [ 709 1747]
         ' | [ 262 1677] | [ 297 1677] | [ 258 1707] | [ 294 1706]
         R | [ 581 1716] | [ 616 1715] | [ 582 1747] | [ 618 1747]
 CAPS_LOCK | [ 745 1677] | [ 813 1676] | [ 749 1707] | [ 818 1707]
         F | [ 569 1678] | [ 604 1676] | [ 570 1707] | [ 605 1707]
         D | [ 613 1677] | [ 648 1676] | [ 615 1707] | [ 650 1707]
         B | [ 504 1640] | [ 538 1639] | [ 504 1669] | [ 539 1668]
         A | [ 701 1677] | [ 736 1676] | [ 704 1707] | [ 739 1707]
         S | [ 657 1677] | [ 692 1676] | [ 660 1707] | [ 695 1706]
     SHFT2 | [ 195 1639] | [ 281 1641] | [ 187 1666] | [ 275 1669]
         V | [ 547 1640] | [ 581 1639] | [ 547 1668] | [ 583 1668]
         Z | [ 677 1639] | [ 711 1639] | [ 680 1669] | [ 714 1668]
     SHFT1 | [ 719 1642] | [ 803 1637] | [ 724 1669] | [ 812 1669]
         J | [ 437 1678] | [ 472 1677] | [ 436 1707] | [ 472 1706]
         C | [ 591 1639] | [ 625 1639] | [ 591 1668] | [ 626 1668]
         ; | [ 306 1677] | [ 341 1677] | [ 303 1707] | [ 338 1707]
         K | [ 394 1677] | [ 429 1677] | [ 392 1707] | [ 427 1707]
         L | [ 350 1677] | [ 385 1677] | [ 347 1707] | [ 383 1706]
         X | [ 634 1639] | [ 668 1639] | [ 635 1668] | [ 670 1668]
      CTRL | [ 727 1598] | [ 760 1598] | [ 731 1632] | [ 765 1631]
      ALT1 | [ 684 1599] | [ 718 1598] | [ 688 1632] | [ 722 1631]
         / | [ 289 1640] | [ 322 1639] | [ 286 1669] | [ 321 1667]
        FN | [ 769 1598] | [ 803 1598] | [ 774 1632] | [ 808 1631]
         N | [ 461 1640] | [ 495 1639] | [ 461 1669] | [ 495 1668]
      CMD1 | [ 632 1599] | [ 677 1599] | [ 634 1632] | [ 679 1631]
         M | [ 418 1640] | [ 452 1639] | [ 417 1669] | [ 451 1668]
         . | [ 332 1640] | [ 365 1639] | [ 330 1669] | [ 364 1668]
    ARROWS | [ 243 1598] | [ 276 1599] | [ 237 1631] | [ 270 1632]
      ALT2 | [ 326 1599] | [ 360 1599] | [ 323 1632] | [ 356 1632]
     SPACE | [ 419 1604] | [ 620 1597] | [ 419 1632] | [ 625 1631]
         , | [ 384 1639] | [ 419 1638] | [ 382 1668] | [ 417 1668]
      CMD2 | [ 380 1598] | [ 425 1598] | [ 377 1631] | [ 422 1631]
