       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 807 1808] | [ 847 1808] | [ 812 1849] | [ 852 1849]
         1 | [ 756 1807] | [ 797 1807] | [ 759 1847] | [ 801 1847]
         2 | [ 706 1805] | [ 747 1806] | [ 710 1847] | [ 750 1846]
         5 | [ 556 1801] | [ 597 1804] | [ 554 1842] | [ 595 1844]
         6 | [ 505 1800] | [ 545 1801] | [ 503 1841] | [ 545 1842]
         7 | [ 454 1799] | [ 495 1801] | [ 452 1840] | [ 493 1841]
       TAB | [ 778 1758] | [ 843 1760] | [ 781 1798] | [ 847 1798]
         8 | [ 403 1798] | [ 445 1800] | [ 400 1838] | [ 442 1840]
         U | [ 431 1750] | [ 472 1752] | [ 429 1789] | [ 470 1790]
         Y | [ 481 1751] | [ 521 1752] | [ 479 1790] | [ 519 1792]
         4 | [ 606 1802] | [ 648 1804] | [ 606 1844] | [ 647 1845]
         T | [ 532 1752] | [ 572 1755] | [ 529 1790] | [ 569 1793]
         N | [ 449 1658] | [ 488 1661] | [ 447 1696] | [ 486 1696]
         B | [ 496 1661] | [ 535 1661] | [ 495 1697] | [ 535 1697]
         Q | [ 731 1753] | [ 767 1754] | [ 733 1794] | [ 773 1792]
         3 | [ 656 1801] | [ 697 1804] | [ 656 1843] | [ 697 1845]
         R | [ 580 1751] | [ 621 1755] | [ 578 1789] | [ 619 1793]
         9 | [ 353 1802] | [ 394 1804] | [ 349 1844] | [ 392 1844]
    DELETE | [ 124 1802] | [ 190 1802] | [ 118 1844] | [ 186 1844]
         0 | [ 303 1802] | [ 344 1805] | [ 297 1843] | [ 337 1846]
         - | [ 252 1802] | [ 293 1803] | [ 246 1844] | [ 287 1845]
         = | [ 200 1803] | [ 242 1804] | [ 195 1844] | [ 237 1844]
         ] | [ 184 1752] | [ 224 1754] | [ 177 1791] | [ 219 1792]
         [ | [ 234 1752] | [ 275 1754] | [ 229 1792] | [ 269 1793]
         \ | [ 134 1752] | [ 174 1753] | [ 127 1792] | [ 168 1792]
         P | [ 284 1751] | [ 324 1755] | [ 277 1790] | [ 317 1793]
    RETURN | [ 140 1659] | [ 218 1659] | [ 135 1696] | [ 214 1696]
         H | [ 467 1659] | [ 507 1658] | [ 467 1696] | [ 507 1696]
         G | [ 515 1658] | [ 554 1658] | [ 514 1696] | [ 556 1696]
         V | [ 541 1659] | [ 580 1659] | [ 542 1696] | [ 583 1696]
         ' | [ 225 1658] | [ 265 1659] | [ 219 1696] | [ 260 1698]
         J | [ 425 1658] | [ 465 1659] | [ 423 1697] | [ 462 1698]
         I | [ 373 1749] | [ 413 1754] | [ 369 1792] | [ 410 1794]
         E | [ 632 1754] | [ 676 1753] | [ 634 1792] | [ 675 1793]
 CAPS_LOCK | [ 760 1659] | [ 836 1659] | [ 767 1697] | [ 841 1697]
         O | [ 331 1751] | [ 371 1753] | [ 326 1791] | [ 367 1793]
     SHFT2 | [ 145 1661] | [ 244 1659] | [ 142 1695] | [ 243 1696]
         ; | [ 275 1657] | [ 315 1660] | [ 269 1694] | [ 310 1697]
         W | [ 681 1751] | [ 721 1754] | [ 681 1791] | [ 721 1793]
         F | [ 567 1657] | [ 607 1659] | [ 566 1696] | [ 606 1698]
         K | [ 366 1658] | [ 406 1659] | [ 362 1696] | [ 403 1698]
         M | [ 394 1657] | [ 433 1660] | [ 389 1695] | [ 430 1696]
         / | [ 255 1658] | [ 294 1660] | [ 250 1696] | [ 290 1697]
         L | [ 320 1657] | [ 360 1659] | [ 316 1696] | [ 356 1697]
    ARROWS | [ 201 1572] | [ 239 1575] | [ 194 1615] | [ 234 1615]
         A | [ 713 1658] | [ 754 1659] | [ 717 1697] | [ 757 1696]
         D | [ 614 1659] | [ 656 1659] | [ 617 1697] | [ 657 1697]
         C | [ 588 1659] | [ 628 1659] | [ 590 1697] | [ 629 1697]
         , | [ 345 1658] | [ 383 1660] | [ 340 1695] | [ 380 1697]
         . | [ 301 1657] | [ 340 1660] | [ 296 1695] | [ 336 1696]
      CMD2 | [ 332 1574] | [ 384 1573] | [ 330 1614] | [ 382 1615]
      ALT2 | [ 296 1573] | [ 335 1574] | [ 291 1614] | [ 331 1616]
         S | [ 666 1658] | [ 706 1658] | [ 668 1696] | [ 709 1696]
     SHFT1 | [ 732 1659] | [ 829 1660] | [ 737 1696] | [ 835 1696]
         Z | [ 687 1659] | [ 728 1659] | [ 691 1696] | [ 730 1696]
         X | [ 643 1659] | [ 682 1659] | [ 646 1697] | [ 685 1696]
     SPACE | [ 401 1577] | [ 624 1572] | [ 403 1612] | [ 631 1616]
        FN | [ 788 1621] | [ 826 1622] | [ 793 1663] | [ 831 1663]
      CTRL | [ 742 1574] | [ 781 1574] | [ 747 1615] | [ 785 1615]
      ALT1 | [ 699 1573] | [ 739 1575] | [ 701 1614] | [ 740 1616]
      CMD1 | [ 635 1574] | [ 688 1574] | [ 639 1615] | [ 690 1615]
