       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 801 1760] | [ 834 1759] | [ 805 1792] | [ 839 1791]
         1 | [ 759 1762] | [ 792 1760] | [ 762 1793] | [ 797 1791]
         2 | [ 717 1763] | [ 751 1761] | [ 721 1795] | [ 754 1793]
         3 | [ 675 1765] | [ 708 1762] | [ 677 1795] | [ 712 1794]
         4 | [ 635 1764] | [ 669 1765] | [ 635 1796] | [ 669 1796]
         5 | [ 593 1765] | [ 627 1765] | [ 593 1797] | [ 627 1797]
         6 | [ 551 1767] | [ 584 1765] | [ 552 1799] | [ 586 1796]
         7 | [ 511 1767] | [ 544 1768] | [ 509 1799] | [ 543 1799]
         8 | [ 469 1768] | [ 502 1768] | [ 466 1799] | [ 501 1800]
         9 | [ 428 1769] | [ 461 1769] | [ 425 1801] | [ 459 1801]
         0 | [ 387 1770] | [ 420 1771] | [ 383 1802] | [ 417 1802]
         - | [ 344 1772] | [ 379 1772] | [ 342 1803] | [ 376 1803]
         = | [ 304 1772] | [ 337 1772] | [ 300 1804] | [ 334 1804]
    DELETE | [ 242 1774] | [ 296 1773] | [ 238 1807] | [ 293 1805]
       TAB | [ 776 1723] | [ 831 1723] | [ 778 1752] | [ 832 1753]
         Q | [ 735 1724] | [ 768 1723] | [ 738 1755] | [ 771 1754]
         W | [ 694 1725] | [ 727 1724] | [ 696 1756] | [ 730 1754]
         E | [ 653 1726] | [ 686 1725] | [ 655 1757] | [ 689 1755]
         R | [ 612 1727] | [ 645 1726] | [ 613 1758] | [ 647 1757]
         T | [ 571 1729] | [ 604 1727] | [ 572 1759] | [ 606 1757]
         Y | [ 530 1730] | [ 564 1728] | [ 531 1760] | [ 565 1758]
         U | [ 489 1731] | [ 523 1729] | [ 489 1761] | [ 523 1760]
         I | [ 449 1731] | [ 482 1730] | [ 448 1762] | [ 481 1762]
         O | [ 409 1732] | [ 441 1731] | [ 407 1763] | [ 441 1761]
         P | [ 370 1732] | [ 402 1733] | [ 365 1763] | [ 398 1764]
         [ | [ 329 1733] | [ 361 1734] | [ 325 1765] | [ 357 1765]
         ] | [ 288 1735] | [ 321 1735] | [ 284 1766] | [ 316 1766]
         \ | [ 247 1736] | [ 281 1736] | [ 243 1767] | [ 276 1767]
 CAPS_LOCK | [ 763 1686] | [ 826 1685] | [ 764 1714] | [ 828 1715]
         A | [ 721 1688] | [ 755 1687] | [ 724 1717] | [ 758 1715]
         S | [ 682 1688] | [ 715 1688] | [ 683 1718] | [ 717 1717]
         D | [ 641 1690] | [ 673 1688] | [ 642 1719] | [ 676 1718]
         F | [ 602 1690] | [ 635 1691] | [ 601 1719] | [ 634 1720]
         G | [ 562 1691] | [ 594 1691] | [ 561 1721] | [ 594 1721]
         H | [ 521 1692] | [ 554 1692] | [ 520 1722] | [ 554 1722]
         J | [ 480 1694] | [ 513 1693] | [ 480 1724] | [ 513 1723]
         K | [ 442 1694] | [ 474 1694] | [ 439 1724] | [ 472 1724]
         L | [ 402 1695] | [ 434 1695] | [ 399 1725] | [ 431 1726]
         ; | [ 362 1696] | [ 394 1696] | [ 359 1727] | [ 392 1726]
         ' | [ 322 1697] | [ 354 1697] | [ 318 1727] | [ 351 1727]
     SHFT1 | [ 740 1651] | [ 822 1650] | [ 740 1678] | [ 822 1679]
         X | [ 661 1653] | [ 693 1654] | [ 661 1682] | [ 693 1682]
         C | [ 620 1655] | [ 653 1654] | [ 621 1684] | [ 654 1682]
         B | [ 541 1657] | [ 574 1656] | [ 542 1686] | [ 574 1684]
         N | [ 501 1658] | [ 534 1657] | [ 501 1687] | [ 533 1686]
         , | [ 423 1659] | [ 456 1660] | [ 421 1688] | [ 454 1688]
        FN | [ 784 1612] | [ 816 1610] | [ 789 1644] | [ 820 1643]
      CTRL | [ 745 1612] | [ 777 1611] | [ 749 1645] | [ 781 1643]
      ALT1 | [ 706 1614] | [ 738 1612] | [ 709 1646] | [ 741 1645]
      CMD1 | [ 657 1615] | [ 699 1613] | [ 659 1647] | [ 702 1645]
     SPACE | [ 467 1618] | [ 652 1617] | [ 461 1649] | [ 650 1648]
      CMD2 | [ 416 1620] | [ 457 1620] | [ 413 1653] | [ 455 1653]
      ALT2 | [ 377 1622] | [ 409 1622] | [ 374 1654] | [ 407 1654]
         Z | [ 699 1653] | [ 731 1651] | [ 702 1682] | [ 734 1680]
    ARROWS | [ 301 1623] | [ 332 1623] | [ 297 1657] | [ 329 1656]
         V | [ 581 1655] | [ 613 1655] | [ 581 1684] | [ 613 1684]
         M | [ 463 1658] | [ 495 1658] | [ 461 1687] | [ 494 1687]
         . | [ 382 1655] | [ 415 1653] | [ 382 1684] | [ 414 1682]
    RETURN | [ 260 1692] | [ 315 1692] | [ 246 1718] | [ 310 1722]
     SHFT2 | [ 257 1654] | [ 338 1653] | [ 258 1683] | [ 334 1683]
         / | [ 344 1655] | [ 377 1653] | [ 343 1684] | [ 376 1681]
