       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 784 1757] | [ 822 1757] | [ 788 1792] | [ 826 1792]
         1 | [ 738 1757] | [ 776 1757] | [ 741 1792] | [ 780 1792]
         2 | [ 692 1758] | [ 730 1757] | [ 695 1792] | [ 733 1792]
         3 | [ 647 1757] | [ 684 1757] | [ 649 1792] | [ 687 1791]
         4 | [ 601 1758] | [ 639 1757] | [ 602 1792] | [ 640 1792]
         5 | [ 555 1758] | [ 593 1757] | [ 556 1792] | [ 594 1792]
         6 | [ 510 1757] | [ 547 1757] | [ 510 1792] | [ 548 1791]
         7 | [ 464 1757] | [ 502 1757] | [ 463 1792] | [ 501 1792]
         8 | [ 419 1757] | [ 456 1757] | [ 417 1792] | [ 455 1791]
         9 | [ 374 1757] | [ 411 1757] | [ 371 1792] | [ 408 1792]
         0 | [ 328 1757] | [ 365 1757] | [ 324 1791] | [ 362 1792]
         - | [ 283 1757] | [ 320 1757] | [ 278 1791] | [ 315 1792]
         = | [ 237 1757] | [ 274 1757] | [ 232 1791] | [ 269 1792]
    DELETE | [ 168 1758] | [ 228 1756] | [ 163 1792] | [ 224 1791]
       TAB | [ 757 1716] | [ 817 1717] | [ 760 1750] | [ 821 1750]
         Q | [ 712 1716] | [ 749 1716] | [ 715 1750] | [ 752 1750]
         W | [ 667 1716] | [ 704 1716] | [ 669 1750] | [ 707 1750]
         E | [ 623 1716] | [ 659 1716] | [ 624 1750] | [ 661 1750]
         R | [ 578 1717] | [ 614 1716] | [ 579 1750] | [ 616 1750]
         T | [ 533 1717] | [ 569 1716] | [ 533 1750] | [ 571 1749]
         Y | [ 488 1717] | [ 525 1717] | [ 487 1750] | [ 525 1750]
         U | [ 443 1718] | [ 481 1717] | [ 442 1750] | [ 480 1749]
         I | [ 399 1717] | [ 435 1716] | [ 397 1750] | [ 434 1750]
         O | [ 354 1718] | [ 390 1716] | [ 351 1750] | [ 389 1750]
         P | [ 310 1717] | [ 347 1717] | [ 306 1750] | [ 344 1750]
         [ | [ 265 1717] | [ 302 1716] | [ 261 1750] | [ 299 1749]
         ] | [ 222 1716] | [ 258 1716] | [ 216 1750] | [ 253 1750]
         \ | [ 176 1717] | [ 213 1716] | [ 171 1750] | [ 208 1750]
 CAPS_LOCK | [ 741 1680] | [ 812 1678] | [ 745 1710] | [ 816 1710]
         A | [ 698 1678] | [ 734 1677] | [ 700 1710] | [ 737 1710]
         S | [ 654 1678] | [ 690 1677] | [ 656 1710] | [ 693 1710]
         D | [ 610 1678] | [ 646 1677] | [ 611 1710] | [ 648 1710]
         F | [ 566 1678] | [ 603 1678] | [ 567 1710] | [ 604 1710]
         G | [ 522 1678] | [ 559 1678] | [ 522 1710] | [ 559 1710]
         H | [ 478 1679] | [ 515 1678] | [ 478 1710] | [ 515 1709]
         J | [ 435 1678] | [ 471 1678] | [ 433 1710] | [ 470 1710]
         K | [ 391 1678] | [ 427 1678] | [ 389 1710] | [ 426 1709]
         L | [ 347 1678] | [ 384 1678] | [ 345 1710] | [ 381 1710]
         ; | [ 303 1679] | [ 340 1678] | [ 300 1710] | [ 337 1710]
         ' | [ 261 1677] | [ 296 1678] | [ 256 1710] | [ 292 1710]
    RETURN | [ 183 1679] | [ 252 1677] | [ 178 1710] | [ 249 1708]
     SHFT1 | [ 716 1641] | [ 803 1639] | [ 720 1672] | [ 811 1671]
         Z | [ 673 1641] | [ 709 1640] | [ 676 1672] | [ 712 1671]
         X | [ 630 1641] | [ 666 1640] | [ 633 1672] | [ 668 1671]
         C | [ 588 1640] | [ 623 1640] | [ 589 1672] | [ 625 1671]
         V | [ 544 1641] | [ 580 1640] | [ 545 1672] | [ 581 1671]
         B | [ 501 1641] | [ 536 1640] | [ 501 1672] | [ 537 1671]
         N | [ 458 1641] | [ 493 1640] | [ 458 1672] | [ 494 1671]
         M | [ 415 1641] | [ 450 1640] | [ 414 1672] | [ 450 1671]
         / | [ 287 1641] | [ 322 1640] | [ 283 1671] | [ 320 1670]
     SHFT2 | [ 196 1641] | [ 278 1644] | [ 187 1668] | [ 271 1670]
        FN | [ 766 1600] | [ 802 1600] | [ 770 1635] | [ 806 1634]
      CTRL | [ 723 1601] | [ 758 1599] | [ 727 1635] | [ 763 1635]
      ALT1 | [ 681 1600] | [ 717 1600] | [ 683 1634] | [ 720 1634]
      CMD1 | [ 629 1600] | [ 675 1600] | [ 631 1635] | [ 677 1634]
     SPACE | [ 423 1601] | [ 621 1604] | [ 417 1628] | [ 620 1633]
      CMD2 | [ 366 1600] | [ 411 1600] | [ 364 1635] | [ 410 1633]
      ALT2 | [ 324 1600] | [ 359 1600] | [ 320 1634] | [ 355 1635]
    ARROWS | [ 241 1599] | [ 275 1599] | [ 235 1634] | [ 271 1634]
         , | [ 373 1641] | [ 409 1640] | [ 371 1671] | [ 407 1671]
         . | [ 329 1641] | [ 365 1640] | [ 326 1671] | [ 363 1671]
