       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 808 1758] | [ 845 1756] | [ 814 1795] | [ 850 1793]
         1 | [ 762 1757] | [ 799 1757] | [ 766 1795] | [ 803 1793]
         2 | [ 715 1757] | [ 753 1757] | [ 718 1795] | [ 755 1795]
         3 | [ 668 1758] | [ 706 1757] | [ 671 1795] | [ 708 1795]
         4 | [ 621 1758] | [ 659 1757] | [ 623 1795] | [ 661 1794]
         5 | [ 574 1758] | [ 612 1757] | [ 575 1795] | [ 613 1795]
         6 | [ 527 1758] | [ 565 1757] | [ 529 1796] | [ 566 1794]
         7 | [ 481 1757] | [ 518 1757] | [ 480 1796] | [ 517 1796]
         8 | [ 434 1757] | [ 472 1759] | [ 432 1796] | [ 469 1796]
         9 | [ 387 1757] | [ 424 1758] | [ 384 1795] | [ 422 1796]
         0 | [ 338 1758] | [ 377 1758] | [ 336 1796] | [ 374 1796]
         - | [ 291 1758] | [ 329 1757] | [ 288 1796] | [ 326 1796]
         = | [ 245 1757] | [ 282 1758] | [ 240 1796] | [ 279 1796]
    DELETE | [ 172 1758] | [ 233 1757] | [ 168 1797] | [ 231 1796]
       TAB | [ 780 1712] | [ 839 1710] | [ 784 1747] | [ 844 1747]
         Q | [ 735 1711] | [ 772 1711] | [ 737 1747] | [ 775 1747]
         W | [ 689 1711] | [ 726 1711] | [ 692 1748] | [ 728 1747]
         E | [ 642 1712] | [ 680 1711] | [ 645 1748] | [ 682 1746]
         R | [ 598 1710] | [ 634 1712] | [ 597 1747] | [ 634 1748]
         T | [ 552 1710] | [ 588 1712] | [ 550 1747] | [ 587 1748]
         Y | [ 504 1711] | [ 541 1711] | [ 504 1748] | [ 540 1748]
         U | [ 458 1711] | [ 495 1711] | [ 457 1748] | [ 494 1748]
         I | [ 412 1711] | [ 449 1712] | [ 409 1747] | [ 447 1748]
         O | [ 365 1711] | [ 402 1711] | [ 362 1747] | [ 399 1749]
         P | [ 318 1711] | [ 355 1711] | [ 315 1748] | [ 352 1749]
         [ | [ 272 1711] | [ 309 1711] | [ 268 1748] | [ 306 1748]
         ] | [ 225 1711] | [ 262 1711] | [ 221 1749] | [ 258 1749]
         \ | [ 178 1711] | [ 216 1712] | [ 173 1748] | [ 212 1748]
 CAPS_LOCK | [ 764 1669] | [ 835 1666] | [ 769 1702] | [ 839 1701]
         A | [ 720 1666] | [ 756 1666] | [ 723 1702] | [ 759 1701]
         S | [ 674 1667] | [ 711 1666] | [ 677 1702] | [ 713 1702]
         D | [ 629 1667] | [ 665 1666] | [ 631 1702] | [ 667 1702]
         F | [ 583 1667] | [ 620 1666] | [ 585 1702] | [ 621 1702]
         G | [ 538 1667] | [ 575 1666] | [ 539 1702] | [ 576 1701]
         H | [ 492 1667] | [ 529 1666] | [ 494 1703] | [ 529 1702]
         J | [ 446 1668] | [ 483 1666] | [ 446 1702] | [ 483 1702]
         K | [ 400 1668] | [ 438 1666] | [ 401 1703] | [ 437 1702]
         L | [ 356 1666] | [ 392 1666] | [ 353 1702] | [ 390 1702]
         ; | [ 310 1666] | [ 347 1667] | [ 306 1701] | [ 344 1702]
         ' | [ 264 1666] | [ 301 1667] | [ 260 1701] | [ 296 1703]
    RETURN | [ 182 1667] | [ 253 1665] | [ 180 1703] | [ 252 1701]
     SHFT1 | [ 738 1626] | [ 827 1622] | [ 744 1658] | [ 834 1656]
         Z | [ 694 1623] | [ 730 1623] | [ 697 1658] | [ 733 1657]
         X | [ 649 1624] | [ 686 1623] | [ 651 1657] | [ 687 1658]
         C | [ 604 1624] | [ 641 1623] | [ 607 1658] | [ 643 1656]
         V | [ 561 1622] | [ 597 1624] | [ 560 1656] | [ 596 1658]
         B | [ 515 1623] | [ 552 1623] | [ 516 1658] | [ 552 1657]
         N | [ 470 1623] | [ 507 1623] | [ 470 1658] | [ 507 1657]
         M | [ 425 1623] | [ 462 1623] | [ 425 1658] | [ 461 1657]
         , | [ 380 1623] | [ 416 1622] | [ 379 1658] | [ 416 1657]
         . | [ 336 1622] | [ 372 1624] | [ 333 1657] | [ 369 1658]
         / | [ 291 1622] | [ 327 1624] | [ 287 1657] | [ 323 1658]
     SHFT2 | [ 186 1627] | [ 277 1621] | [ 185 1658] | [ 280 1653]
        FN | [ 790 1575] | [ 825 1576] | [ 793 1614] | [ 829 1614]
      CTRL | [ 746 1575] | [ 781 1576] | [ 749 1614] | [ 784 1615]
      ALT1 | [ 702 1575] | [ 738 1576] | [ 704 1613] | [ 739 1615]
      CMD1 | [ 647 1575] | [ 693 1575] | [ 650 1615] | [ 696 1614]
     SPACE | [ 425 1579] | [ 633 1573] | [ 426 1615] | [ 641 1613]
      CMD2 | [ 371 1575] | [ 417 1574] | [ 370 1615] | [ 418 1613]
      ALT2 | [ 328 1574] | [ 363 1575] | [ 324 1614] | [ 360 1615]
    ARROWS | [ 239 1574] | [ 274 1575] | [ 234 1614] | [ 271 1614]
