       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 849 1768] | [ 890 1768] | [ 856 1808] | [ 896 1807]
         1 | [ 798 1768] | [ 838 1767] | [ 804 1808] | [ 845 1807]
         2 | [ 747 1769] | [ 789 1768] | [ 752 1808] | [ 794 1806]
         3 | [ 696 1769] | [ 738 1768] | [ 700 1808] | [ 742 1807]
         4 | [ 645 1769] | [ 687 1768] | [ 649 1808] | [ 690 1808]
         5 | [ 594 1769] | [ 636 1768] | [ 596 1808] | [ 638 1808]
         6 | [ 544 1768] | [ 586 1770] | [ 543 1806] | [ 586 1808]
         7 | [ 491 1770] | [ 533 1768] | [ 492 1808] | [ 535 1807]
         8 | [ 441 1768] | [ 482 1768] | [ 440 1808] | [ 483 1807]
         9 | [ 389 1769] | [ 431 1768] | [ 389 1809] | [ 431 1807]
         0 | [ 337 1769] | [ 379 1768] | [ 335 1808] | [ 378 1808]
         - | [ 287 1768] | [ 329 1769] | [ 282 1807] | [ 324 1809]
         = | [ 236 1767] | [ 277 1769] | [ 230 1808] | [ 273 1808]
    DELETE | [ 157 1768] | [ 225 1768] | [ 151 1809] | [ 219 1809]
       TAB | [ 817 1721] | [ 882 1721] | [ 822 1759] | [ 888 1759]
         Q | [ 767 1722] | [ 807 1721] | [ 772 1759] | [ 813 1758]
         W | [ 717 1722] | [ 757 1721] | [ 721 1759] | [ 762 1759]
         E | [ 667 1722] | [ 708 1721] | [ 670 1759] | [ 712 1759]
         R | [ 618 1721] | [ 658 1721] | [ 619 1759] | [ 661 1759]
         T | [ 568 1721] | [ 609 1722] | [ 568 1759] | [ 610 1759]
         Y | [ 517 1722] | [ 557 1721] | [ 519 1760] | [ 560 1758]
         U | [ 466 1723] | [ 507 1721] | [ 466 1759] | [ 509 1758]
         I | [ 416 1722] | [ 457 1721] | [ 416 1760] | [ 458 1758]
         O | [ 365 1723] | [ 407 1721] | [ 365 1760] | [ 407 1758]
         P | [ 315 1722] | [ 357 1721] | [ 314 1760] | [ 355 1759]
         [ | [ 265 1721] | [ 307 1722] | [ 261 1759] | [ 302 1760]
         ] | [ 214 1721] | [ 256 1721] | [ 211 1760] | [ 253 1758]
         \ | [ 164 1721] | [ 206 1722] | [ 158 1759] | [ 199 1760]
 CAPS_LOCK | [ 798 1678] | [ 872 1675] | [ 804 1713] | [ 881 1712]
         A | [ 749 1678] | [ 789 1676] | [ 754 1713] | [ 794 1712]
         S | [ 700 1678] | [ 740 1676] | [ 703 1712] | [ 745 1712]
         D | [ 653 1676] | [ 692 1676] | [ 654 1712] | [ 695 1713]
         F | [ 602 1678] | [ 643 1676] | [ 605 1713] | [ 646 1712]
         G | [ 554 1676] | [ 594 1676] | [ 555 1713] | [ 596 1712]
         H | [ 504 1677] | [ 545 1676] | [ 505 1713] | [ 546 1712]
         J | [ 454 1678] | [ 495 1676] | [ 455 1713] | [ 496 1712]
         K | [ 405 1677] | [ 446 1676] | [ 405 1713] | [ 446 1712]
         L | [ 355 1678] | [ 397 1676] | [ 355 1713] | [ 396 1712]
         ; | [ 308 1675] | [ 348 1677] | [ 304 1713] | [ 344 1713]
         ' | [ 258 1675] | [ 298 1676] | [ 253 1712] | [ 294 1713]
    RETURN | [ 169 1677] | [ 247 1675] | [ 166 1713] | [ 246 1710]
     SHFT1 | [ 768 1635] | [ 864 1632] | [ 774 1669] | [ 874 1667]
         Z | [ 721 1633] | [ 759 1632] | [ 725 1669] | [ 764 1668]
         X | [ 673 1634] | [ 712 1633] | [ 677 1669] | [ 716 1668]
         C | [ 625 1633] | [ 664 1633] | [ 628 1669] | [ 667 1668]
         V | [ 576 1634] | [ 615 1632] | [ 579 1669] | [ 619 1667]
         B | [ 528 1634] | [ 568 1633] | [ 529 1668] | [ 570 1667]
         N | [ 480 1633] | [ 519 1632] | [ 480 1668] | [ 520 1668]
         M | [ 431 1634] | [ 472 1633] | [ 432 1669] | [ 471 1668]
         , | [ 382 1634] | [ 422 1632] | [ 382 1668] | [ 423 1667]
         . | [ 336 1632] | [ 375 1633] | [ 332 1667] | [ 373 1668]
         / | [ 285 1634] | [ 326 1632] | [ 283 1668] | [ 324 1667]
     SHFT2 | [ 174 1637] | [ 272 1630] | [ 172 1668] | [ 276 1663]
        FN | [ 821 1587] | [ 859 1586] | [ 828 1626] | [ 866 1626]
      CTRL | [ 774 1587] | [ 813 1586] | [ 780 1626] | [ 818 1626]
      ALT1 | [ 728 1586] | [ 766 1586] | [ 733 1626] | [ 772 1624]
      CMD1 | [ 669 1586] | [ 718 1585] | [ 673 1626] | [ 724 1625]
     SPACE | [ 431 1590] | [ 656 1584] | [ 434 1626] | [ 664 1625]
      CMD2 | [ 373 1586] | [ 423 1584] | [ 372 1625] | [ 424 1624]
      ALT2 | [ 326 1585] | [ 366 1586] | [ 323 1624] | [ 363 1625]
    ARROWS | [ 231 1584] | [ 271 1585] | [ 226 1624] | [ 267 1624]
