       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 804 1810] | [ 845 1810] | [ 809 1850] | [ 849 1850]
         1 | [ 753 1809] | [ 795 1809] | [ 757 1849] | [ 798 1849]
         2 | [ 704 1806] | [ 745 1809] | [ 705 1847] | [ 745 1849]
         5 | [ 553 1802] | [ 593 1804] | [ 551 1844] | [ 593 1845]
         6 | [ 501 1802] | [ 543 1804] | [ 500 1843] | [ 541 1844]
         7 | [ 452 1800] | [ 492 1802] | [ 449 1842] | [ 491 1842]
       TAB | [ 775 1760] | [ 841 1762] | [ 778 1799] | [ 844 1800]
         Q | [ 725 1759] | [ 765 1759] | [ 728 1798] | [ 769 1798]
         8 | [ 401 1799] | [ 441 1800] | [ 397 1840] | [ 439 1841]
         U | [ 429 1751] | [ 469 1753] | [ 426 1791] | [ 466 1792]
         3 | [ 653 1805] | [ 694 1806] | [ 654 1846] | [ 694 1848]
         Y | [ 479 1752] | [ 519 1755] | [ 476 1791] | [ 517 1793]
         4 | [ 602 1804] | [ 644 1805] | [ 604 1846] | [ 645 1845]
         T | [ 527 1754] | [ 568 1754] | [ 528 1794] | [ 568 1794]
         N | [ 446 1660] | [ 485 1662] | [ 444 1697] | [ 483 1698]
         B | [ 493 1661] | [ 533 1661] | [ 492 1697] | [ 533 1697]
         R | [ 577 1753] | [ 618 1757] | [ 575 1791] | [ 616 1795]
         9 | [ 350 1803] | [ 391 1805] | [ 346 1845] | [ 389 1845]
    DELETE | [ 121 1803] | [ 187 1803] | [ 115 1845] | [ 183 1845]
         0 | [ 300 1803] | [ 341 1806] | [ 294 1844] | [ 334 1847]
         - | [ 249 1803] | [ 290 1804] | [ 243 1845] | [ 284 1846]
         = | [ 197 1804] | [ 239 1805] | [ 192 1845] | [ 234 1845]
         ] | [ 181 1754] | [ 221 1756] | [ 174 1793] | [ 216 1794]
         [ | [ 231 1754] | [ 272 1756] | [ 226 1794] | [ 266 1795]
         \ | [ 131 1754] | [ 171 1755] | [ 124 1794] | [ 165 1794]
         P | [ 281 1753] | [ 321 1757] | [ 274 1792] | [ 314 1795]
    RETURN | [ 137 1661] | [ 215 1661] | [ 132 1698] | [ 211 1698]
         H | [ 464 1661] | [ 504 1660] | [ 464 1698] | [ 504 1698]
         G | [ 512 1660] | [ 551 1660] | [ 511 1698] | [ 553 1698]
         V | [ 538 1661] | [ 577 1661] | [ 539 1698] | [ 580 1698]
         ' | [ 222 1660] | [ 262 1661] | [ 216 1698] | [ 257 1700]
         J | [ 422 1660] | [ 462 1661] | [ 420 1699] | [ 459 1700]
         I | [ 370 1751] | [ 410 1756] | [ 366 1794] | [ 407 1796]
         E | [ 629 1756] | [ 673 1755] | [ 631 1794] | [ 672 1795]
 CAPS_LOCK | [ 758 1661] | [ 834 1661] | [ 765 1699] | [ 839 1699]
         O | [ 328 1753] | [ 368 1755] | [ 323 1793] | [ 364 1795]
     SHFT2 | [ 142 1663] | [ 241 1661] | [ 139 1697] | [ 240 1698]
         ; | [ 272 1659] | [ 312 1662] | [ 266 1696] | [ 307 1699]
         W | [ 677 1753] | [ 717 1756] | [ 677 1793] | [ 717 1795]
         F | [ 564 1659] | [ 604 1661] | [ 563 1698] | [ 603 1700]
         K | [ 363 1660] | [ 403 1661] | [ 359 1698] | [ 400 1700]
         M | [ 391 1659] | [ 430 1662] | [ 386 1697] | [ 427 1698]
         / | [ 252 1660] | [ 291 1662] | [ 247 1698] | [ 287 1699]
         L | [ 317 1659] | [ 357 1661] | [ 313 1698] | [ 353 1699]
    ARROWS | [ 198 1574] | [ 236 1577] | [ 191 1617] | [ 231 1617]
         A | [ 711 1660] | [ 752 1661] | [ 715 1699] | [ 755 1698]
         D | [ 612 1661] | [ 654 1661] | [ 615 1699] | [ 655 1699]
         C | [ 585 1661] | [ 625 1661] | [ 587 1699] | [ 626 1699]
         , | [ 342 1660] | [ 380 1662] | [ 337 1697] | [ 377 1699]
         . | [ 298 1659] | [ 337 1662] | [ 293 1697] | [ 333 1698]
      CMD2 | [ 329 1576] | [ 381 1575] | [ 327 1616] | [ 379 1617]
      ALT2 | [ 293 1575] | [ 332 1576] | [ 288 1616] | [ 328 1618]
         S | [ 662 1660] | [ 702 1660] | [ 664 1698] | [ 705 1698]
     SHFT1 | [ 731 1661] | [ 828 1662] | [ 736 1698] | [ 834 1698]
         Z | [ 685 1661] | [ 726 1661] | [ 689 1698] | [ 728 1698]
         X | [ 640 1661] | [ 679 1661] | [ 643 1699] | [ 682 1698]
     SPACE | [ 398 1579] | [ 621 1574] | [ 400 1614] | [ 628 1618]
        FN | [ 786 1623] | [ 824 1624] | [ 791 1665] | [ 829 1665]
      CTRL | [ 740 1576] | [ 779 1576] | [ 745 1617] | [ 783 1617]
      ALT1 | [ 697 1575] | [ 737 1577] | [ 699 1616] | [ 738 1618]
      CMD1 | [ 632 1576] | [ 685 1576] | [ 636 1617] | [ 687 1617]
