       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 815 1792] | [ 855 1793] | [ 818 1833] | [ 860 1833]
         1 | [ 764 1791] | [ 805 1792] | [ 767 1832] | [ 808 1833]
         2 | [ 713 1791] | [ 754 1791] | [ 716 1831] | [ 757 1832]
         3 | [ 665 1788] | [ 705 1791] | [ 664 1829] | [ 706 1831]
         4 | [ 614 1787] | [ 655 1790] | [ 613 1828] | [ 655 1830]
         5 | [ 564 1786] | [ 604 1788] | [ 562 1827] | [ 603 1829]
         6 | [ 513 1785] | [ 554 1788] | [ 511 1826] | [ 552 1828]
         7 | [ 461 1785] | [ 503 1786] | [ 460 1826] | [ 502 1826]
         8 | [ 412 1783] | [ 453 1786] | [ 408 1824] | [ 449 1826]
         9 | [ 361 1782] | [ 402 1784] | [ 357 1823] | [ 399 1824]
         0 | [ 310 1781] | [ 351 1782] | [ 306 1822] | [ 348 1823]
         - | [ 260 1780] | [ 301 1782] | [ 254 1821] | [ 295 1823]
         = | [ 209 1779] | [ 250 1780] | [ 203 1820] | [ 245 1821]
    DELETE | [ 132 1779] | [ 199 1779] | [ 127 1820] | [ 194 1819]
       TAB | [ 785 1743] | [ 849 1744] | [ 789 1783] | [ 854 1783]
         Q | [ 735 1743] | [ 776 1743] | [ 739 1782] | [ 779 1781]
         R | [ 587 1739] | [ 628 1739] | [ 589 1779] | [ 629 1779]
         T | [ 539 1737] | [ 579 1740] | [ 537 1776] | [ 578 1778]
         Y | [ 489 1736] | [ 529 1738] | [ 487 1776] | [ 528 1777]
         U | [ 439 1735] | [ 479 1736] | [ 436 1774] | [ 477 1776]
         I | [ 390 1733] | [ 430 1735] | [ 386 1773] | [ 427 1775]
         P | [ 290 1732] | [ 331 1733] | [ 286 1772] | [ 326 1773]
         [ | [ 241 1730] | [ 282 1733] | [ 235 1770] | [ 277 1771]
         ] | [ 192 1729] | [ 232 1732] | [ 185 1769] | [ 226 1770]
         \ | [ 142 1728] | [ 181 1729] | [ 135 1769] | [ 175 1769]
         G | [ 527 1690] | [ 567 1692] | [ 525 1727] | [ 565 1730]
         H | [ 477 1690] | [ 517 1690] | [ 477 1728] | [ 517 1728]
         ' | [ 235 1683] | [ 275 1685] | [ 229 1722] | [ 270 1723]
    RETURN | [ 147 1685] | [ 225 1683] | [ 145 1721] | [ 222 1720]
         B | [ 503 1645] | [ 541 1645] | [ 503 1682] | [ 542 1682]
         O | [ 341 1733] | [ 381 1735] | [ 336 1773] | [ 377 1775]
 CAPS_LOCK | [ 768 1697] | [ 842 1697] | [ 774 1735] | [ 849 1734]
     SHFT2 | [ 155 1641] | [ 254 1639] | [ 152 1675] | [ 253 1676]
         J | [ 429 1687] | [ 469 1690] | [ 426 1726] | [ 466 1727]
         ; | [ 284 1687] | [ 324 1690] | [ 278 1724] | [ 319 1727]
         W | [ 688 1734] | [ 728 1737] | [ 688 1774] | [ 728 1776]
         E | [ 637 1735] | [ 677 1736] | [ 639 1776] | [ 680 1775]
         F | [ 576 1687] | [ 616 1689] | [ 575 1726] | [ 615 1728]
         K | [ 381 1688] | [ 421 1689] | [ 377 1726] | [ 418 1728]
         N | [ 456 1643] | [ 495 1644] | [ 454 1680] | [ 495 1679]
         M | [ 409 1642] | [ 448 1645] | [ 404 1680] | [ 445 1681]
         / | [ 265 1641] | [ 304 1643] | [ 260 1679] | [ 300 1680]
         L | [ 332 1687] | [ 372 1689] | [ 328 1726] | [ 368 1727]
         V | [ 552 1641] | [ 591 1642] | [ 552 1679] | [ 592 1678]
    ARROWS | [ 214 1587] | [ 252 1590] | [ 207 1630] | [ 247 1630]
         A | [ 720 1688] | [ 761 1689] | [ 724 1727] | [ 764 1726]
         D | [ 622 1689] | [ 664 1689] | [ 625 1727] | [ 665 1727]
         C | [ 599 1642] | [ 639 1642] | [ 601 1680] | [ 640 1680]
         , | [ 362 1641] | [ 400 1643] | [ 357 1678] | [ 397 1680]
         . | [ 314 1640] | [ 353 1643] | [ 309 1678] | [ 349 1679]
      CMD2 | [ 351 1594] | [ 403 1593] | [ 349 1634] | [ 401 1635]
      ALT2 | [ 306 1590] | [ 345 1591] | [ 301 1631] | [ 341 1633]
         S | [ 672 1688] | [ 712 1688] | [ 674 1726] | [ 715 1726]
     SHFT1 | [ 741 1642] | [ 838 1643] | [ 746 1679] | [ 844 1679]
         Z | [ 694 1642] | [ 735 1642] | [ 698 1679] | [ 737 1679]
         X | [ 645 1642] | [ 684 1642] | [ 648 1680] | [ 687 1679]
     SPACE | [ 409 1601] | [ 632 1596] | [ 411 1636] | [ 639 1640]
        FN | [ 796 1602] | [ 834 1603] | [ 801 1644] | [ 839 1644]
      CTRL | [ 749 1601] | [ 788 1601] | [ 754 1642] | [ 792 1642]
      ALT1 | [ 703 1595] | [ 743 1597] | [ 705 1636] | [ 744 1638]
      CMD1 | [ 643 1596] | [ 696 1596] | [ 647 1637] | [ 698 1637]
