       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 793 1760] | [ 832 1759] | [ 798 1797] | [ 835 1797]
         1 | [ 746 1760] | [ 784 1759] | [ 750 1797] | [ 788 1796]
         2 | [ 700 1759] | [ 737 1759] | [ 703 1798] | [ 740 1796]
         3 | [ 653 1759] | [ 691 1761] | [ 654 1797] | [ 691 1798]
         4 | [ 606 1759] | [ 644 1761] | [ 606 1797] | [ 644 1798]
         5 | [ 557 1760] | [ 595 1759] | [ 558 1798] | [ 596 1798]
         6 | [ 510 1760] | [ 549 1761] | [ 510 1798] | [ 548 1798]
         7 | [ 463 1760] | [ 501 1760] | [ 461 1797] | [ 499 1799]
         8 | [ 415 1760] | [ 453 1760] | [ 414 1799] | [ 451 1799]
         9 | [ 368 1760] | [ 406 1761] | [ 366 1800] | [ 404 1799]
         0 | [ 320 1760] | [ 358 1761] | [ 317 1799] | [ 355 1799]
         - | [ 272 1760] | [ 310 1760] | [ 268 1799] | [ 306 1800]
         = | [ 225 1760] | [ 262 1760] | [ 220 1800] | [ 258 1800]
    DELETE | [ 150 1763] | [ 213 1760] | [ 148 1801] | [ 211 1799]
       TAB | [ 766 1713] | [ 827 1713] | [ 769 1749] | [ 830 1749]
         Q | [ 719 1714] | [ 756 1712] | [ 723 1750] | [ 759 1750]
         W | [ 673 1713] | [ 709 1712] | [ 676 1750] | [ 712 1750]
         Y | [ 487 1713] | [ 525 1714] | [ 486 1750] | [ 523 1751]
         U | [ 440 1713] | [ 478 1714] | [ 439 1751] | [ 476 1751]
         I | [ 394 1713] | [ 431 1714] | [ 391 1750] | [ 429 1751]
         O | [ 347 1713] | [ 384 1714] | [ 344 1751] | [ 381 1751]
         P | [ 300 1713] | [ 337 1714] | [ 296 1751] | [ 334 1751]
         [ | [ 253 1713] | [ 290 1714] | [ 249 1752] | [ 285 1752]
         ] | [ 206 1713] | [ 243 1714] | [ 201 1752] | [ 238 1752]
         \ | [ 157 1714] | [ 195 1714] | [ 153 1752] | [ 191 1752]
         ' | [ 244 1668] | [ 282 1667] | [ 241 1705] | [ 278 1705]
    RETURN | [ 163 1668] | [ 236 1670] | [ 158 1704] | [ 231 1705]
         R | [ 580 1713] | [ 618 1713] | [ 581 1750] | [ 619 1749]
         E | [ 626 1714] | [ 664 1713] | [ 628 1750] | [ 666 1749]
 CAPS_LOCK | [ 750 1668] | [ 820 1667] | [ 755 1704] | [ 825 1703]
         T | [ 533 1714] | [ 571 1713] | [ 535 1751] | [ 572 1749]
         G | [ 521 1668] | [ 558 1667] | [ 522 1704] | [ 559 1703]
         H | [ 482 1666] | [ 513 1667] | [ 475 1702] | [ 512 1703]
         B | [ 498 1624] | [ 535 1623] | [ 499 1659] | [ 536 1658]
     SHFT2 | [ 173 1622] | [ 263 1624] | [ 163 1657] | [ 257 1660]
        FN | [ 782 1576] | [ 812 1578] | [ 779 1616] | [ 815 1616]
    ARROWS | [ 220 1575] | [ 253 1575] | [ 214 1616] | [ 253 1617]
         ; | [ 292 1668] | [ 330 1668] | [ 289 1703] | [ 326 1704]
         N | [ 462 1626] | [ 493 1627] | [ 465 1662] | [ 492 1661]
         A | [ 703 1669] | [ 741 1667] | [ 708 1703] | [ 744 1702]
         J | [ 433 1667] | [ 469 1669] | [ 431 1704] | [ 467 1704]
         K | [ 384 1668] | [ 421 1668] | [ 382 1703] | [ 419 1704]
         S | [ 657 1668] | [ 695 1667] | [ 661 1703] | [ 697 1703]
         F | [ 565 1669] | [ 604 1668] | [ 568 1704] | [ 605 1703]
         L | [ 339 1667] | [ 376 1667] | [ 337 1703] | [ 374 1703]
         M | [ 412 1626] | [ 449 1625] | [ 412 1660] | [ 450 1659]
         / | [ 271 1624] | [ 308 1624] | [ 267 1658] | [ 304 1659]
         D | [ 614 1668] | [ 650 1668] | [ 616 1704] | [ 652 1703]
     SHFT1 | [ 724 1628] | [ 814 1623] | [ 730 1659] | [ 822 1657]
         , | [ 361 1624] | [ 397 1624] | [ 358 1658] | [ 395 1660]
         . | [ 315 1625] | [ 352 1624] | [ 314 1660] | [ 351 1658]
         V | [ 546 1624] | [ 583 1624] | [ 545 1659] | [ 581 1661]
      CMD2 | [ 353 1575] | [ 402 1574] | [ 353 1614] | [ 400 1613]
      ALT2 | [ 312 1575] | [ 348 1576] | [ 308 1615] | [ 345 1615]
         Z | [ 677 1624] | [ 713 1624] | [ 681 1659] | [ 716 1658]
         X | [ 632 1624] | [ 670 1625] | [ 635 1660] | [ 671 1659]
         C | [ 587 1624] | [ 623 1623] | [ 589 1659] | [ 625 1658]
      CTRL | [ 732 1576] | [ 766 1577] | [ 733 1614] | [ 769 1616]
      ALT1 | [ 690 1580] | [ 724 1579] | [ 689 1609] | [ 724 1612]
     SPACE | [ 411 1580] | [ 599 1573] | [ 414 1615] | [ 627 1614]
      CMD1 | [ 629 1576] | [ 675 1575] | [ 632 1616] | [ 679 1615]
