       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 776 1753] | [ 815 1753] | [ 780 1788] | [ 819 1788]
         1 | [ 731 1753] | [ 769 1753] | [ 734 1788] | [ 773 1787]
         5 | [ 548 1754] | [ 585 1753] | [ 548 1788] | [ 587 1788]
         6 | [ 502 1754] | [ 539 1753] | [ 503 1789] | [ 541 1787]
         7 | [ 457 1754] | [ 495 1754] | [ 456 1789] | [ 494 1788]
         9 | [ 366 1754] | [ 403 1754] | [ 363 1789] | [ 402 1787]
         0 | [ 320 1754] | [ 358 1754] | [ 317 1789] | [ 354 1789]
         - | [ 275 1754] | [ 312 1754] | [ 270 1788] | [ 308 1789]
         = | [ 229 1754] | [ 267 1754] | [ 224 1789] | [ 262 1789]
    DELETE | [ 160 1755] | [ 221 1754] | [ 155 1789] | [ 216 1789]
       TAB | [ 749 1713] | [ 809 1712] | [ 754 1747] | [ 814 1745]
         T | [ 525 1714] | [ 563 1713] | [ 526 1747] | [ 563 1746]
         [ | [ 257 1714] | [ 294 1713] | [ 253 1747] | [ 291 1747]
         ] | [ 213 1714] | [ 250 1714] | [ 208 1747] | [ 245 1747]
         \ | [ 168 1714] | [ 205 1714] | [ 163 1747] | [ 200 1747]
    RETURN | [ 174 1678] | [ 245 1675] | [ 171 1708] | [ 241 1706]
         8 | [ 411 1754] | [ 449 1754] | [ 410 1789] | [ 448 1788]
         G | [ 515 1675] | [ 551 1674] | [ 515 1707] | [ 552 1706]
         U | [ 436 1714] | [ 473 1713] | [ 435 1747] | [ 473 1746]
         H | [ 470 1675] | [ 507 1674] | [ 470 1707] | [ 507 1707]
         P | [ 302 1714] | [ 339 1713] | [ 299 1747] | [ 336 1747]
         O | [ 346 1714] | [ 383 1713] | [ 344 1747] | [ 382 1746]
         I | [ 391 1714] | [ 428 1713] | [ 389 1747] | [ 427 1747]
         Y | [ 481 1713] | [ 518 1713] | [ 480 1747] | [ 518 1746]
         4 | [ 594 1753] | [ 631 1753] | [ 595 1788] | [ 633 1788]
         3 | [ 639 1754] | [ 677 1753] | [ 641 1788] | [ 680 1788]
         R | [ 570 1713] | [ 608 1713] | [ 572 1747] | [ 609 1746]
         2 | [ 685 1753] | [ 723 1753] | [ 687 1788] | [ 726 1788]
         Q | [ 702 1713] | [ 740 1712] | [ 706 1746] | [ 744 1746]
         E | [ 615 1713] | [ 652 1712] | [ 617 1747] | [ 654 1746]
         W | [ 659 1712] | [ 697 1712] | [ 661 1746] | [ 699 1746]
         ' | [ 255 1677] | [ 290 1677] | [ 250 1705] | [ 281 1706]
         F | [ 559 1675] | [ 598 1675] | [ 559 1707] | [ 597 1707]
 CAPS_LOCK | [ 735 1673] | [ 804 1673] | [ 739 1707] | [ 809 1707]
         A | [ 688 1675] | [ 726 1674] | [ 691 1707] | [ 728 1707]
         S | [ 646 1675] | [ 684 1674] | [ 649 1707] | [ 686 1707]
         D | [ 598 1675] | [ 634 1673] | [ 598 1706] | [ 636 1707]
         J | [ 428 1674] | [ 465 1674] | [ 427 1707] | [ 464 1706]
         K | [ 382 1675] | [ 419 1674] | [ 380 1707] | [ 418 1706]
         ; | [ 298 1673] | [ 335 1675] | [ 293 1706] | [ 330 1707]
         C | [ 587 1634] | [ 623 1632] | [ 588 1664] | [ 626 1663]
         V | [ 538 1634] | [ 575 1633] | [ 538 1664] | [ 575 1664]
         B | [ 494 1634] | [ 531 1633] | [ 494 1664] | [ 531 1663]
         L | [ 341 1673] | [ 377 1674] | [ 337 1707] | [ 373 1707]
         N | [ 451 1633] | [ 487 1633] | [ 450 1665] | [ 487 1664]
     SHFT1 | [ 710 1636] | [ 795 1633] | [ 717 1663] | [ 802 1661]
         X | [ 621 1634] | [ 658 1632] | [ 623 1665] | [ 660 1664]
     SHFT2 | [ 185 1633] | [ 273 1634] | [ 176 1662] | [ 268 1665]
         Z | [ 668 1633] | [ 705 1633] | [ 671 1665] | [ 707 1664]
         M | [ 409 1634] | [ 446 1632] | [ 408 1664] | [ 445 1663]
         , | [ 365 1633] | [ 402 1632] | [ 363 1664] | [ 400 1664]
        FN | [ 759 1597] | [ 792 1595] | [ 766 1628] | [ 798 1627]
      CMD1 | [ 621 1594] | [ 668 1594] | [ 622 1629] | [ 668 1630]
         / | [ 279 1634] | [ 317 1633] | [ 276 1665] | [ 313 1664]
         . | [ 325 1633] | [ 362 1633] | [ 323 1665] | [ 359 1664]
      CTRL | [ 717 1594] | [ 753 1593] | [ 720 1629] | [ 757 1629]
      ALT1 | [ 679 1593] | [ 715 1594] | [ 681 1629] | [ 717 1629]
     SPACE | [ 412 1598] | [ 611 1594] | [ 413 1627] | [ 616 1625]
    ARROWS | [ 235 1593] | [ 270 1593] | [ 228 1629] | [ 264 1629]
      CMD2 | [ 357 1594] | [ 404 1594] | [ 354 1629] | [ 401 1629]
      ALT2 | [ 320 1593] | [ 356 1594] | [ 315 1629] | [ 351 1629]
