       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 911 1763] | [ 958 1761] | [ 918 1811] | [ 965 1809]
         1 | [ 858 1762] | [ 904 1761] | [ 863 1811] | [ 911 1809]
         2 | [ 803 1764] | [ 851 1762] | [ 809 1812] | [ 855 1811]
         3 | [ 750 1763] | [ 798 1763] | [ 755 1813] | [ 801 1811]
         4 | [ 697 1763] | [ 744 1764] | [ 698 1811] | [ 745 1813]
         5 | [ 643 1763] | [ 690 1764] | [ 644 1813] | [ 691 1813]
         6 | [ 588 1764] | [ 636 1765] | [ 588 1812] | [ 635 1814]
         7 | [ 533 1765] | [ 581 1764] | [ 534 1814] | [ 582 1813]
         8 | [ 479 1765] | [ 527 1765] | [ 478 1813] | [ 525 1815]
         9 | [ 425 1765] | [ 473 1766] | [ 423 1814] | [ 471 1815]
         0 | [ 370 1766] | [ 418 1765] | [ 368 1815] | [ 417 1815]
         - | [ 316 1766] | [ 364 1766] | [ 312 1815] | [ 361 1816]
         = | [ 260 1767] | [ 309 1766] | [ 257 1816] | [ 306 1816]
    DELETE | [ 178 1768] | [ 253 1766] | [ 175 1818] | [ 251 1815]
       TAB | [ 878 1708] | [ 951 1707] | [ 884 1755] | [ 957 1753]
         Q | [ 825 1708] | [ 872 1708] | [ 830 1755] | [ 876 1755]
         W | [ 772 1709] | [ 819 1708] | [ 777 1756] | [ 822 1756]
         E | [ 719 1709] | [ 765 1708] | [ 722 1756] | [ 769 1756]
         R | [ 666 1709] | [ 712 1708] | [ 668 1756] | [ 715 1756]
         T | [ 613 1709] | [ 660 1709] | [ 614 1756] | [ 661 1757]
         Y | [ 561 1709] | [ 607 1710] | [ 561 1758] | [ 607 1757]
         U | [ 506 1710] | [ 554 1711] | [ 506 1757] | [ 553 1758]
         I | [ 453 1710] | [ 500 1711] | [ 452 1758] | [ 499 1758]
         O | [ 399 1711] | [ 446 1710] | [ 398 1759] | [ 444 1759]
         P | [ 346 1711] | [ 393 1711] | [ 343 1759] | [ 391 1759]
         [ | [ 292 1711] | [ 339 1711] | [ 288 1759] | [ 337 1759]
         ] | [ 239 1711] | [ 285 1711] | [ 234 1759] | [ 281 1760]
         \ | [ 184 1712] | [ 232 1713] | [ 179 1759] | [ 226 1761]
 CAPS_LOCK | [ 859 1655] | [ 943 1654] | [ 866 1702] | [ 949 1699]
         A | [ 807 1655] | [ 853 1655] | [ 811 1701] | [ 857 1701]
         S | [ 754 1657] | [ 800 1655] | [ 759 1702] | [ 804 1701]
         D | [ 702 1657] | [ 749 1656] | [ 705 1702] | [ 751 1702]
         F | [ 651 1656] | [ 696 1656] | [ 653 1703] | [ 699 1701]
         G | [ 597 1658] | [ 644 1656] | [ 599 1703] | [ 646 1702]
         H | [ 545 1657] | [ 591 1656] | [ 547 1704] | [ 593 1702]
         J | [ 493 1657] | [ 540 1658] | [ 493 1704] | [ 538 1704]
         K | [ 441 1657] | [ 487 1657] | [ 439 1704] | [ 486 1704]
         L | [ 387 1658] | [ 435 1658] | [ 386 1704] | [ 433 1704]
         ; | [ 336 1657] | [ 381 1658] | [ 332 1704] | [ 379 1705]
         ' | [ 282 1658] | [ 329 1659] | [ 279 1705] | [ 325 1705]
    RETURN | [ 190 1658] | [ 276 1659] | [ 184 1703] | [ 270 1706]
     SHFT1 | [ 827 1605] | [ 936 1603] | [ 832 1649] | [ 942 1648]
         X | [ 724 1606] | [ 769 1604] | [ 727 1649] | [ 773 1650]
         V | [ 622 1605] | [ 666 1604] | [ 625 1651] | [ 670 1649]
         B | [ 571 1605] | [ 616 1605] | [ 572 1651] | [ 618 1649]
         N | [ 518 1606] | [ 564 1605] | [ 519 1651] | [ 566 1649]
         M | [ 468 1605] | [ 513 1606] | [ 466 1651] | [ 512 1651]
         , | [ 415 1606] | [ 461 1606] | [ 413 1650] | [ 459 1652]
         . | [ 364 1606] | [ 410 1607] | [ 361 1651] | [ 407 1652]
         / | [ 312 1606] | [ 358 1607] | [ 308 1651] | [ 355 1652]
     SHFT2 | [ 192 1611] | [ 305 1606] | [ 190 1653] | [ 304 1650]
        FN | [ 886 1547] | [ 930 1549] | [ 890 1598] | [ 934 1598]
      CTRL | [ 834 1548] | [ 879 1548] | [ 838 1597] | [ 884 1598]
      ALT1 | [ 784 1548] | [ 829 1549] | [ 787 1597] | [ 832 1599]
      CMD1 | [ 720 1549] | [ 778 1548] | [ 725 1599] | [ 782 1598]
     SPACE | [ 466 1553] | [ 711 1547] | [ 469 1601] | [ 719 1596]
      CMD2 | [ 403 1551] | [ 462 1549] | [ 402 1600] | [ 461 1600]
      ALT2 | [ 354 1549] | [ 399 1550] | [ 351 1601] | [ 397 1600]
    ARROWS | [ 251 1550] | [ 297 1551] | [ 247 1601] | [ 293 1601]
         C | [ 673 1606] | [ 719 1605] | [ 676 1650] | [ 721 1650]
         Z | [ 775 1606] | [ 821 1604] | [ 780 1649] | [ 826 1648]
