       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 782 1755] | [ 818 1755] | [ 786 1788] | [ 823 1788]
         1 | [ 736 1756] | [ 772 1755] | [ 741 1789] | [ 776 1788]
         5 | [ 554 1756] | [ 589 1755] | [ 554 1788] | [ 591 1787]
         6 | [ 508 1756] | [ 543 1755] | [ 509 1789] | [ 544 1788]
         7 | [ 462 1756] | [ 498 1755] | [ 462 1789] | [ 498 1788]
         9 | [ 371 1756] | [ 406 1755] | [ 370 1789] | [ 405 1788]
         - | [ 280 1756] | [ 315 1755] | [ 276 1788] | [ 313 1788]
         = | [ 235 1756] | [ 270 1755] | [ 230 1788] | [ 266 1788]
    DELETE | [ 166 1757] | [ 224 1755] | [ 162 1789] | [ 220 1788]
       TAB | [ 755 1715] | [ 813 1715] | [ 759 1747] | [ 817 1747]
         \ | [ 175 1715] | [ 209 1715] | [ 169 1747] | [ 203 1747]
    RETURN | [ 181 1677] | [ 248 1676] | [ 176 1707] | [ 245 1705]
         ] | [ 219 1715] | [ 254 1715] | [ 214 1747] | [ 248 1747]
         [ | [ 264 1715] | [ 298 1715] | [ 259 1747] | [ 294 1747]
         0 | [ 325 1757] | [ 361 1756] | [ 323 1789] | [ 359 1788]
         8 | [ 418 1755] | [ 453 1756] | [ 415 1788] | [ 450 1789]
         4 | [ 600 1755] | [ 635 1755] | [ 600 1788] | [ 637 1788]
         3 | [ 645 1755] | [ 681 1755] | [ 647 1788] | [ 683 1788]
         2 | [ 691 1755] | [ 727 1755] | [ 693 1788] | [ 730 1788]
         P | [ 308 1715] | [ 344 1715] | [ 304 1746] | [ 339 1747]
         Y | [ 486 1716] | [ 522 1715] | [ 486 1747] | [ 522 1746]
         Q | [ 710 1715] | [ 746 1715] | [ 714 1747] | [ 749 1746]
         W | [ 665 1716] | [ 701 1715] | [ 667 1746] | [ 703 1746]
         R | [ 576 1715] | [ 611 1715] | [ 577 1747] | [ 612 1747]
         E | [ 621 1715] | [ 655 1714] | [ 623 1747] | [ 658 1746]
         T | [ 531 1715] | [ 567 1715] | [ 532 1747] | [ 567 1746]
         H | [ 476 1676] | [ 511 1676] | [ 475 1707] | [ 511 1706]
         G | [ 520 1677] | [ 555 1676] | [ 521 1707] | [ 556 1706]
         I | [ 396 1716] | [ 433 1715] | [ 396 1747] | [ 431 1746]
         O | [ 353 1714] | [ 388 1714] | [ 349 1746] | [ 385 1747]
         U | [ 442 1716] | [ 477 1714] | [ 441 1746] | [ 477 1746]
         ' | [ 256 1678] | [ 291 1675] | [ 253 1707] | [ 288 1706]
         F | [ 566 1676] | [ 603 1676] | [ 566 1706] | [ 602 1706]
 CAPS_LOCK | [ 741 1674] | [ 808 1674] | [ 745 1706] | [ 813 1706]
         D | [ 607 1676] | [ 642 1674] | [ 608 1706] | [ 644 1706]
         V | [ 544 1640] | [ 578 1640] | [ 545 1670] | [ 579 1669]
         B | [ 501 1634] | [ 535 1634] | [ 500 1663] | [ 535 1663]
         ; | [ 302 1675] | [ 339 1676] | [ 299 1706] | [ 334 1706]
         N | [ 456 1640] | [ 491 1639] | [ 455 1669] | [ 490 1668]
         C | [ 587 1637] | [ 623 1638] | [ 587 1666] | [ 623 1667]
         A | [ 697 1676] | [ 733 1675] | [ 700 1706] | [ 735 1706]
         S | [ 650 1676] | [ 686 1675] | [ 653 1706] | [ 688 1706]
         J | [ 434 1675] | [ 469 1675] | [ 433 1706] | [ 468 1705]
         K | [ 386 1676] | [ 421 1675] | [ 384 1706] | [ 420 1705]
         L | [ 349 1674] | [ 383 1675] | [ 345 1706] | [ 379 1706]
     SHFT2 | [ 192 1636] | [ 279 1638] | [ 184 1665] | [ 272 1666]
         Z | [ 671 1637] | [ 706 1636] | [ 674 1667] | [ 709 1667]
         X | [ 631 1638] | [ 666 1636] | [ 633 1667] | [ 668 1666]
     SHFT1 | [ 715 1638] | [ 800 1634] | [ 719 1666] | [ 808 1666]
      CMD1 | [ 630 1595] | [ 675 1595] | [ 631 1628] | [ 675 1629]
         , | [ 375 1637] | [ 410 1636] | [ 373 1666] | [ 408 1666]
         . | [ 327 1637] | [ 362 1636] | [ 325 1666] | [ 359 1666]
         / | [ 282 1638] | [ 318 1637] | [ 279 1667] | [ 314 1666]
         M | [ 412 1638] | [ 447 1636] | [ 411 1666] | [ 446 1665]
        FN | [ 764 1598] | [ 798 1596] | [ 768 1630] | [ 803 1630]
      CTRL | [ 723 1595] | [ 757 1594] | [ 726 1628] | [ 761 1628]
      ALT1 | [ 681 1594] | [ 715 1595] | [ 683 1628] | [ 717 1628]
    ARROWS | [ 241 1594] | [ 274 1594] | [ 234 1628] | [ 268 1628]
      CMD2 | [ 371 1595] | [ 416 1595] | [ 368 1628] | [ 413 1628]
      ALT2 | [ 323 1594] | [ 357 1595] | [ 318 1628] | [ 352 1628]
     SPACE | [ 414 1599] | [ 615 1593] | [ 416 1628] | [ 619 1627]
