       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 808 1792] | [ 849 1792] | [ 814 1831] | [ 856 1830]
         1 | [ 757 1792] | [ 797 1791] | [ 763 1831] | [ 804 1829]
         2 | [ 706 1792] | [ 747 1791] | [ 711 1831] | [ 752 1830]
         3 | [ 655 1792] | [ 696 1791] | [ 659 1831] | [ 700 1830]
         4 | [ 604 1792] | [ 645 1790] | [ 607 1831] | [ 648 1830]
         5 | [ 553 1792] | [ 594 1791] | [ 555 1831] | [ 596 1830]
         6 | [ 502 1791] | [ 543 1791] | [ 501 1829] | [ 544 1830]
         7 | [ 450 1792] | [ 491 1791] | [ 451 1831] | [ 492 1830]
         8 | [ 398 1792] | [ 440 1791] | [ 397 1830] | [ 440 1829]
         9 | [ 348 1790] | [ 389 1791] | [ 344 1830] | [ 387 1830]
         0 | [ 295 1791] | [ 336 1790] | [ 292 1830] | [ 335 1829]
         - | [ 243 1791] | [ 286 1791] | [ 239 1830] | [ 283 1828]
         = | [ 192 1790] | [ 234 1792] | [ 186 1830] | [ 229 1830]
    DELETE | [ 113 1791] | [ 180 1790] | [ 107 1831] | [ 177 1829]
       TAB | [ 776 1747] | [ 841 1746] | [ 783 1784] | [ 848 1782]
         Y | [ 476 1746] | [ 517 1745] | [ 477 1783] | [ 518 1782]
         Q | [ 726 1746] | [ 766 1745] | [ 731 1783] | [ 772 1782]
         [ | [ 222 1746] | [ 265 1744] | [ 219 1782] | [ 261 1782]
         ] | [ 174 1743] | [ 214 1744] | [ 167 1782] | [ 208 1782]
         \ | [ 122 1744] | [ 163 1745] | [ 115 1782] | [ 158 1781]
    RETURN | [ 130 1699] | [ 208 1700] | [ 122 1732] | [ 202 1736]
     SHFT2 | [ 141 1655] | [ 239 1658] | [ 130 1688] | [ 233 1693]
         ' | [ 216 1700] | [ 257 1699] | [ 213 1736] | [ 255 1735]
         U | [ 427 1744] | [ 467 1745] | [ 426 1783] | [ 467 1781]
         P | [ 276 1743] | [ 316 1744] | [ 270 1781] | [ 312 1782]
         B | [ 489 1659] | [ 527 1658] | [ 490 1694] | [ 530 1692]
 CAPS_LOCK | [ 757 1701] | [ 830 1697] | [ 765 1735] | [ 840 1733]
         H | [ 465 1699] | [ 504 1698] | [ 465 1735] | [ 506 1734]
         O | [ 323 1746] | [ 365 1744] | [ 323 1783] | [ 364 1782]
         I | [ 378 1743] | [ 418 1745] | [ 374 1782] | [ 415 1783]
         T | [ 526 1747] | [ 566 1744] | [ 529 1783] | [ 569 1781]
         G | [ 514 1699] | [ 553 1698] | [ 515 1735] | [ 556 1734]
         R | [ 579 1746] | [ 620 1744] | [ 581 1783] | [ 623 1782]
         J | [ 414 1699] | [ 454 1698] | [ 414 1735] | [ 455 1734]
         K | [ 366 1698] | [ 406 1698] | [ 364 1735] | [ 407 1733]
         ; | [ 266 1698] | [ 307 1699] | [ 261 1734] | [ 302 1736]
         V | [ 538 1657] | [ 577 1655] | [ 540 1691] | [ 581 1690]
         N | [ 441 1657] | [ 481 1656] | [ 441 1691] | [ 482 1690]
         M | [ 391 1656] | [ 430 1655] | [ 390 1692] | [ 430 1691]
         / | [ 244 1657] | [ 286 1656] | [ 241 1690] | [ 283 1691]
    ARROWS | [ 194 1598] | [ 232 1600] | [ 186 1637] | [ 227 1639]
         W | [ 677 1746] | [ 716 1743] | [ 683 1783] | [ 723 1780]
         F | [ 565 1699] | [ 607 1697] | [ 566 1735] | [ 607 1736]
         L | [ 310 1699] | [ 351 1698] | [ 309 1735] | [ 350 1734]
         , | [ 341 1658] | [ 381 1655] | [ 342 1692] | [ 382 1689]
         E | [ 627 1745] | [ 670 1746] | [ 629 1781] | [ 670 1783]
         D | [ 612 1699] | [ 653 1698] | [ 615 1735] | [ 657 1734]
         . | [ 294 1657] | [ 333 1655] | [ 293 1692] | [ 334 1690]
      CMD2 | [ 333 1599] | [ 384 1597] | [ 331 1638] | [ 384 1637]
      ALT2 | [ 287 1597] | [ 327 1598] | [ 282 1636] | [ 322 1638]
         C | [ 584 1658] | [ 622 1654] | [ 588 1691] | [ 628 1689]
         A | [ 708 1700] | [ 747 1698] | [ 712 1735] | [ 753 1734]
         S | [ 662 1699] | [ 702 1698] | [ 666 1735] | [ 706 1735]
     SHFT1 | [ 729 1659] | [ 825 1654] | [ 735 1690] | [ 835 1690]
         X | [ 635 1658] | [ 674 1655] | [ 640 1692] | [ 681 1689]
         Z | [ 683 1657] | [ 722 1655] | [ 686 1691] | [ 727 1691]
        FN | [ 782 1599] | [ 820 1598] | [ 789 1637] | [ 827 1636]
     SPACE | [ 393 1601] | [ 619 1596] | [ 397 1637] | [ 626 1637]
      CTRL | [ 735 1598] | [ 773 1597] | [ 741 1637] | [ 779 1636]
      ALT1 | [ 689 1599] | [ 728 1597] | [ 695 1638] | [ 734 1637]
      CMD1 | [ 636 1598] | [ 686 1596] | [ 639 1637] | [ 691 1637]
