       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 911 1763] | [ 958 1762] | [ 917 1811] | [ 964 1810]
         1 | [ 857 1764] | [ 904 1762] | [ 863 1812] | [ 909 1812]
         2 | [ 804 1763] | [ 849 1762] | [ 809 1813] | [ 856 1810]
         3 | [ 751 1763] | [ 797 1763] | [ 752 1811] | [ 800 1813]
         4 | [ 696 1764] | [ 742 1763] | [ 700 1814] | [ 747 1811]
         5 | [ 643 1764] | [ 689 1764] | [ 643 1813] | [ 690 1814]
         6 | [ 588 1765] | [ 635 1765] | [ 589 1814] | [ 635 1815]
         7 | [ 533 1766] | [ 581 1765] | [ 535 1816] | [ 582 1814]
         8 | [ 479 1766] | [ 527 1766] | [ 479 1816] | [ 525 1816]
         9 | [ 424 1767] | [ 472 1766] | [ 425 1817] | [ 472 1815]
         0 | [ 370 1767] | [ 418 1767] | [ 368 1816] | [ 415 1817]
         - | [ 315 1768] | [ 364 1768] | [ 313 1817] | [ 361 1817]
         = | [ 261 1768] | [ 309 1768] | [ 257 1817] | [ 305 1818]
    DELETE | [ 180 1768] | [ 254 1768] | [ 174 1819] | [ 249 1819]
       TAB | [ 878 1708] | [ 950 1707] | [ 884 1756] | [ 956 1755]
         Q | [ 825 1709] | [ 871 1708] | [ 830 1756] | [ 876 1755]
         W | [ 774 1708] | [ 819 1709] | [ 775 1755] | [ 821 1757]
         E | [ 719 1710] | [ 765 1709] | [ 722 1757] | [ 770 1755]
         R | [ 666 1710] | [ 713 1710] | [ 669 1758] | [ 716 1755]
         T | [ 614 1710] | [ 660 1711] | [ 614 1758] | [ 660 1758]
         Y | [ 559 1711] | [ 607 1711] | [ 560 1758] | [ 606 1759]
         U | [ 506 1711] | [ 553 1711] | [ 506 1759] | [ 553 1759]
         I | [ 452 1713] | [ 499 1711] | [ 452 1760] | [ 499 1759]
         O | [ 399 1712] | [ 446 1711] | [ 397 1759] | [ 445 1760]
         P | [ 346 1712] | [ 393 1712] | [ 343 1760] | [ 391 1760]
         [ | [ 293 1712] | [ 339 1712] | [ 289 1761] | [ 336 1761]
         ] | [ 238 1713] | [ 285 1713] | [ 234 1761] | [ 282 1761]
         \ | [ 185 1713] | [ 232 1714] | [ 179 1761] | [ 227 1762]
 CAPS_LOCK | [ 859 1655] | [ 944 1656] | [ 862 1700] | [ 948 1701]
         A | [ 807 1656] | [ 851 1655] | [ 811 1702] | [ 857 1701]
         S | [ 754 1657] | [ 800 1656] | [ 759 1703] | [ 804 1702]
         D | [ 702 1657] | [ 749 1657] | [ 705 1703] | [ 751 1703]
         F | [ 650 1657] | [ 696 1657] | [ 653 1704] | [ 699 1702]
         G | [ 597 1659] | [ 643 1657] | [ 599 1704] | [ 646 1702]
         H | [ 545 1658] | [ 591 1657] | [ 547 1705] | [ 593 1703]
         J | [ 493 1658] | [ 539 1658] | [ 492 1704] | [ 539 1705]
         K | [ 441 1658] | [ 487 1659] | [ 439 1705] | [ 486 1705]
         L | [ 387 1659] | [ 434 1659] | [ 386 1706] | [ 432 1706]
         ; | [ 335 1659] | [ 382 1659] | [ 332 1705] | [ 379 1706]
         ' | [ 283 1659] | [ 329 1660] | [ 279 1706] | [ 326 1706]
    RETURN | [ 188 1662] | [ 275 1659] | [ 185 1707] | [ 273 1706]
     SHFT1 | [ 829 1604] | [ 937 1605] | [ 830 1647] | [ 941 1649]
         B | [ 571 1606] | [ 616 1606] | [ 570 1650] | [ 616 1652]
         N | [ 520 1606] | [ 565 1607] | [ 518 1651] | [ 564 1652]
         M | [ 467 1607] | [ 513 1607] | [ 467 1653] | [ 514 1650]
     SHFT2 | [ 193 1610] | [ 304 1607] | [ 191 1655] | [ 304 1651]
        FN | [ 885 1548] | [ 929 1549] | [ 889 1598] | [ 933 1599]
         Z | [ 775 1607] | [ 821 1605] | [ 780 1650] | [ 825 1650]
     SPACE | [ 472 1548] | [ 729 1548] | [ 464 1595] | [ 712 1600]
         / | [ 312 1606] | [ 359 1607] | [ 309 1651] | [ 355 1652]
      CTRL | [ 834 1549] | [ 879 1549] | [ 839 1599] | [ 884 1599]
         V | [ 621 1607] | [ 667 1605] | [ 624 1651] | [ 670 1650]
         , | [ 414 1610] | [ 460 1604] | [ 415 1651] | [ 461 1649]
         . | [ 362 1605] | [ 408 1607] | [ 359 1649] | [ 406 1651]
    ARROWS | [ 255 1553] | [ 292 1555] | [ 249 1595] | [ 286 1598]
         C | [ 673 1606] | [ 719 1606] | [ 675 1651] | [ 722 1650]
         X | [ 724 1607] | [ 770 1606] | [ 728 1651] | [ 774 1650]
      ALT1 | [ 783 1553] | [ 827 1547] | [ 787 1597] | [ 832 1597]
      CMD1 | [ 720 1549] | [ 778 1548] | [ 725 1599] | [ 783 1597]
      CMD2 | [ 404 1553] | [ 463 1547] | [ 403 1598] | [ 460 1598]
      ALT2 | [ 352 1548] | [ 398 1548] | [ 350 1599] | [ 395 1599]
