       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 802 1804] | [ 842 1804] | [ 807 1845] | [ 847 1844]
         1 | [ 751 1803] | [ 792 1803] | [ 756 1844] | [ 796 1843]
         2 | [ 701 1801] | [ 742 1802] | [ 703 1842] | [ 745 1842]
         5 | [ 551 1797] | [ 591 1799] | [ 549 1838] | [ 590 1840]
         6 | [ 500 1796] | [ 541 1799] | [ 498 1837] | [ 539 1839]
         7 | [ 448 1796] | [ 490 1797] | [ 447 1837] | [ 487 1838]
         - | [ 247 1791] | [ 288 1793] | [ 241 1832] | [ 283 1833]
         = | [ 196 1790] | [ 237 1791] | [ 190 1832] | [ 231 1832]
    DELETE | [ 119 1789] | [ 184 1789] | [ 113 1831] | [ 180 1831]
       TAB | [ 773 1754] | [ 838 1756] | [ 777 1794] | [ 842 1793]
         0 | [ 297 1792] | [ 339 1794] | [ 293 1834] | [ 333 1835]
         Y | [ 477 1747] | [ 516 1749] | [ 474 1786] | [ 515 1788]
         8 | [ 399 1794] | [ 439 1795] | [ 395 1835] | [ 436 1837]
         [ | [ 227 1742] | [ 269 1744] | [ 222 1781] | [ 264 1782]
         U | [ 426 1746] | [ 467 1748] | [ 424 1786] | [ 464 1787]
         9 | [ 348 1793] | [ 389 1794] | [ 344 1834] | [ 386 1835]
         3 | [ 652 1799] | [ 692 1801] | [ 651 1840] | [ 693 1842]
         4 | [ 601 1798] | [ 642 1800] | [ 600 1839] | [ 642 1841]
         ] | [ 178 1741] | [ 219 1743] | [ 172 1780] | [ 213 1781]
         \ | [ 128 1740] | [ 169 1742] | [ 121 1779] | [ 162 1780]
    RETURN | [ 135 1695] | [ 212 1694] | [ 130 1731] | [ 209 1731]
         H | [ 466 1700] | [ 506 1703] | [ 464 1739] | [ 504 1739]
         B | [ 492 1656] | [ 530 1658] | [ 489 1693] | [ 528 1695]
         P | [ 280 1742] | [ 320 1746] | [ 273 1781] | [ 313 1784]
         Q | [ 725 1742] | [ 765 1744] | [ 728 1783] | [ 768 1783]
         G | [ 513 1704] | [ 552 1702] | [ 515 1741] | [ 555 1740]
         T | [ 525 1746] | [ 565 1743] | [ 528 1784] | [ 567 1782]
         R | [ 572 1745] | [ 614 1744] | [ 573 1783] | [ 616 1782]
         V | [ 539 1659] | [ 578 1659] | [ 540 1696] | [ 581 1696]
         J | [ 414 1700] | [ 454 1701] | [ 412 1739] | [ 451 1740]
 CAPS_LOCK | [ 756 1699] | [ 833 1699] | [ 761 1736] | [ 838 1735]
         I | [ 376 1740] | [ 416 1745] | [ 372 1783] | [ 413 1785]
         E | [ 629 1745] | [ 673 1744] | [ 631 1783] | [ 672 1784]
         ' | [ 219 1679] | [ 259 1680] | [ 214 1717] | [ 254 1719]
         O | [ 331 1742] | [ 371 1744] | [ 326 1782] | [ 367 1784]
     SHFT2 | [ 141 1661] | [ 240 1659] | [ 138 1695] | [ 239 1696]
         ; | [ 273 1697] | [ 313 1700] | [ 267 1734] | [ 308 1737]
         W | [ 674 1742] | [ 714 1745] | [ 674 1782] | [ 714 1784]
         F | [ 565 1697] | [ 605 1699] | [ 564 1736] | [ 604 1738]
         K | [ 365 1698] | [ 405 1699] | [ 361 1736] | [ 402 1738]
         N | [ 442 1657] | [ 481 1658] | [ 440 1694] | [ 481 1693]
         M | [ 397 1655] | [ 436 1658] | [ 392 1693] | [ 433 1694]
         / | [ 258 1656] | [ 297 1658] | [ 253 1694] | [ 293 1695]
         L | [ 324 1697] | [ 364 1699] | [ 320 1736] | [ 360 1737]
    ARROWS | [ 199 1607] | [ 237 1610] | [ 192 1650] | [ 232 1650]
         A | [ 708 1698] | [ 749 1699] | [ 712 1737] | [ 752 1736]
         D | [ 614 1699] | [ 656 1699] | [ 617 1737] | [ 657 1737]
         C | [ 588 1657] | [ 628 1657] | [ 590 1695] | [ 629 1695]
         , | [ 355 1656] | [ 393 1658] | [ 350 1693] | [ 390 1695]
         . | [ 298 1655] | [ 337 1658] | [ 293 1693] | [ 333 1694]
      CMD2 | [ 346 1612] | [ 398 1611] | [ 344 1652] | [ 396 1653]
      ALT2 | [ 298 1578] | [ 337 1579] | [ 293 1619] | [ 333 1621]
         S | [ 661 1698] | [ 701 1698] | [ 663 1736] | [ 704 1736]
     SHFT1 | [ 729 1657] | [ 826 1658] | [ 734 1694] | [ 832 1694]
         Z | [ 683 1657] | [ 724 1657] | [ 687 1694] | [ 726 1694]
         X | [ 633 1657] | [ 672 1657] | [ 636 1695] | [ 675 1694]
     SPACE | [ 394 1614] | [ 617 1609] | [ 396 1649] | [ 624 1653]
        FN | [ 784 1613] | [ 822 1614] | [ 789 1655] | [ 827 1655]
      CTRL | [ 737 1611] | [ 776 1611] | [ 742 1652] | [ 780 1652]
      ALT1 | [ 695 1610] | [ 735 1612] | [ 697 1651] | [ 736 1653]
      CMD1 | [ 636 1611] | [ 689 1611] | [ 640 1652] | [ 691 1652]
