       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 811 1780] | [ 851 1779] | [ 818 1819] | [ 858 1818]
         1 | [ 760 1779] | [ 801 1779] | [ 765 1818] | [ 806 1818]
         2 | [ 709 1779] | [ 749 1778] | [ 713 1818] | [ 755 1817]
         3 | [ 658 1779] | [ 698 1778] | [ 662 1818] | [ 703 1817]
         4 | [ 607 1779] | [ 648 1778] | [ 610 1818] | [ 651 1817]
         5 | [ 556 1779] | [ 597 1778] | [ 558 1818] | [ 600 1816]
         6 | [ 504 1779] | [ 546 1778] | [ 506 1818] | [ 547 1817]
         7 | [ 453 1778] | [ 495 1778] | [ 453 1817] | [ 495 1816]
         8 | [ 401 1778] | [ 444 1778] | [ 400 1817] | [ 443 1816]
         9 | [ 350 1777] | [ 391 1777] | [ 347 1816] | [ 391 1815]
         0 | [ 298 1777] | [ 341 1778] | [ 294 1815] | [ 336 1817]
         - | [ 247 1776] | [ 289 1777] | [ 242 1816] | [ 285 1816]
         = | [ 195 1776] | [ 237 1777] | [ 189 1816] | [ 232 1816]
    DELETE | [ 117 1776] | [ 185 1777] | [ 109 1816] | [ 180 1815]
       TAB | [ 779 1734] | [ 843 1733] | [ 785 1771] | [ 851 1769]
         Q | [ 729 1734] | [ 770 1733] | [ 735 1771] | [ 775 1769]
         R | [ 579 1733] | [ 620 1731] | [ 582 1770] | [ 623 1769]
         T | [ 529 1733] | [ 569 1731] | [ 530 1769] | [ 572 1769]
         Y | [ 479 1732] | [ 519 1731] | [ 479 1769] | [ 521 1768]
         U | [ 428 1732] | [ 469 1731] | [ 428 1769] | [ 470 1768]
         P | [ 276 1731] | [ 319 1730] | [ 274 1768] | [ 316 1768]
         [ | [ 227 1729] | [ 269 1731] | [ 221 1766] | [ 264 1768]
         ] | [ 176 1729] | [ 218 1731] | [ 170 1767] | [ 212 1768]
         \ | [ 125 1729] | [ 166 1730] | [ 118 1767] | [ 160 1767]
         G | [ 516 1689] | [ 555 1686] | [ 518 1724] | [ 559 1722]
         H | [ 467 1688] | [ 507 1687] | [ 467 1723] | [ 508 1723]
    RETURN | [ 131 1687] | [ 209 1684] | [ 127 1721] | [ 208 1719]
         B | [ 493 1644] | [ 531 1645] | [ 493 1680] | [ 533 1678]
         ' | [ 218 1688] | [ 259 1685] | [ 217 1722] | [ 258 1720]
         I | [ 378 1731] | [ 419 1730] | [ 377 1769] | [ 418 1769]
         O | [ 327 1731] | [ 368 1730] | [ 325 1769] | [ 367 1769]
         J | [ 416 1686] | [ 456 1685] | [ 416 1722] | [ 457 1721]
     SHFT2 | [ 143 1642] | [ 241 1647] | [ 132 1673] | [ 233 1681]
         K | [ 368 1685] | [ 408 1685] | [ 366 1722] | [ 409 1720]
         ; | [ 270 1685] | [ 311 1686] | [ 265 1721] | [ 306 1723]
         V | [ 541 1644] | [ 580 1642] | [ 543 1678] | [ 584 1677]
         N | [ 444 1644] | [ 484 1643] | [ 444 1678] | [ 485 1677]
         M | [ 395 1643] | [ 434 1642] | [ 394 1679] | [ 434 1678]
         / | [ 248 1644] | [ 290 1643] | [ 245 1677] | [ 287 1678]
    ARROWS | [ 195 1591] | [ 233 1593] | [ 187 1630] | [ 228 1632]
         W | [ 680 1732] | [ 719 1729] | [ 686 1769] | [ 726 1766]
         F | [ 567 1686] | [ 609 1684] | [ 568 1722] | [ 609 1723]
         L | [ 317 1686] | [ 358 1685] | [ 316 1722] | [ 357 1721]
         , | [ 346 1645] | [ 386 1642] | [ 347 1679] | [ 387 1676]
         E | [ 630 1731] | [ 673 1732] | [ 632 1767] | [ 673 1769]
         D | [ 615 1686] | [ 656 1685] | [ 618 1722] | [ 660 1721]
         . | [ 298 1644] | [ 337 1642] | [ 297 1679] | [ 338 1677]
      CMD2 | [ 338 1592] | [ 389 1590] | [ 336 1631] | [ 389 1630]
      ALT2 | [ 291 1590] | [ 331 1591] | [ 286 1629] | [ 326 1631]
 CAPS_LOCK | [ 760 1686] | [ 836 1685] | [ 767 1722] | [ 843 1721]
         C | [ 588 1645] | [ 626 1641] | [ 592 1678] | [ 632 1676]
         A | [ 713 1687] | [ 752 1685] | [ 717 1722] | [ 758 1721]
         S | [ 665 1686] | [ 705 1685] | [ 669 1722] | [ 709 1722]
     SHFT1 | [ 730 1646] | [ 826 1641] | [ 736 1677] | [ 836 1677]
         X | [ 637 1645] | [ 676 1642] | [ 642 1679] | [ 683 1676]
         Z | [ 686 1644] | [ 725 1642] | [ 689 1678] | [ 730 1678]
        FN | [ 785 1592] | [ 823 1591] | [ 792 1630] | [ 830 1629]
     SPACE | [ 397 1594] | [ 623 1589] | [ 401 1630] | [ 630 1630]
      CTRL | [ 738 1591] | [ 776 1590] | [ 744 1630] | [ 782 1629]
      ALT1 | [ 692 1592] | [ 731 1590] | [ 698 1631] | [ 737 1630]
      CMD1 | [ 635 1591] | [ 685 1589] | [ 638 1630] | [ 690 1630]
