       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 758 1777] | [ 796 1776] | [ 763 1812] | [ 801 1811]
         1 | [ 713 1776] | [ 750 1775] | [ 716 1811] | [ 754 1811]
         2 | [ 667 1776] | [ 705 1776] | [ 669 1811] | [ 708 1810]
         3 | [ 621 1776] | [ 660 1776] | [ 623 1811] | [ 661 1811]
         4 | [ 575 1777] | [ 614 1776] | [ 577 1811] | [ 615 1810]
         5 | [ 530 1776] | [ 568 1776] | [ 530 1811] | [ 568 1811]
         6 | [ 484 1776] | [ 522 1776] | [ 484 1811] | [ 522 1810]
         7 | [ 438 1777] | [ 477 1776] | [ 437 1811] | [ 475 1811]
         9 | [ 347 1776] | [ 384 1775] | [ 344 1810] | [ 383 1810]
         - | [ 257 1775] | [ 294 1775] | [ 252 1810] | [ 290 1810]
         = | [ 210 1776] | [ 248 1775] | [ 205 1810] | [ 244 1810]
    DELETE | [ 142 1776] | [ 203 1775] | [ 136 1810] | [ 198 1809]
       TAB | [ 732 1735] | [ 791 1735] | [ 735 1769] | [ 796 1769]
         Q | [ 687 1735] | [ 724 1735] | [ 690 1769] | [ 727 1769]
         E | [ 597 1736] | [ 635 1735] | [ 599 1769] | [ 636 1769]
         R | [ 553 1735] | [ 590 1735] | [ 554 1769] | [ 591 1768]
         T | [ 508 1735] | [ 545 1735] | [ 508 1769] | [ 545 1769]
         Y | [ 463 1735] | [ 500 1735] | [ 462 1769] | [ 500 1768]
         U | [ 418 1736] | [ 456 1735] | [ 417 1769] | [ 454 1769]
         I | [ 374 1735] | [ 411 1735] | [ 371 1768] | [ 409 1768]
         O | [ 329 1735] | [ 366 1735] | [ 327 1769] | [ 364 1768]
         P | [ 284 1735] | [ 321 1735] | [ 280 1768] | [ 318 1768]
         [ | [ 239 1736] | [ 276 1734] | [ 235 1768] | [ 273 1768]
         ] | [ 196 1734] | [ 232 1735] | [ 190 1768] | [ 227 1768]
         \ | [ 150 1735] | [ 187 1734] | [ 144 1767] | [ 182 1768]
 CAPS_LOCK | [ 717 1696] | [ 786 1696] | [ 720 1729] | [ 791 1729]
         A | [ 673 1696] | [ 710 1696] | [ 676 1729] | [ 713 1728]
         S | [ 629 1696] | [ 666 1696] | [ 632 1729] | [ 668 1729]
         F | [ 541 1697] | [ 578 1696] | [ 543 1729] | [ 579 1728]
         H | [ 454 1696] | [ 490 1696] | [ 453 1729] | [ 490 1728]
         L | [ 322 1696] | [ 359 1696] | [ 319 1728] | [ 357 1727]
         ; | [ 278 1697] | [ 315 1696] | [ 275 1728] | [ 312 1728]
         ' | [ 234 1697] | [ 270 1695] | [ 230 1728] | [ 268 1727]
    RETURN | [ 157 1698] | [ 225 1695] | [ 153 1728] | [ 224 1725]
     SHFT1 | [ 691 1662] | [ 778 1657] | [ 695 1690] | [ 786 1690]
         Z | [ 649 1659] | [ 686 1659] | [ 651 1690] | [ 688 1690]
         X | [ 606 1659] | [ 642 1658] | [ 608 1690] | [ 644 1690]
         C | [ 563 1659] | [ 599 1658] | [ 564 1690] | [ 600 1690]
         V | [ 520 1659] | [ 555 1658] | [ 520 1690] | [ 557 1689]
         B | [ 477 1659] | [ 512 1658] | [ 476 1690] | [ 513 1689]
         N | [ 434 1659] | [ 470 1659] | [ 433 1690] | [ 469 1690]
         M | [ 391 1659] | [ 426 1658] | [ 389 1690] | [ 426 1689]
        FN | [ 742 1618] | [ 777 1618] | [ 745 1653] | [ 782 1653]
      CTRL | [ 700 1618] | [ 735 1618] | [ 702 1653] | [ 739 1653]
      ALT1 | [ 657 1619] | [ 693 1618] | [ 660 1653] | [ 696 1653]
      CMD1 | [ 605 1618] | [ 651 1618] | [ 606 1653] | [ 653 1653]
     SPACE | [ 401 1618] | [ 597 1621] | [ 393 1643] | [ 596 1651]
      CMD2 | [ 341 1619] | [ 388 1618] | [ 338 1652] | [ 386 1651]
      ALT2 | [ 301 1617] | [ 335 1618] | [ 296 1652] | [ 332 1652]
    ARROWS | [ 216 1617] | [ 251 1617] | [ 210 1652] | [ 246 1652]
         , | [ 348 1659] | [ 383 1658] | [ 346 1690] | [ 382 1689]
         8 | [ 394 1775] | [ 431 1776] | [ 391 1810] | [ 428 1811]
         0 | [ 303 1775] | [ 340 1776] | [ 298 1810] | [ 336 1810]
         W | [ 642 1735] | [ 680 1735] | [ 644 1769] | [ 682 1769]
         D | [ 585 1697] | [ 622 1696] | [ 587 1729] | [ 624 1727]
         J | [ 410 1696] | [ 447 1696] | [ 409 1729] | [ 445 1728]
         K | [ 366 1696] | [ 403 1696] | [ 364 1728] | [ 401 1728]
         / | [ 262 1659] | [ 298 1658] | [ 258 1689] | [ 295 1689]
         G | [ 498 1696] | [ 534 1696] | [ 498 1729] | [ 534 1728]
     SHFT2 | [ 169 1657] | [ 255 1658] | [ 160 1689] | [ 251 1689]
         . | [ 305 1658] | [ 341 1658] | [ 302 1689] | [ 338 1689]
