       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 755 1781] | [ 793 1781] | [ 759 1817] | [ 797 1817]
         1 | [ 709 1782] | [ 747 1781] | [ 713 1817] | [ 751 1816]
         2 | [ 664 1781] | [ 701 1781] | [ 665 1816] | [ 704 1816]
         3 | [ 618 1781] | [ 656 1781] | [ 620 1817] | [ 658 1816]
         4 | [ 572 1781] | [ 610 1781] | [ 573 1816] | [ 611 1816]
         5 | [ 526 1782] | [ 564 1781] | [ 526 1816] | [ 565 1815]
         6 | [ 480 1782] | [ 518 1781] | [ 480 1816] | [ 518 1816]
         7 | [ 435 1781] | [ 472 1781] | [ 433 1816] | [ 472 1815]
         8 | [ 389 1781] | [ 427 1781] | [ 387 1816] | [ 425 1816]
         9 | [ 344 1781] | [ 381 1781] | [ 340 1815] | [ 378 1816]
         0 | [ 298 1781] | [ 336 1781] | [ 294 1816] | [ 332 1816]
         - | [ 252 1781] | [ 290 1781] | [ 248 1816] | [ 285 1816]
         = | [ 206 1781] | [ 244 1780] | [ 201 1816] | [ 239 1816]
    DELETE | [ 138 1781] | [ 198 1780] | [ 132 1816] | [ 193 1815]
       TAB | [ 728 1741] | [ 787 1740] | [ 731 1774] | [ 792 1775]
         Q | [ 683 1741] | [ 720 1740] | [ 686 1774] | [ 724 1774]
         W | [ 639 1740] | [ 676 1740] | [ 640 1774] | [ 678 1774]
         E | [ 594 1740] | [ 631 1740] | [ 595 1774] | [ 633 1773]
         R | [ 549 1740] | [ 586 1740] | [ 549 1774] | [ 587 1774]
         T | [ 504 1740] | [ 541 1740] | [ 504 1774] | [ 542 1773]
         Y | [ 459 1741] | [ 496 1740] | [ 458 1774] | [ 496 1774]
         U | [ 414 1741] | [ 452 1740] | [ 413 1774] | [ 451 1773]
         I | [ 370 1740] | [ 407 1740] | [ 368 1774] | [ 405 1773]
         O | [ 325 1740] | [ 362 1740] | [ 322 1774] | [ 360 1773]
         P | [ 280 1740] | [ 318 1741] | [ 276 1773] | [ 313 1774]
         [ | [ 235 1740] | [ 273 1740] | [ 231 1774] | [ 267 1774]
         ] | [ 191 1740] | [ 228 1740] | [ 185 1773] | [ 222 1774]
         \ | [ 146 1740] | [ 183 1740] | [ 140 1773] | [ 178 1773]
 CAPS_LOCK | [ 714 1701] | [ 783 1701] | [ 717 1734] | [ 787 1734]
         A | [ 670 1701] | [ 706 1701] | [ 672 1734] | [ 709 1734]
         S | [ 626 1701] | [ 663 1701] | [ 628 1734] | [ 664 1734]
         D | [ 582 1701] | [ 619 1701] | [ 583 1734] | [ 620 1733]
         F | [ 538 1701] | [ 575 1701] | [ 538 1734] | [ 575 1734]
         G | [ 494 1701] | [ 531 1701] | [ 494 1734] | [ 531 1733]
         H | [ 450 1701] | [ 486 1701] | [ 449 1734] | [ 486 1733]
         J | [ 406 1701] | [ 443 1701] | [ 405 1734] | [ 442 1732]
         K | [ 362 1701] | [ 399 1701] | [ 360 1734] | [ 397 1733]
         L | [ 318 1701] | [ 355 1701] | [ 315 1733] | [ 352 1733]
         ; | [ 274 1701] | [ 311 1701] | [ 271 1733] | [ 308 1733]
         ' | [ 230 1701] | [ 266 1700] | [ 226 1733] | [ 263 1733]
    RETURN | [ 153 1702] | [ 222 1700] | [ 148 1733] | [ 219 1732]
     SHFT1 | [ 688 1666] | [ 775 1662] | [ 691 1695] | [ 783 1695]
         Z | [ 646 1664] | [ 681 1663] | [ 647 1695] | [ 684 1695]
         X | [ 603 1663] | [ 638 1663] | [ 604 1695] | [ 641 1694]
         C | [ 560 1663] | [ 595 1663] | [ 560 1695] | [ 597 1694]
         V | [ 516 1664] | [ 552 1663] | [ 516 1695] | [ 553 1694]
         B | [ 473 1664] | [ 509 1663] | [ 473 1695] | [ 509 1695]
         N | [ 430 1664] | [ 465 1663] | [ 429 1695] | [ 465 1695]
         M | [ 387 1664] | [ 423 1663] | [ 385 1695] | [ 422 1694]
         , | [ 344 1664] | [ 380 1663] | [ 342 1695] | [ 378 1694]
         . | [ 301 1663] | [ 337 1663] | [ 299 1695] | [ 335 1693]
         / | [ 258 1663] | [ 294 1663] | [ 254 1694] | [ 291 1693]
     SHFT2 | [ 165 1662] | [ 251 1663] | [ 155 1690] | [ 245 1695]
        FN | [ 738 1623] | [ 774 1623] | [ 743 1659] | [ 778 1658]
      CTRL | [ 696 1623] | [ 732 1623] | [ 699 1658] | [ 735 1658]
      ALT1 | [ 654 1623] | [ 690 1623] | [ 656 1658] | [ 692 1658]
      CMD1 | [ 601 1623] | [ 648 1623] | [ 603 1658] | [ 650 1657]
     SPACE | [ 389 1626] | [ 591 1621] | [ 389 1658] | [ 596 1657]
      CMD2 | [ 338 1623] | [ 383 1622] | [ 334 1657] | [ 381 1657]
      ALT2 | [ 296 1622] | [ 331 1622] | [ 292 1657] | [ 328 1657]
    ARROWS | [ 213 1621] | [ 247 1622] | [ 206 1657] | [ 242 1657]
